id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value
2821689617,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-06-08T00:02:00.806Z,2025-06-08T04:05:24Z,,,,,5765798241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765946059,197,30018,5765798239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5765798235,59,"1, 23, 28, 6, 5, 24, 41, 42, 14, 27, 11, 7, 9, 17, 18, 20, 96",5765798231,30,"catp73eq6wn8hxggfcpzks3u2, 4nwnrf33mdxscx5rdaw1529cl, 2jxho5va9q638vkklji2n8cx6, 9elhnfsovx9efu5f92mkkls7o, 8i5k1tx7x5hx4kk3qzyvrfj84, 3u22kckqpecmgcw7ee3xrdppm, bnsuxef1oaaye5fise5qlur8q, 6fgrix1m2a1zkn8kvd29nbcvd, f3ftrudyp33naykboqmua0jro, e6gr1t1rp2x7waywgzlrj8yqx, o0a1acp618ig9detdym1m0pg, 613kkjtvfyf7mbvrqt9pcizmd, 8hamv2lpjznz8mettx8dc5tsk, 40qi53orb0eur2jevowkvrcb8, a1v4h4gcsepnaknru3jjnwl5g, 7wbwaew3d712kxl54ztdxe87o, 4wr32d93f1q1v8qjq2ywmnbze",5765798237,130,8,5765947081,194,e6gr1t1rp2x7waywgzlrj8yqx,5765798233,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821694703,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-06-08T00:15:24.832Z,2025-06-08T02:08:15Z,,,,,5765949251,197,3383,5765827413,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5765827421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765949249,194,h4nbagq5dsdltn9x62oi0t05,5765827419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5765827415,59,"1, 23, 4, 14, 21, 3, 32, 18, 9, 10, 7, 5, 13, 17, 34, 52, 55, 94, 8",5765827411,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, c481wk3de3opu190d8z99w8yy, 8gxutqok71ycyk3ojmudrqtck, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, euesmrqkdyvekqtpk81ln7uqy, bzu3rjr0r2qmxluguyseq5sdl, 2ug51dfg4oerpnbudnkw497je, zd582wgzhdcz8n6oipywt3vt, 4ceaxb019rb6flsigsqo80rca, 371fgwtxyfnnu6m4pmq7s55ud, 57h9hd13z846qsj0bqpdoegb8, 4695nvcz8lcrklltxvalcizmd, 9623rc4ywvt5nvq15qknn9l3o, 4g3kwdb70mz44rezcwxdghb10, 1le9ot9v8ql9q57huwmu4vu38, 61rlxmejof8zjv8uw3sk1l045, bfdes5ft117ggu7ue5tnu5hm2",5765827417,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821716999,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-06-08T01:06:50.833Z,2025-06-08T01:06:54Z,,,,,5765950323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821716989,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-06-08T01:06:50.833Z,2025-06-08T01:06:51Z,,,,,5765950279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717025,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,50.0,50.0,2025-06-08T01:06:50.834Z,2025-06-08T01:06:54Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5765950435,141,48.2,5765950437,212,33.9,5765950431,56,Back,5765950441,1,,5765950439,213,3.18,5765950443,279,S,5765950433,140,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717047,4,1,1,0,3,87c66ubwpzykovmkaf1t46bis,0,17.7,48.2,2025-06-08T01:06:54.177Z,2025-06-08T01:06:57Z,h4nbagq5dsdltn9x62oi0t05,R. Sánchez,,,5765950577,141,36.3,5765950571,157,,5765950575,140,71.5,5765950579,212,57.1,5765950583,1,,5765950581,213,6.14,5765950573,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717057,3,1,1,0,6,7c9knuwazz9k9449u5rnuuy5m,0,19.7,62.7,2025-06-08T01:06:57.328Z,2025-06-08T01:06:59Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5765950605,212,34.1,5765950601,140,48.1,5765950607,213,0.51,5765950609,1,,5765950599,56,Back,5765950597,3,,5765950603,141,87.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717075,5,1,1,0,9,87c66ubwpzykovmkaf1t46bis,1,56.1,30.4,2025-06-08T01:07:00.506Z,2025-06-08T01:07:02Z,8gxutqok71ycyk3ojmudrqtck,L. Berrón,,,5765950715,212,12.6,5765950711,140,67.2,5765950717,213,0.39,5765950709,56,Center,5765950707,3,,5765950713,141,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717083,6,44,1,0,11,87c66ubwpzykovmkaf1t46bis,1,74.0,35.4,2025-06-08T01:07:02.044Z,2025-06-08T01:07:08Z,2ug51dfg4oerpnbudnkw497je,J. LaCava,,,5765950741,56,Center,5765950747,233,4,5765950743,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717079,4,44,1,0,11,7c9knuwazz9k9449u5rnuuy5m,0,26.0,64.6,2025-06-08T01:07:02.045Z,2025-06-08T01:10:43Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5765950733,56,Back,5765950753,233,6,5765950735,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717085,7,61,1,0,12,87c66ubwpzykovmkaf1t46bis,1,67.5,37.9,2025-06-08T01:07:02.962Z,2025-06-08T01:07:03Z,2ug51dfg4oerpnbudnkw497je,J. LaCava,,,5765950745,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821717111,6,1,1,0,15,7c9knuwazz9k9449u5rnuuy5m,1,31.4,76.3,2025-06-08T01:07:06.109Z,2025-06-08T01:07:09Z,o0a1acp618ig9detdym1m0pg,C. Pinzón,,,5765950873,213,4.43,5765950869,141,25.2,5765950871,212,36.2,5765950867,140,21.8,5765950875,1,,5765950865,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
