id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2785822921,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-09T01:21:46.233Z,2025-03-09T05:21:52Z,,,,5567943641,130,13,5567943643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567992611,194,d99eakp27bro9g50wpzti8rca,5567943645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567943639,59,"99, 47, 2, 15, 91, 14, 6, 26, 9, 19, 21, 4, 10, 17, 20, 22, 31, 77",5567943635,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, do5q14naxm61jw8px8qvacn4k, 1e1wh213cg8q6lsqa3kvbjdka, 1d20nyyvmp0doobj6heejkowk, 1o7iht0ow216jvo5qm64akup6, dks0ibq4b4i2w3bcc05v8rhn8, 8td51fzpdl6c1yrz6r0igle22, 87pe681vhgbb6plpej3tr74oa, 9etod4kwf9f5ye7jzc5ez0e3u, dg0vj3tk1fqeyuocfy4rmyoh6, 8svvdqi69pc6it7mnin50q68k, 4r4a2d3piuh8wusw8ftrsh016, cdyrj15oxu3l5sgzgwof8ohgq",5568093841,197,26547,5567943637,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785835569,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-09T01:45:53.621Z,2025-03-09T05:31:53Z,,,,5568016873,194,8pwslovfo5ostdhvpx53cxclw,5568094405,197,23588,5568016871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568016875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568016867,59,"1, 2, 23, 6, 4, 5, 29, 8, 91, 10, 19, 13, 15, 34, 3, 17, 44, 22, 12, 9",5568016865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5568016863,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, d74g09o22jua08rgr8e71x4kq, 74rnjizxzn5a0oag6sue0ja7e, 8pwslovfo5ostdhvpx53cxclw, 2p7o7pd4vfw3mvp5o8euss6xg, 6naqq6f6acfec3zh2msuxrmqd, 6ahu72g0u39bxbjiz7ggefai1, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, 2lpjr3oys0s0u2pnhut8epqwa, cdaayu6d9xzn4gyn5jg5p6vl6, cxm5xmc7zajd0j1zirav6q2qy, 3csngjh4kjgpkfayppiwfbw2c, e076q290ab1o6qz9vthl2c0a2, 39jhew6iao7uriko5shx2tnje, a5h691d1wvz871qz9t1cmi68k, 6m158yzashjy4y3dcbresua22, dv155f8jlvq8frvhjcokboiy1, c0of0cn2tec0yn2vtwdqgxxpl",5568016869,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852245,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-03-09T02:07:53.964Z,2025-03-09T02:07:58Z,,,,5568105659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852235,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-09T02:07:53.964Z,2025-03-09T05:19:28Z,,,,5568105623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852283,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,49.9,50.0,2025-03-09T02:07:53.965Z,2025-03-09T02:07:59Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,5568105859,212,22.4,5568105853,56,Back,5568105863,213,3.22,5568105867,279,S,5568105855,140,28.6,5568105857,141,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852299,4,1,1,0,3,aj8ytsr2ap33tod0hd8ofzaw9,0,28.6,47.5,2025-03-09T02:07:57.736Z,2025-03-09T02:08:01Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,5568105969,141,86.6,5568105965,56,Left,5568105967,140,68.6,5568105963,157,,5568105973,213,0.56,5568105971,212,49.7,5568105975,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852303,3,44,1,0,5,2iwybwokic7nmr1t33abdbjoq,1,30.5,12.6,2025-03-09T02:07:59.858Z,2025-03-09T04:11:05Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,5568106145,233,5,5568105995,56,Back,5568105997,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852305,5,44,1,0,5,aj8ytsr2ap33tod0hd8ofzaw9,0,69.5,87.4,2025-03-09T02:07:59.859Z,2025-03-09T04:11:05Z,1d20nyyvmp0doobj6heejkowk,T. Calheira,,5568106001,56,Left,5568106003,286,,5568106163,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852311,4,12,1,0,6,2iwybwokic7nmr1t33abdbjoq,1,29.1,11.2,2025-03-09T02:08:00.545Z,2025-03-09T02:08:02Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,5568106039,213,4.96,5568106081,15,,5568106033,140,31.2,5568106031,56,Back,5568106035,141,0.0,5568106037,212,8.9,5568106141,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785852325,5,5,1,0,7,2iwybwokic7nmr1t33abdbjoq,0,32.4,-1.2,2025-03-09T02:08:01.675Z,2025-03-09T04:29:55Z,9xjixcn3jhf7m75dl49u0qe7e,C. Smith,,5568106573,233,6,5568106111,56,Back,5568106113,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
