id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2816114785,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-17T22:45:52.838Z,2025-05-18T03:32:06Z,,,,,5734708277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5734708269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5734708281,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734870711,197,15171,5734708267,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, 61rlxmejof8zjv8uw3sk1l045, 8gxutqok71ycyk3ojmudrqtck, 4o1ryjpzoxzpi3ex53cmayui1, 9izvs4qd03gfmqukkk5csxxxw, euesmrqkdyvekqtpk81ln7uqy, zd582wgzhdcz8n6oipywt3vt, 2ug51dfg4oerpnbudnkw497je, bfdes5ft117ggu7ue5tnu5hm2, 8pg5wiwxujx3hnir5wie9xgfe, c481wk3de3opu190d8z99w8yy, 371fgwtxyfnnu6m4pmq7s55ud, 4ceaxb019rb6flsigsqo80rca, 57h9hd13z846qsj0bqpdoegb8, 4695nvcz8lcrklltxvalcizmd, bzu3rjr0r2qmxluguyseq5sdl, 1le9ot9v8ql9q57huwmu4vu38",5734708279,194,4o1ryjpzoxzpi3ex53cmayui1,5734708271,59,"1, 23, 94, 14, 21, 6, 32, 10, 9, 8, 70, 4, 5, 7, 13, 17, 18, 55",5734708273,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816120887,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-17T22:58:38.871Z,2025-05-17T23:33:21Z,,,,,5734740247,130,8,5734740253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734740251,194,5tyrfuxsp7s9thsmhfqevuoyx,5734740245,59,"56, 91, 62, 4, 34, 22, 80, 6, 26, 9, 10, 1, 2, 8, 11, 12, 14, 19, 36, 42",5734740249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734841939,197,29700,5734740243,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5734740241,30,"ect3pxkbjycux4simxmzp9jze, 94zkjopy373mgso15ljxmhd04, aur71sievd8d2fnrumu3xf6c, 14oq6mvlh5e51d9y20nbpok4p, dw8iyfupgsqkt8ogxssmtss4q, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, 1h85rt7bnqep3qovatft86pgq, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, ecjt2cd0xn1qyeyboapqwxbvu, ax8t5jhq9kz6ff2sji3p90kr8, 2otorwje8a8xv14x9o898db84, bmuds0h4a4sbhg47zmamnld5h, 5jigl7kp5d2i5ws1602jm7n1m, 5t1wvh34lm993otbc3469uzxm, f1gj1qng7x6nxfi8lbxa7tvpx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140223,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-05-17T23:37:46.833Z,2025-05-17T23:37:50Z,,,,,5734853777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140217,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-05-17T23:37:46.833Z,2025-05-17T23:37:47Z,,,,,5734853759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140261,3,1,1,0,0,87c66ubwpzykovmkaf1t46bis,1,49.9,50.3,2025-05-17T23:37:46.834Z,2025-05-17T23:37:51Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5734853969,140,26.0,5734853977,212,27.4,5734853981,279,S,5734853979,213,3.55,5734853967,56,Back,5734853973,141,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140293,4,1,1,0,4,87c66ubwpzykovmkaf1t46bis,1,26.0,34.2,2025-05-17T23:37:50.965Z,2025-05-17T23:37:52Z,4o1ryjpzoxzpi3ex53cmayui1,A. Crognale,,,5734854119,213,4.71,5734854117,212,11.6,5734854115,141,17.1,5734854113,140,26.0,5734854111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140307,5,1,1,0,5,87c66ubwpzykovmkaf1t46bis,0,25.9,17.4,2025-05-17T23:37:52.702Z,2025-05-18T02:20:39Z,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,,,5734854263,1,,5734854227,213,0.05,5734854213,155,,5734854225,212,48.4,5734854217,56,Right,5734854221,140,71.9,5734854223,141,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140337,3,12,1,0,9,e3k8yw2rbmphyfu5htn4yi5jk,1,18.1,81.2,2025-05-17T23:37:56.473Z,2025-05-17T23:38:00Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5734854373,56,Back,5734854379,212,23.6,5734854375,140,40.2,5734854381,213,0.19,5734854531,15,,5734854377,141,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140355,6,1,1,0,10,87c66ubwpzykovmkaf1t46bis,1,60.7,11.1,2025-05-17T23:37:56.949Z,2025-05-17T23:37:59Z,euesmrqkdyvekqtpk81ln7uqy,L. Paredes,,,5734854437,141,27.6,5734854441,213,1.98,5734854435,140,56.1,5734854439,212,12.2,5734854433,56,Center,5734854431,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140365,7,1,1,0,12,87c66ubwpzykovmkaf1t46bis,0,56.1,27.6,2025-05-17T23:37:59.222Z,2025-05-17T23:38:00Z,zd582wgzhdcz8n6oipywt3vt,J. Hernández,,,5734854493,212,12.8,5734854491,141,19.5,5734854487,56,Back,5734854495,213,3.59,5734854489,140,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
