id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2821650973,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-06-07T21:00:27.168Z,2025-06-08T00:46:41Z,,,,5765582077,130,2,5765582079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5765582085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765582073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",5765582081,194,ekzwxb68vg0w7o14zcq8n4vs9,5765582083,197,29732,5765582071,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, e2olfsduxvaqsx6rdbaasa356, dek9c2ef9ahynvfrk60d9tm5m, 906pdcavtipx0q93b1ed1lrai, 3y5650rx37d3hnh3sxzhaz7xl, db1h2huu8z1quj816wol1wgkp, 21vmi7qtrujzez3ziux0wa4et, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 3iygln7x6y336sb1qa3lfpa3u, e0i0n47bol0sigq7s1zdiay1, f0wprovraucxrx9wwd5au2pzo, 1rsr9bg12y3480inhp9pn22vo",5765582075,59,"23, 3, 6, 8, 5, 16, 20, 4, 10, 14, 11, 13, 15, 19, 22, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821651833,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-07T21:07:09.267Z,2025-06-07T22:02:53Z,,,,5765586883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5765586881,30,"ect3pxkbjycux4simxmzp9jze, 6692w96w6qmvgcpo02dehq4iy, aur71sievd8d2fnrumu3xf6c, 94zkjopy373mgso15ljxmhd04, dw8iyfupgsqkt8ogxssmtss4q, 3s1a50dskuehneuuy9b1nxg4, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, 21y2ogvprtdai47j36w9m22cq, 1h85rt7bnqep3qovatft86pgq, 5htuxrszecd448kld1yguwpas, d8uer29a3oya05ks99q696221, ani26vxlo22iw1u9oexptml05, ecjt2cd0xn1qyeyboapqwxbvu, ax8t5jhq9kz6ff2sji3p90kr8, 5jigl7kp5d2i5ws1602jm7n1m, f1gj1qng7x6nxfi8lbxa7tvpx",5765586885,59,"56, 7, 62, 91, 34, 22, 80, 6, 26, 9, 10, 1, 2, 5, 8, 11, 19, 42",5765628129,197,29701,5765586893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765586887,130,8,5765586891,194,5tyrfuxsp7s9thsmhfqevuoyx,5765586889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659623,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-06-07T22:06:33.663Z,2025-06-07T22:06:33Z,,,,5765630227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659625,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-07T22:06:33.663Z,2025-06-07T22:06:36Z,,,,5765630229,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659633,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.1,50.1,2025-06-07T22:06:33.664Z,2025-06-07T22:06:38Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,5765630257,212,32.9,5765630259,213,3.10,5765630263,279,S,5765630253,140,18.8,5765630261,1,,5765630251,56,Back,5765630255,141,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659639,4,1,1,0,4,5x54jbfk11lrsmipgsx7cdbai,0,22.1,46.0,2025-06-07T22:06:38.014Z,2025-06-07T22:06:44Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,5765630315,140,65.1,5765630311,157,,5765630321,213,6.16,5765630323,1,,5765630313,56,Center,5765630319,212,45.5,5765630317,141,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659637,3,44,1,0,8,e3k8yw2rbmphyfu5htn4yi5jk,1,34.1,64.6,2025-06-07T22:06:42.250Z,2025-06-08T00:26:20Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,5765630307,56,Back,5765630309,285,,5765630357,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659641,5,44,1,0,8,5x54jbfk11lrsmipgsx7cdbai,0,65.9,35.4,2025-06-07T22:06:42.251Z,2025-06-08T00:26:20Z,3y5650rx37d3hnh3sxzhaz7xl,B. Mines,,5765630371,233,3,5765630329,286,,5765630327,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659649,4,1,1,0,8,e3k8yw2rbmphyfu5htn4yi5jk,0,32.8,68.8,2025-06-07T22:06:42.561Z,2025-06-07T22:06:46Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,5765630385,213,0.79,5765630381,141,100.0,5765630377,56,Left,5765630383,212,31.2,5765630375,3,,5765630379,140,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659651,5,5,1,0,11,e3k8yw2rbmphyfu5htn4yi5jk,0,54.1,101.6,2025-06-07T22:06:45.534Z,2025-06-08T00:25:23Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,5765630423,233,6,5765630389,347,,5765630387,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
