id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/14/value
2816116709,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-17T22:49:36.962Z,2025-05-18T02:15:07Z,,,,,5734718663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5734850905,194,ekzwxb68vg0w7o14zcq8n4vs9,5734718673,197,29732,5734718671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5734718659,30,"7lmf6beyvhncglhw9avm40qju, 3y5650rx37d3hnh3sxzhaz7xl, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, 906pdcavtipx0q93b1ed1lrai, 59kky4fyi0w9bdz4ow3gs95yi, 6j5qn2b7t0165vl1t26v001zo, e2olfsduxvaqsx6rdbaasa356, ekzwxb68vg0w7o14zcq8n4vs9, 21vmi7qtrujzez3ziux0wa4et, agl19e1fx5123lk28avksxb3e, 87n7hmq7f1q1avazbmwmcg222, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 3iygln7x6y336sb1qa3lfpa3u, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90",5734718669,130,8,5734718667,59,"23, 20, 6, 4, 16, 3, 7, 8, 14, 10, 11, 12, 13, 15, 19, 30, 35, 88",5734718675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2816117363,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-17T22:50:47.710Z,2025-05-18T04:59:30Z,,,,,5734722023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734722019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734853599,197,29739,5734722015,59,"28, 2, 4, 8, 13, 21, 30, 5, 9, 10, 26, 3, 7, 11, 16, 18, 19, 22, 31, 35",5734722013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5734722011,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, 1460tac94fhhy43lmohs4fj3e, fm9i7pzwi2diu6i18kycmx1x, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, 1xkff6cxd8zycnd3n3odmvai1, cyignmjprj3whvban361mclm2, am7umg00yxt40mndzo6e0u3o4, e5nj82ezbq0x6zdzdh4quyxn9, bzs1s1yntau3dvzyvn6t7t785, cvi9u3v3krlkbvwcwjqztzvca, bolmgcfvbdizfyh6n9oz4xjsa, 864l8bcr288r74g3tmt1eqfe2, bbic10tw6eaf7rgpogt37rgtl, eqge8se9qvv9oqyivp267l016, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x, amy6q1u6b1rvlsudoc73mj2ms, cefb3xpf94kmg4rk0v1mkk2l0",5734722017,130,2,5734853597,194,e5nj82ezbq0x6zdzdh4quyxn9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140525,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-17T23:38:13.995Z,2025-05-17T23:38:14Z,,,,,5734855275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140533,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-17T23:38:13.995Z,2025-05-17T23:38:17Z,,,,,5734855289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140565,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-05-17T23:38:13.996Z,2025-05-17T23:38:34Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5734855401,140,23.2,5734855403,141,49.1,5734855405,212,28.1,5734855409,279,S,5734855407,213,3.16,5734856341,189,,5734855399,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140611,4,1,1,0,3,5x54jbfk11lrsmipgsx7cdbai,1,23.2,48.8,2025-05-17T23:38:17.215Z,2025-05-17T23:38:21Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5734855599,140,74.7,5734855595,56,Right,5734855605,212,60.4,5734855603,141,9.1,5734855593,157,,5734855611,1,,5734855607,213,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140621,5,44,1,0,7,5x54jbfk11lrsmipgsx7cdbai,1,73.4,21.1,2025-05-17T23:38:21.030Z,2025-05-18T01:55:33Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5734855651,56,Right,5734855653,286,,5734855691,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140627,3,44,1,0,7,bu5w8wprynlj9mvphvy8sd94f,0,26.6,78.9,2025-05-17T23:38:21.031Z,2025-05-18T01:55:34Z,1460tac94fhhy43lmohs4fj3e,N. Cardona,,,5734855665,285,,5734855709,233,5,5734855663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140653,6,1,1,0,7,5x54jbfk11lrsmipgsx7cdbai,1,74.7,9.1,2025-05-17T23:38:21.631Z,2025-05-17T23:38:25Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5734855827,141,23.0,5734855825,140,71.2,5734855831,213,1.94,5734855821,3,,5734855823,56,Center,5734855829,212,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816140663,7,4,1,0,11,5x54jbfk11lrsmipgsx7cdbai,1,73.9,28.4,2025-05-17T23:38:25.006Z,2025-05-18T01:54:11Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,,5734855915,13,,5734856129,233,4,5734855919,152,,5734855921,265,,5734855917,56,Center,5734855923,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
