id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value
2788931621,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-16T01:39:26.334Z,2025-03-16T05:42:53Z,,,,,5584989847,59,"1, 2, 13, 4, 5, 33, 15, 6, 9, 14, 23, 8, 21, 24, 28, 30, 31, 35, 29",5584989849,130,15,5584989843,30,"9zolq6c0x4ubmtfusbz2c3xwq, 26uulzcbbpgdrvnf5msmqidck, ersabc33m0ihy01uxccpnon4k, 8sydisziijh84elb8dprtlduy, ds74l5fmanizrflvvfkl42pcl, 2m8m4aavjwesbh6oea1ta1vys, bqmln8wgwt0uazirmw682kt4a, 3sp46qr51lu5o2213enn5xtjp, k3rif7polxoazy70fu2013op, 7d1v02o7kk9guqpn77xzgtvu2, 52qwgcxm3vpgabixc8c2i3aax, 7qt4r82kyz05r8kd8cmdh1xqs, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 66munwmhmpdq06686gawcz9ck, 46nav8x1n8s7c9zrmzo5eobje, 5yagqw0826fi91s0i8qv8lfkk, dkthr61wm6be3phr7se1cknx0",5584989855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584989845,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5584989853,194,ds74l5fmanizrflvvfkl42pcl,5585120971,197,24407,5584989851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788934941,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-16T01:46:18.289Z,2025-03-16T05:42:58Z,,,,,5585009263,59,"1, 6, 24, 3, 5, 14, 11, 80, 72, 28, 8, 4, 16, 22, 27, 31, 37, 13",5585121417,194,2yflerah2shma2hzhm99msez9,5585009269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5585009267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5585009261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5585121419,197,23268,5585009259,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, khvgxqohya7mawca1qx5q590, 16ndalf4kfr7e6rd9mwj7gfmc, rtercnq9nn7y0814ghe7wo2x, csx9pmpibyblftludnkd6j36x, 2yflerah2shma2hzhm99msez9, chiwsyjdyk4sn4vxqu9mdr0x6, abhcwxqh35hbgze01m4ihopyi, 1b9b97pxox77ia41cilqqm4iy, 64amlcisr3cr924jwy25rjs9h, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 5u1bw6y3l6w8co1ftvvxtly3t",5585009265,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957977,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-03-16T02:36:59.864Z,2025-03-16T02:37:00Z,,,,,5585123193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957985,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-03-16T02:36:59.864Z,2025-03-16T02:37:03Z,,,,,5585123219,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958015,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,50.2,49.7,2025-03-16T02:36:59.865Z,2025-03-16T02:37:04Z,abhcwxqh35hbgze01m4ihopyi,J. Beer,,,5585123349,279,S,5585123343,141,35.8,5585123341,140,25.9,5585123347,213,3.50,5585123339,56,Back,5585123345,212,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958037,4,1,1,0,3,ck22dnk93ng8ax7wonlff7yms,0,27.1,33.0,2025-03-16T02:37:03.439Z,2025-03-16T02:37:07Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,5585123485,1,,5585123475,56,Center,5585123473,157,,5585123481,212,63.6,5585123479,141,56.3,5585123477,140,85.8,5585123483,213,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958143,3,12,1,0,8,cf5r1qpotp6n5i3vdchsp2en1,1,18.4,31.0,2025-03-16T02:37:08.316Z,2025-03-16T03:27:44Z,26uulzcbbpgdrvnf5msmqidck,G. Doody,,,5585123953,141,59.1,5585123951,140,26.7,5585123949,56,Back,5585123957,213,1.14,5585123955,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958111,5,1,1,0,10,ck22dnk93ng8ax7wonlff7yms,1,78.8,30.4,2025-03-16T02:37:10.457Z,2025-03-16T02:37:17Z,csx9pmpibyblftludnkd6j36x,M. Epps,,,5585123799,56,Right,5585123803,141,9.4,5585123801,140,89.7,5585123807,213,5.39,5585123805,212,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958115,6,1,1,0,17,ck22dnk93ng8ax7wonlff7yms,0,92.3,13.7,2025-03-16T02:37:17.807Z,2025-03-16T02:37:19Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,,5585123835,140,91.7,5585123841,212,13.2,5585123839,141,33.1,5585123827,2,,5585123843,213,1.62,5585123831,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788958147,4,12,1,0,20,cf5r1qpotp6n5i3vdchsp2en1,1,8.2,57.3,2025-03-16T02:37:20.228Z,2025-03-16T03:31:03Z,7d1v02o7kk9guqpn77xzgtvu2,C. Hegardt,,,5585123975,141,100.0,5585124039,167,,5585123973,140,18.5,5585123979,213,1.23,5585123977,212,32.3,5585123971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
