id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2822678085,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-06-15T00:00:26.371Z,2025-06-15T03:21:37Z,,,,,5771323839,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5771323841,59,"1, 4, 23, 6, 5, 20, 7, 19, 9, 14, 8, 11, 13, 17, 21, 26, 28, 31, 32, 33",5771323845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771844919,194,ds74l5fmanizrflvvfkl42pcl,5771323837,30,"9zolq6c0x4ubmtfusbz2c3xwq, 8sydisziijh84elb8dprtlduy, 52qwgcxm3vpgabixc8c2i3aax, 3sp46qr51lu5o2213enn5xtjp, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 6kp2pv58u27yf5tnclyhnuoh6, f1j8v0figkewc23fmaexubo4p, k3rif7polxoazy70fu2013op, 7d1v02o7kk9guqpn77xzgtvu2, 7qt4r82kyz05r8kd8cmdh1xqs, 5nv5d35t6x08kuujy5qptrlec, ersabc33m0ihy01uxccpnon4k, 6ydk69km9oe49cg6plrc6u0wk, 4eo92l592013pjmwitoxmuyvo, b3a87jvzqqtqkse8t19b94kk4, 6wjjjmu5dw9m7chorpc4lcnbo, 46nav8x1n8s7c9zrmzo5eobje, f1hzg65u0b5lvvzj3q1z6qplg, 2m8m4aavjwesbh6oea1ta1vys",5771515859,197,29752,5771323847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771323843,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822678557,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-15T00:01:49.116Z,2025-06-15T01:41:32Z,,,,,5771440773,194,8gy9wgqywaqi9uy6i31i0q21h,5771326747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771326743,130,4,5771326739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5771326741,59,"1, 18, 12, 8, 25, 3, 6, 16, 14, 13, 10, 5, 9, 11, 19, 20, 24, 29, 30, 66",5771504463,197,29712,5771326737,30,"cuw4kvdf0bazq87mh3dwv71ii, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, 7ajceczjsu9ci4nqv9gg2860a, 8gy9wgqywaqi9uy6i31i0q21h, 2mxaagzu9rb92z9880yjllbzd, 7ctc1xui7wk89o5v00z8ijqw9, 6fgxgq77v66va16tcuqvyn6x, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, 2dbik29e0m9bil2ofn2yhrget, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, bl2b89wej9nxdtvqnjqoz85t6, cywd7q1m77lwe5q2dof7rvf9w, 1jhs3g95t0ah1hx3fwlo14kmi, qu5v4hmvt61oz0z0an5tn11w, c4g35kho1qirnu4q420knnl9m, 5a6sqqiyle6aj7zh8ozwikqok",5771326745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713041,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-15T01:06:31.376Z,2025-06-15T01:06:32Z,,,,,5771516383,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713023,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-06-15T01:06:31.376Z,2025-06-15T01:06:31Z,,,,,5771516297,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713063,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,49.8,49.9,2025-06-15T01:06:31.377Z,2025-06-15T01:06:35Z,7qt4r82kyz05r8kd8cmdh1xqs,O. Sylla,,,5771516549,279,S,5771516541,140,27.0,5771516539,56,Back,5771516545,212,24.0,5771516547,213,3.22,5771516543,141,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713097,4,1,1,0,3,cf5r1qpotp6n5i3vdchsp2en1,0,28.0,46.3,2025-06-15T01:06:34.982Z,2025-06-15T01:06:38Z,9zolq6c0x4ubmtfusbz2c3xwq,C. Shutler,,,5771516771,56,Center,5771516781,1,,5771516775,141,46.4,5771516769,157,,5771516779,213,0.00,5771516773,140,92.5,5771516777,212,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713179,5,1,1,0,12,5h878vnmkbuy2ummddprusxgq,1,9.7,59.7,2025-06-15T01:06:43.410Z,2025-06-15T01:06:46Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,,5771517237,212,15.5,5771517233,140,19.1,5771517235,141,77.3,5771517231,56,Back,5771517239,213,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713207,6,1,1,0,14,5h878vnmkbuy2ummddprusxgq,1,19.2,77.3,2025-06-15T01:06:45.987Z,2025-06-15T01:06:47Z,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,,,5771517411,212,16.9,5771517407,140,31.7,5771517403,56,Back,5771517409,141,92.9,5771517413,213,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713223,7,1,1,0,16,5h878vnmkbuy2ummddprusxgq,1,31.7,92.9,2025-06-15T01:06:47.707Z,2025-06-15T01:06:49Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5771517507,213,0.04,5771517503,141,93.8,5771517505,212,13.9,5771517499,56,Back,5771517501,140,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822713245,8,1,1,0,18,5h878vnmkbuy2ummddprusxgq,1,44.9,93.8,2025-06-15T01:06:49.723Z,2025-06-15T01:06:51Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5771517619,56,Left,5771517621,140,60.5,5771517627,213,5.95,5771517623,141,85.5,5771517625,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
