id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2785823883,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-03-09T01:23:18.966Z,2025-03-09T05:36:45Z,,,,,5567949371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5567949367,59,"1, 3, 6, 10, 5, 14, 20, 22, 27, 21, 9, 7, 11, 13, 23, 24, 34, 77",5567949373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568481683,194,7i29w1zl3m6xdnurdll08jsvd,5567949363,30,"duuhalibp64gdz6nub5ub0ovd, 2h53fzt0ubszmkuwfnez8n622, 6oj55tf7cdnnnft350f9fyhnt, drbcpa8qvrgin42q3it10nieh, 7i29w1zl3m6xdnurdll08jsvd, b9lt0sfts2zxf2ali8vpf0pn9, cfx7vo0kbjvcly2nf1b7papsk, 6eqvj5hboqw5c21ofhsgo4p9l, 3ljxfq84ubqzlooixppmpfdd6, cnqxbvy77blk2ulx06t65it49, b74yslq3huyhvwrhrebz0o3ys, ody1ty0csq2lnatvjwdrrv11, dio84sg1k4gsedcpordxs69lg, bjm0d2f9er34ymm41sulmkout, dqekbs06e79n3vapj437pwyc, 8m19c2e0raanzp3dzf7aaf6jt, 6lehq7bt5okf4y9lbxan577x1, 4ccmn07kk0thmg6apfxgivmc5",5568102053,197,23578,5567949369,130,7,5567949365,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785830849,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-09T01:38:17.032Z,2025-03-09T05:24:24Z,,,,,5567990759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568499967,194,8gy9wgqywaqi9uy6i31i0q21h,5567990751,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5567990755,130,11,5567990753,59,"23, 18, 12, 5, 3, 25, 11, 30, 14, 8, 10, 1, 7, 21, 20, 66, 50, 13, 24, 16",5567990749,30,"8y556fvv7asmfouaica4nbai1, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, 2dbik29e0m9bil2ofn2yhrget, 2mxaagzu9rb92z9880yjllbzd, 8gy9wgqywaqi9uy6i31i0q21h, 9lucpehmfe4z2vdlica1kc9d6, c4g35kho1qirnu4q420knnl9m, cqmvrx028gh19yh8qh7w01y0a, 7ajceczjsu9ci4nqv9gg2860a, 2mgcta30puk8kuwb5mo4zvcnp, cuw4kvdf0bazq87mh3dwv71ii, 9hqo1ykdlw9iv4tlo8d3vu9ec, dowfebdy2qnsz8hkj0ilrux62, cywd7q1m77lwe5q2dof7rvf9w, 5a6sqqiyle6aj7zh8ozwikqok, 6bypbwfkdebw240ddjg774ems, 3lndo247f4br8t6xxdvlij4a2, 1jhs3g95t0ah1hx3fwlo14kmi, 6fgxgq77v66va16tcuqvyn6x",5568283849,197,18652,5567990757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851461,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-03-09T02:06:31.951Z,2025-03-09T02:06:32Z,,,,,5568101313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851469,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-03-09T02:06:31.951Z,2025-03-09T02:06:33Z,,,,,5568101377,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851475,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-03-09T02:06:31.952Z,2025-03-09T02:59:28Z,cnqxbvy77blk2ulx06t65it49,A. Fontana,,,5568101399,212,16.8,5568101403,279,S,5568101395,140,36.4,5568101393,56,Back,5568101397,141,37.0,5568101401,213,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851485,4,1,1,0,2,ak0rmms5xl49w57i2rvid1tk9,0,36.5,34.3,2025-03-09T02:06:34.792Z,2025-03-09T02:59:32Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5568101459,141,65.5,5568101465,1,,5568101461,212,50.7,5568101455,56,Center,5568101453,155,,5568101463,213,0.43,5568101457,140,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851507,3,1,1,0,5,5h878vnmkbuy2ummddprusxgq,1,25.9,32.5,2025-03-09T02:06:37.058Z,2025-03-09T02:06:39Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5568101553,56,Back,5568101561,213,2.59,5568101555,140,8.3,5568101559,212,21.8,5568101551,3,,5568101557,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851613,6,1,1,0,19,5h878vnmkbuy2ummddprusxgq,1,8.4,49.0,2025-03-09T02:06:51.337Z,2025-03-09T02:06:53Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5568102177,213,0.86,5568102173,141,75.7,5568102169,56,Back,5568102175,212,23.9,5568102171,140,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851663,7,1,1,0,21,5h878vnmkbuy2ummddprusxgq,1,23.7,76.0,2025-03-09T02:06:53.681Z,2025-03-09T02:06:58Z,2dbik29e0m9bil2ofn2yhrget,T. Alfaro,,,5568102489,213,0.51,5568102481,56,Back,5568102485,141,88.9,5568102483,140,38.7,5568102487,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851673,8,1,1,0,26,5h878vnmkbuy2ummddprusxgq,0,38.9,88.9,2025-03-09T02:06:58.593Z,2025-03-09T03:10:38Z,7vs1eqm82fwwuhwfqodb3dyw9,R. Ruiz,,,5568102523,140,57.1,5568102529,213,5.83,5568102521,56,Center,5568102525,141,75.1,5568181341,1,,5568181339,157,,5568102527,212,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785851697,6,1,1,0,27,ak0rmms5xl49w57i2rvid1tk9,0,55.2,22.2,2025-03-09T02:06:59.488Z,2025-03-09T02:59:54Z,7i29w1zl3m6xdnurdll08jsvd,M. Mahoney,,,5568102661,141,24.3,5568102665,213,0.09,5568102659,140,70.6,5568102657,56,Center,5568102663,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
