id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/11/value
2803499869,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-19T23:06:22.048Z,2025-04-20T04:02:45Z,,,,,5665091625,130,2,5665091627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665091623,59,"23, 18, 16, 8, 21, 3, 6, 30, 13, 10, 12, 1, 7, 11, 14, 15, 24, 28",5665327305,194,7ctc1xui7wk89o5v00z8ijqw9,5665322743,197,18652,5665091621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5665091619,30,"8y556fvv7asmfouaica4nbai1, 7ll9dqayz9698v71x2pvgrspg, 6fgxgq77v66va16tcuqvyn6x, 7ajceczjsu9ci4nqv9gg2860a, dowfebdy2qnsz8hkj0ilrux62, 2mxaagzu9rb92z9880yjllbzd, 7ctc1xui7wk89o5v00z8ijqw9, c4g35kho1qirnu4q420knnl9m, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, 7vs1eqm82fwwuhwfqodb3dyw9, cuw4kvdf0bazq87mh3dwv71ii, 9hqo1ykdlw9iv4tlo8d3vu9ec, 9lucpehmfe4z2vdlica1kc9d6, cqmvrx028gh19yh8qh7w01y0a, 28cixms5w9uu1e38kcc8o2j9w, 1jhs3g95t0ah1hx3fwlo14kmi, cltos160k7hjw25tttt3q68es",5665091629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2803507185,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-04-19T23:16:45.485Z,2025-04-20T03:44:33Z,,,,,5665328055,197,23578,5665132223,59,"24, 3, 14, 22, 5, 23, 17, 21, 77, 10, 20, 1, 2, 6, 11, 13, 18, 25, 27, 80",5665132225,130,8,5665132227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5665328053,194,7i29w1zl3m6xdnurdll08jsvd,5665132219,30,"8m19c2e0raanzp3dzf7aaf6jt, 2h53fzt0ubszmkuwfnez8n622, b9lt0sfts2zxf2ali8vpf0pn9, 6eqvj5hboqw5c21ofhsgo4p9l, 7i29w1zl3m6xdnurdll08jsvd, dqekbs06e79n3vapj437pwyc, rtca480n5ehey5ffvt8nudck, cnqxbvy77blk2ulx06t65it49, 4ccmn07kk0thmg6apfxgivmc5, drbcpa8qvrgin42q3it10nieh, cfx7vo0kbjvcly2nf1b7papsk, duuhalibp64gdz6nub5ub0ovd, 6o5jqx64vum71hh2olnrb4178, 6oj55tf7cdnnnft350f9fyhnt, dio84sg1k4gsedcpordxs69lg, bjm0d2f9er34ymm41sulmkout, 3djjepgynp4qnhgvvqh9oa1ka, dokvihfznn6m11rcoonhp589g, 3ljxfq84ubqzlooixppmpfdd6, caeg1a6mrwrgknibgyjq66jh0",5665132229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5665132221,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2803543681,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-04-20T00:06:50.609Z,2025-04-20T00:06:54Z,,,,,5665336027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543673,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-04-20T00:06:50.609Z,2025-04-20T00:06:50Z,,,,,5665335975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543709,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,50.0,50.0,2025-04-20T00:06:50.610Z,2025-04-20T00:55:42Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5665336185,279,S,5665336179,141,57.3,5665336183,213,2.86,5665336181,212,18.0,5665336175,56,Back,5665336177,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543781,4,1,1,0,3,ak0rmms5xl49w57i2rvid1tk9,0,32.9,57.8,2025-04-20T00:06:54.193Z,2025-04-20T00:07:01Z,6eqvj5hboqw5c21ofhsgo4p9l,M. Micaletto,,,5665336593,1,,5665336581,157,,5665336589,212,59.3,5665336585,140,78.1,5665336587,141,5.6,5665336583,56,Right,5665336591,213,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543791,4,44,1,0,9,5h878vnmkbuy2ummddprusxgq,1,21.8,94.7,2025-04-20T00:07:00.017Z,2025-04-20T02:36:35Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5665336643,56,Back,5665560677,233,5,5665336645,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543787,5,44,1,0,9,ak0rmms5xl49w57i2rvid1tk9,0,78.2,5.3,2025-04-20T00:07:00.018Z,2025-04-20T02:36:35Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5665336623,286,,5665560697,233,4,5665336621,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543797,5,61,1,0,9,5h878vnmkbuy2ummddprusxgq,1,21.5,95.1,2025-04-20T00:07:00.470Z,2025-04-20T02:12:26Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5665336681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543783,3,5,1,0,11,5h878vnmkbuy2ummddprusxgq,0,17.7,101.6,2025-04-20T00:07:01.640Z,2025-04-20T02:37:02Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5665336599,56,Back,5665337837,233,6,5665336601,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543827,6,5,1,0,11,ak0rmms5xl49w57i2rvid1tk9,1,82.3,-1.6,2025-04-20T00:07:01.640Z,2025-04-20T02:37:01Z,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,,,5665336919,56,Right,5665337809,233,3,5665336921,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543851,7,1,1,0,14,ak0rmms5xl49w57i2rvid1tk9,0,76.8,0.0,2025-04-20T00:07:05.328Z,2025-04-20T00:07:08Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5665337061,141,18.8,5665337055,107,,5665337057,56,Right,5665337067,1,,5665337065,213,0.48,5665337059,140,100.0,5665337063,212,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543961,6,5,1,0,17,5h878vnmkbuy2ummddprusxgq,1,-1.1,82.7,2025-04-20T00:07:07.921Z,2025-04-20T02:37:02Z,6fgxgq77v66va16tcuqvyn6x,Gabi Torres,,,5665337769,56,Back,5665337771,346,,5665337805,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803543877,8,5,1,0,17,ak0rmms5xl49w57i2rvid1tk9,0,101.1,17.3,2025-04-20T00:07:07.921Z,2025-04-20T02:37:02Z,2h53fzt0ubszmkuwfnez8n622,A. Ward,,,5665337215,346,,5665337827,233,6,5665337211,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544023,7,1,1,0,34,5h878vnmkbuy2ummddprusxgq,1,4.6,45.8,2025-04-20T00:07:25.131Z,2025-04-20T00:07:30Z,8y556fvv7asmfouaica4nbai1,J. Waite,,,5665338167,212,13.5,5665338151,124,,5665338155,56,Back,5665338173,237,,5665338159,140,11.4,5665338163,141,28.9,5665338169,213,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544037,8,1,1,0,39,5h878vnmkbuy2ummddprusxgq,0,14.3,7.3,2025-04-20T00:07:29.882Z,2025-04-20T00:25:31Z,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,5665338283,212,57.9,5665338279,140,69.1,5665338285,213,0.11,5665338287,1,,5665338277,56,Right,5665338275,155,,5665338281,141,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544071,9,1,1,0,43,ak0rmms5xl49w57i2rvid1tk9,0,34.0,77.9,2025-04-20T00:07:34.568Z,2025-04-20T00:56:30Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5665338473,3,,5665338479,141,76.0,5665338483,213,6.23,5665338481,212,23.7,5665338475,56,Center,5665338477,140,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544163,9,4,1,0,47,5h878vnmkbuy2ummddprusxgq,1,46.6,23.4,2025-04-20T00:07:38.512Z,2025-04-20T02:12:31Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5665338977,56,Back,5665338975,13,,5665790521,294,,5665339011,233,10,5665338983,286,,5665338979,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544105,10,4,1,0,47,ak0rmms5xl49w57i2rvid1tk9,0,53.4,76.6,2025-04-20T00:07:38.513Z,2025-04-20T00:56:41Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5665339187,233,9,5665338745,152,,5665338743,56,Center,5665338741,13,,5665338749,285,,5665564135,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544239,10,1,1,0,52,5h878vnmkbuy2ummddprusxgq,1,47.5,26.5,2025-04-20T00:07:43.265Z,2025-04-20T00:07:47Z,7ajceczjsu9ci4nqv9gg2860a,F. Daroma,,,5665339363,140,35.2,5665339359,152,,5665339367,212,13.2,5665339365,141,22.7,5665339369,213,3.34,5665339357,5,,5665339361,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803544273,11,1,1,0,54,5h878vnmkbuy2ummddprusxgq,1,41.1,15.8,2025-04-20T00:07:45.249Z,2025-04-20T00:55:52Z,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,5665339539,212,26.5,5665339531,56,Back,5665339533,140,31.7,5665339537,141,51.9,5665339541,213,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
