id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value
2822745723,1,34,16,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-06-15T02:09:22.143Z,2025-06-15T05:20:09Z,,,,5771702623,59,"1, 23, 4, 18, 21, 3, 32, 14, 7, 8, 10, 5, 13, 17, 34, 52, 55, 94",5771827507,197,15171,5771702625,130,8,5771702621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5771702619,30,"h4nbagq5dsdltn9x62oi0t05, 5ynru0652guk8hl45ltxo0dwq, c481wk3de3opu190d8z99w8yy, bzu3rjr0r2qmxluguyseq5sdl, 4o1ryjpzoxzpi3ex53cmayui1, ks7omik17xov44i4hhjrldyh, euesmrqkdyvekqtpk81ln7uqy, 8gxutqok71ycyk3ojmudrqtck, 4ceaxb019rb6flsigsqo80rca, bfdes5ft117ggu7ue5tnu5hm2, zd582wgzhdcz8n6oipywt3vt, 371fgwtxyfnnu6m4pmq7s55ud, 57h9hd13z846qsj0bqpdoegb8, 4695nvcz8lcrklltxvalcizmd, 9623rc4ywvt5nvq15qknn9l3o, 4g3kwdb70mz44rezcwxdghb10, 1le9ot9v8ql9q57huwmu4vu38, 61rlxmejof8zjv8uw3sk1l045",5771702629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771702627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771827505,194,ks7omik17xov44i4hhjrldyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822749371,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-15T02:16:31.707Z,2025-06-15T05:24:36Z,,,,5771723639,59,"1, 2, 3, 4, 6, 5, 19, 22, 96, 10, 9, 7, 8, 11, 17, 20, 21, 23, 55, 99",5771723637,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5771723645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771723641,130,18,5771799741,194,bgxiot2ugkc6t5jchxewen4k5,5771723643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771827051,197,23592,5771723635,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, cc7jk41tn9qi5px4pb9l4bn8q, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 579n2n7oiogy83epzcfrxtd5h, 7y9k549gjh2183ylplvwg2q5l, 2054x8z63k74or3inr9sl0bu1, do8svqsgqomasmzdwwsgg7qlm, 23vdzclmewq139wius9oy3m51, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, 9lqozbr0ghw2fhep938p8snah, t8bq7sttljbcrrspxz5tnm5l, 8qjls72u1tvwuxas420p8ed5g, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 6e7vgxyzx00c79hw1wg4d01sk, 113mck575esofosg0reheh7je",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767731,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-06-15T03:10:30.104Z,2025-06-15T03:10:30Z,,,,5771827755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767735,2,32,1,0,0,87c66ubwpzykovmkaf1t46bis,1,0.0,0.0,2025-06-15T03:10:30.104Z,2025-06-15T03:10:31Z,,,,5771827773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767739,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,50.0,50.0,2025-06-15T03:10:30.105Z,2025-06-15T03:10:33Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,5771827797,213,3.43,5771827799,1,,5771827795,212,33.1,5771827791,140,19.8,5771827801,279,S,5771827793,141,36.0,5771827789,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767757,4,1,1,0,3,7neuneh44n9rtsfsh6r0sb9no,1,23.9,30.3,2025-06-15T03:10:33.528Z,2025-06-15T03:10:37Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,5771827929,56,Right,5771827935,212,48.6,5771827931,140,67.4,5771827927,157,,5771827933,141,5.9,5771827937,213,5.93,5771827939,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767771,5,1,1,0,7,7neuneh44n9rtsfsh6r0sb9no,1,67.7,5.6,2025-06-15T03:10:37.712Z,2025-06-15T03:10:40Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771828005,56,Right,5771828003,3,,5771828007,140,86.2,5771828011,212,19.8,5771828009,141,11.1,5771828013,213,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767775,6,1,1,0,10,7neuneh44n9rtsfsh6r0sb9no,1,86.2,10.9,2025-06-15T03:10:40.552Z,2025-06-15T04:06:53Z,23vdzclmewq139wius9oy3m51,S. Herrera,,5771828035,213,2.50,5771828031,141,13.2,5771828029,140,84.2,5771828033,212,2.6,5771828027,56,Right,5771828025,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767785,7,1,1,0,12,7neuneh44n9rtsfsh6r0sb9no,1,85.1,10.7,2025-06-15T03:10:42.528Z,2025-06-15T03:18:19Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,5771828101,212,4.7,5771828099,141,7.0,5771828103,213,5.72,5771828097,140,88.9,5771828095,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767787,8,3,1,0,13,7neuneh44n9rtsfsh6r0sb9no,0,83.8,5.7,2025-06-15T03:10:44.032Z,2025-06-15T04:10:49Z,23vdzclmewq139wius9oy3m51,S. Herrera,,5771831289,233,3,5771828107,56,Right,5771831263,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767793,3,7,1,0,13,87c66ubwpzykovmkaf1t46bis,1,16.2,94.3,2025-06-15T03:10:44.033Z,2025-06-15T04:10:49Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,5771828133,56,Back,5771831273,233,8,5771828135,285,,5771828131,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767797,4,5,1,0,16,87c66ubwpzykovmkaf1t46bis,0,24.4,100.8,2025-06-15T03:10:46.529Z,2025-06-15T05:16:27Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,5771828455,233,9,5771828153,56,Back,5771828155,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767795,9,5,1,0,16,7neuneh44n9rtsfsh6r0sb9no,1,75.6,-0.8,2025-06-15T03:10:46.529Z,2025-06-15T04:10:21Z,579n2n7oiogy83epzcfrxtd5h,N. Ross,,5771828141,56,Right,5771828433,233,4,5771828143,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767807,10,1,1,0,18,7neuneh44n9rtsfsh6r0sb9no,1,75.3,0.0,2025-06-15T03:10:48.377Z,2025-06-15T03:10:52Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,5771828229,213,1.44,5771828227,212,7.3,5771828341,107,,5771828223,140,76.2,5771828225,141,10.1,5771828221,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767815,11,1,1,0,18,7neuneh44n9rtsfsh6r0sb9no,0,76.2,10.1,2025-06-15T03:10:49.064Z,2025-06-15T03:10:49Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,5771828265,140,79.6,5771828267,141,0.0,5771828271,213,5.14,5771828269,212,8.6,5771828263,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767847,5,5,1,0,19,87c66ubwpzykovmkaf1t46bis,1,21.6,101.4,2025-06-15T03:10:49.662Z,2025-06-15T04:10:22Z,bzu3rjr0r2qmxluguyseq5sdl,A. Soto,,5771828467,347,,5771828465,56,Back,5771828483,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767819,12,5,1,0,19,7neuneh44n9rtsfsh6r0sb9no,0,78.4,-1.4,2025-06-15T03:10:49.662Z,2025-06-15T04:10:22Z,2054x8z63k74or3inr9sl0bu1,L. Fernandes,,5771828291,347,,5771828487,233,5,5771828289,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822767855,6,1,1,0,25,87c66ubwpzykovmkaf1t46bis,1,26.0,100.0,2025-06-15T03:10:55.767Z,2025-06-15T03:10:57Z,c481wk3de3opu190d8z99w8yy,N. Flores,,5771828543,141,91.8,5771828545,212,15.0,5771828541,140,13.0,5771828537,107,,5771828547,213,3.56,5771828539,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
