id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/value
2790967913,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-22T22:13:08.954Z,2025-03-24T06:00:39Z,,,,,5596175965,59,"1, 20, 8, 11, 2, 27, 4, 17, 5, 28, 9, 3, 14, 18, 26, 33, 34, 41",5596525197,194,56txiyhvsvhudyr1b21rznmjt,5596523419,197,2772,5596175961,30,"dp8j7znd4eavuoy3faqpamoa2, cbbip5xc4xfipnk6aal6cfywa, 7ao58e6608lb8eu3dmk17jisp, 8vcytrkvxzki08gxqpulol3hl, du5dg5x7as3ub1iemjuwdd6uh, 2wufroeor0e7k6hvatj1ltwfe, 56txiyhvsvhudyr1b21rznmjt, 5s5sc7zxuw8cr7vyzeofb8hnu, 4l1wyg8j3u42b87477y3zm54a, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 87rpg135z1k0ir74kdczwo2y1, dbjysa6qhf203jmpjedz8pgph, e13oeez12fwnzyf2qkizwflec, 374euncv00zs2oy6ux1u519be, bpkzxcqtmvei7lqkqzuvzelsl, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc",5596175969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596175971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596175963,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5596175967,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790969011,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-22T22:18:41.514Z,2025-03-23T01:21:32Z,,,,,5596182281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596182275,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5596182283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596232795,197,22487,5596531763,194,e5nj82ezbq0x6zdzdh4quyxn9,5596182279,130,4,5596182273,30,"9q3w4j10qfsq94svbmyxa879x, fm9i7pzwi2diu6i18kycmx1x, cvi9u3v3krlkbvwcwjqztzvca, cyignmjprj3whvban361mclm2, 96qlwmkrab9h7xt93jzgl384p, d539xjkdwt1i77f0czbvo8ull, 864l8bcr288r74g3tmt1eqfe2, 1xkff6cxd8zycnd3n3odmvai1, e5nj82ezbq0x6zdzdh4quyxn9, bzs1s1yntau3dvzyvn6t7t785, am7umg00yxt40mndzo6e0u3o4, bolmgcfvbdizfyh6n9oz4xjsa, eqopj1p3a2ehzpwlj90laswoa, eqge8se9qvv9oqyivp267l016, c14ntw6zvozswy685dztldl1x, 66mp8cxjrfuyw16t00oh4i8r9, amy6q1u6b1rvlsudoc73mj2ms, 9d011ayfpxxfc4qqlp98gdq8k, 67tm2uozhacktv8pmixqlwsno, cefb3xpf94kmg4rk0v1mkk2l0",5596182277,59,"28, 8, 3, 5, 2, 21, 11, 30, 10, 26, 9, 7, 13, 18, 22, 29, 31, 32, 33, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978839,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-22T23:07:32.667Z,2025-03-22T23:07:34Z,,,,,5596236525,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978833,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-22T23:07:32.667Z,2025-03-24T06:00:46Z,,,,,5596236499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978851,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.9,49.3,2025-03-22T23:07:32.668Z,2025-03-23T01:21:41Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5596236571,213,3.29,5596236563,56,Back,5596236567,141,45.2,5596236569,212,19.3,5596236573,279,S,5596236565,140,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978855,4,1,1,0,3,bu5w8wprynlj9mvphvy8sd94f,1,32.7,45.2,2025-03-22T23:07:36.365Z,2025-03-22T23:08:17Z,cyignmjprj3whvban361mclm2,D. Mercado,,,5596236589,212,24.5,5596236585,140,35.1,5596236583,56,Back,5596236587,141,9.4,5596236591,213,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978857,5,1,1,0,7,bu5w8wprynlj9mvphvy8sd94f,1,34.0,8.2,2025-03-22T23:07:40.513Z,2025-03-22T23:09:49Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5596236617,213,2.26,5596236609,56,Back,5596236613,141,31.7,5596236615,212,20.7,5596236611,140,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978871,6,1,1,0,9,bu5w8wprynlj9mvphvy8sd94f,1,22.2,30.7,2025-03-22T23:07:41.695Z,2025-03-24T06:01:18Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5596236695,56,Back,5596236709,213,1.80,5596236703,141,70.9,5596236707,212,28.1,5596236699,140,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978875,7,1,1,0,11,bu5w8wprynlj9mvphvy8sd94f,1,17.9,71.6,2025-03-22T23:07:44.263Z,2025-03-24T06:01:19Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5596236719,141,94.4,5596236723,213,1.18,5596236717,140,23.9,5596236715,56,Back,5596236721,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790978889,8,1,1,0,15,bu5w8wprynlj9mvphvy8sd94f,0,24.4,89.4,2025-03-22T23:07:48.016Z,2025-03-23T01:21:43Z,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,,,5596236811,140,40.4,5596236823,213,0.47,5596236807,56,Back,5596236815,141,100.0,5596236819,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
