id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value
2796666713,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-05T20:32:32.935Z,2025-04-05T21:35:38Z,,,,,5627438817,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5627438819,59,"1, 20, 8, 11, 2, 27, 4, 17, 5, 28, 9, 3, 7, 14, 18, 33, 34, 41",5627704627,194,56txiyhvsvhudyr1b21rznmjt,5627438825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627702441,197,2772,5627438815,30,"dp8j7znd4eavuoy3faqpamoa2, cbbip5xc4xfipnk6aal6cfywa, 7ao58e6608lb8eu3dmk17jisp, 8vcytrkvxzki08gxqpulol3hl, du5dg5x7as3ub1iemjuwdd6uh, 2wufroeor0e7k6hvatj1ltwfe, 56txiyhvsvhudyr1b21rznmjt, 5s5sc7zxuw8cr7vyzeofb8hnu, 4l1wyg8j3u42b87477y3zm54a, c08hvq1hplcct8kxrxucfpqp6, 6mrzod8fbjpv5s30eyypfyv2t, 87rpg135z1k0ir74kdczwo2y1, ch01b74i78nggnffi81875ld6, dbjysa6qhf203jmpjedz8pgph, e13oeez12fwnzyf2qkizwflec, bpkzxcqtmvei7lqkqzuvzelsl, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc",5627438823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5627438821,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796682031,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-05T20:49:04.251Z,2025-04-05T20:49:04Z,,,,,5627525939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627525929,59,"56, 91, 62, 6, 5, 16, 80, 4, 26, 8, 19, 1, 22, 23, 10, 9, 36, 42, 11, 17",5627525937,197,27037,5627525927,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5627525933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5627525931,130,8,5627525925,30,"ect3pxkbjycux4simxmzp9jze, 94zkjopy373mgso15ljxmhd04, aur71sievd8d2fnrumu3xf6c, 5tyrfuxsp7s9thsmhfqevuoyx, ani26vxlo22iw1u9oexptml05, 98l6i78kwuwnt2sbcucssgjfu, dmbqkvvaray373vy9eiq4l1ck, 14oq6mvlh5e51d9y20nbpok4p, caoq1dpq6lz1btrd75s9xuz56, ecjt2cd0xn1qyeyboapqwxbvu, 5jigl7kp5d2i5ws1602jm7n1m, 5htuxrszecd448kld1yguwpas, 3s1a50dskuehneuuy9b1nxg4, eur2vbdzfmcxyfathakjghyqc, 1h85rt7bnqep3qovatft86pgq, 21y2ogvprtdai47j36w9m22cq, 5t1wvh34lm993otbc3469uzxm, f1gj1qng7x6nxfi8lbxa7tvpx, ax8t5jhq9kz6ff2sji3p90kr8, 22p6n3oird085u2kbkiqp4pg",5627525935,194,ani26vxlo22iw1u9oexptml05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716561,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-04-05T21:38:32.678Z,2025-04-05T21:38:32Z,,,,,5627715523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716605,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-04-05T21:38:32.678Z,2025-04-05T21:38:37Z,,,,,5627715773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716629,3,1,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,49.9,50.6,2025-04-05T21:38:32.679Z,2025-04-05T21:38:38Z,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,5627715919,279,S,5627715913,141,36.9,5627715911,140,24.3,5627715917,213,3.48,5627715915,212,28.4,5627715909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716645,4,1,1,0,5,e3k8yw2rbmphyfu5htn4yi5jk,1,24.3,36.9,2025-04-05T21:38:38.238Z,2025-04-05T21:40:51Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5627716017,56,Back,5627716025,213,5.60,5627716019,140,38.5,5627716021,141,18.9,5627716023,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716669,5,1,1,0,6,e3k8yw2rbmphyfu5htn4yi5jk,1,38.5,18.9,2025-04-05T21:38:39.382Z,2025-04-05T21:38:40Z,94zkjopy373mgso15ljxmhd04,N. Houssou,,,5627716125,56,Back,5627716135,213,5.64,5627716131,141,9.8,5627716133,212,10.3,5627716129,140,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716725,6,1,1,0,7,e3k8yw2rbmphyfu5htn4yi5jk,1,46.3,9.8,2025-04-05T21:38:40.566Z,2025-04-05T21:38:44Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5627716429,213,2.28,5627716421,56,Back,5627716423,140,30.6,5627716427,212,25.2,5627716425,141,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716763,7,1,1,0,11,e3k8yw2rbmphyfu5htn4yi5jk,1,29.8,42.2,2025-04-05T21:38:44.318Z,2025-04-05T21:38:48Z,98l6i78kwuwnt2sbcucssgjfu,G. Smith,,,5627716635,141,83.0,5627716639,213,1.39,5627716637,212,28.2,5627716631,56,Back,5627716633,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796716791,8,1,1,0,15,e3k8yw2rbmphyfu5htn4yi5jk,1,33.4,80.3,2025-04-05T21:38:48.278Z,2025-04-05T21:38:51Z,aur71sievd8d2fnrumu3xf6c,N. Dossantos,,,5627716833,213,4.35,5627716827,140,25.0,5627716831,212,24.9,5627716829,141,46.1,5627716825,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
