id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2796586103,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-05T19:08:57.868Z,2025-04-05T23:01:03Z,,,,,5626991267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626991259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5627289627,197,10793,5627339379,194,2w7w1l7lwhu2u6nhvqg1bnd2h,5626991257,30,"6j38lv6xa3gnzzsn5x2i35rdh, 3apux7dih2628a7b7q0dt6bu2, 69j92vzo1swgodk0g9g2ksqqy, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, 3xd2kq7cxmvdbqsfzgi644c4q, evk0esdocrzt5zxqmv4ostdcl, bogxgfao7j28diagxffy0z9ey, cclpvd1z3yyruciida1q3x4o9, cxnq0rc4u1efzt82nw3xgk355, 6g7v93m80xq6x38o9u3t8y3je, ei30dsbb51ri88sr7aku2t13p, doseo9fbdr1a1srm0jhdqmr55, cqhpjp9q1pl5gy4nfrpd7m3h0, ov91zkisppven9tp72gfbjf8, 2j9i9ersvndkywcgqx9pzc9ka, 629pbkngxk7ucy0qt9mngvkd1, e0879u9ckqe6xv1h2j8bqto9g, 97rzxcaw3u0qqov2uci1m4ges, 24r8fdf8ypk7ejch9t86zjwgk",5626991265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626991261,59,"1, 26, 2, 15, 33, 3, 25, 6, 9, 10, 7, 4, 11, 14, 18, 22, 35, 45, 48, 88",5626991263,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796586471,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-04-05T19:09:21.590Z,2025-04-05T23:00:55Z,,,,,5626993313,130,17,5626993315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5626993311,59,"1, 12, 17, 15, 24, 5, 23, 21, 9, 10, 11, 3, 8, 18, 19, 22, 77, 14",5627300727,197,23488,5626993317,194,arrnspfznjcs9fmng4finp87p,5626993309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5626993319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626993307,30,"arrnspfznjcs9fmng4finp87p, 8pqvmz8g1yhe7hqqc1d68c4mi, dltmx3e4llkcszs22cbfz92xg, f472o0229a6xev8qudf1tyf6y, c8svt3yazcfaq478j0cpbmbfu, couplbg5c1wzrb14ycd8f7h0p, duad6xilu5s6c7ul48b7gab1m, 711t32tk6qwl567dngcldfw15, 2w38gs56nefz2s67peyzb10q1, 449e2muutlpvx9lhv1t2tcsmh, 9ch7zgxlcjiio0xbo2hhl2yvo, eg5pbxm7emj77mdcub4xp6m3u, 2gsbai5bpg1fbullzvngv2l1w, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, a3l8f3a6rr93qyyaxhdfqq1yi, 1diaoqi51gzx23j4d5f8xc8b8, bug5x187ehj0apzl11lrl3ip6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642775,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-04-05T20:07:03.804Z,2025-04-05T20:07:07Z,,,,,5627308497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642763,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-04-05T20:07:03.804Z,2025-04-05T20:07:04Z,,,,,5627308447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642831,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,49.9,49.9,2025-04-05T20:07:03.805Z,2025-04-05T20:19:01Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,,5627308767,212,22.5,5627308769,213,3.22,5627308771,279,S,5627308763,140,28.5,5627308761,56,Back,5627308765,141,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796643203,4,43,1,0,3,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-04-05T20:07:07.158Z,2025-04-05T20:07:32Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5627310717,157,0,5627310719,56,Center,5627310723,141,64.6,5627310721,140,61.9,5627310725,212,36.1,5627310727,213,0.36,5627310729,1,0,5627311143,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796643197,3,4,1,0,24,b5l2e3csycjb8twvq9ek0j5gq,1,59.0,51.6,2025-04-05T20:07:27.826Z,2025-04-05T22:31:54Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5627460553,286,,5627310773,56,Center,5627310775,152,,5627310771,13,,5627310777,265,,5627460589,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796643211,5,4,1,0,24,daicfonrbj124lu2la2rctxck,0,41.0,48.4,2025-04-05T20:07:27.827Z,2025-04-05T21:13:45Z,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,5627310917,285,,5627310909,13,,5627310913,152,,5627460597,233,3,5627310911,56,Back,5627310915,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796643629,4,1,1,0,44,b5l2e3csycjb8twvq9ek0j5gq,0,64.4,49.6,2025-04-05T20:07:48.449Z,2025-04-05T22:22:01Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5627312977,155,,5627312987,213,5.95,5627312989,1,,5627312979,56,Center,5627312983,141,30.0,5627885421,5,,5627885423,152,,5627312985,212,40.8,5627312981,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796644213,5,5,1,0,47,b5l2e3csycjb8twvq9ek0j5gq,0,101.2,29.2,2025-04-05T20:07:50.936Z,2025-04-05T22:29:38Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,,5627315949,346,,5627315947,56,Center,5627316013,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
