id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2816823969,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-18T20:08:22.649Z,2025-05-18T23:44:29Z,,,,,5738520071,194,7lnb14nmxv9gggyedv3tydvdg,5738520065,59,"21, 12, 3, 24, 4, 30, 2, 6, 11, 7, 9, 10, 13, 14, 32, 45, 91, 99",5738520061,30,"974nt2pay3nvbe8uyzx0qdhxw, 9jc85hbpruze4v8u1pjzsjt62, 62d3tsany7t5t2bwm4cx9pbai, 63td0sigm6tp2tg8yovf5npm2, b3ktzeb8cz6vl5snbrtnpzw4q, 7lnb14nmxv9gggyedv3tydvdg, 7jizpx7yu2zxvcrnf9z4408vd, 6rnuvzwbmj7qv80xlwkjvqnkl, 70axpxvnx40ax7oxri5pmz9qs, 8d6e9axgsli468lnomdbcgu6t, 3ldhrzekr0tztaxr3sc8mmg2x, 9irc1xmfpa2395qef78rfyjje, 597hrrj3moomrcd2d95yk12w9, 2axflqcowldpal1ffaf2lw3dg, 1cqnjzgntshx2ag3crh0p2uzu, a6nj3s6nhav0ybrnhla1m67mc, 8q0b0qnmebzt9v4he9o3k7rbo, tc5nl1hz1w06jobp5ckktr3e",5738520069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5738520067,130,2,5738520063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5738792825,197,29710,5738520073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816825619,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-18T20:10:08.786Z,2025-05-18T21:30:54Z,,,,,5738529689,130,7,5738529685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5738856939,197,29697,5738529695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5738529691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5738529693,194,e6uww9a9ssp0n20ksoolesa8l,5738529683,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 5uv1a9rj5wot3wcgefjoxhkdm, bxlh35ww96wgrsgfc8blou50p, 9etod4kwf9f5ye7jzc5ez0e3u, 3yd4f60qwxrbs2rch6uobxqsp, 357vd87hv0jvljqtt2qf4vmz8, 7xe0ov84ztwduks4x3utn05ck, dhi7890xe8zsmzhw2cad7sul1, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, beq6yluq1raxsrvxo77qlrf56, 8lk5ve59333boqzpcmd0yidck, 272w5ezobn1o53b3yxnbgjckq, dglf4uhg5wnc68cg8ijovfmy1, 8t6b8q53ovws370a1b27s85jo, 5iuzoq7alcxdn37rp7lvqyexg, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk, ece6sffb02drwz4brwndn0rh0",5738529687,59,"1, 13, 33, 17, 3, 43, 21, 15, 9, 19, 7, 2, 5, 8, 10, 25, 32, 47, 57, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872057,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-18T21:07:10.966Z,2025-05-18T21:07:11Z,,,,,5738794711,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872069,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-05-18T21:07:10.966Z,2025-05-18T21:07:14Z,,,,,5738794747,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872097,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,50.0,50.0,2025-05-18T21:07:10.967Z,2025-05-18T21:07:15Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5738794871,279,S,5738794857,140,27.4,5738794859,141,55.2,5738794855,56,Back,5738794867,213,2.99,5738794863,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872107,4,1,1,0,4,c9xffml4i7ihblp1qhus9w3fu,0,27.4,55.2,2025-05-18T21:07:15.409Z,2025-05-18T21:57:48Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5738794917,1,,5738794913,212,53.4,5738794905,157,,5738794909,140,75.6,5738794907,56,Center,5738794915,213,5.96,5738794911,141,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816874035,30,44,1,0,5,b1rpb2ox52uxcmjrsnqd95pk5,1,33.5,72.4,2025-05-18T21:07:16.286Z,2025-05-18T23:13:58Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5738811495,233,61,5738804373,56,Back,5738804375,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816875391,61,44,1,0,5,c9xffml4i7ihblp1qhus9w3fu,0,66.5,27.6,2025-05-18T21:07:16.287Z,2025-05-18T23:13:59Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5738811229,286,,5738811523,233,30,5738811227,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872137,3,1,1,0,6,b1rpb2ox52uxcmjrsnqd95pk5,0,29.7,77.5,2025-05-18T21:07:17.246Z,2025-05-18T22:09:05Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5738795037,212,13.7,5738795033,140,42.3,5738795035,141,83.0,5738795031,56,Back,5738795039,213,0.28,5738795029,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816872165,5,61,1,0,10,c9xffml4i7ihblp1qhus9w3fu,0,64.2,24.3,2025-05-18T21:07:21.241Z,2025-05-18T21:07:21Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5738795173,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
