id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2803356517,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-19T19:31:25.925Z,2025-04-19T23:20:35Z,,,,,5664297115,59,"23, 3, 6, 17, 5, 24, 7, 4, 14, 10, 11, 8, 13, 15, 19, 20, 30, 35, 55, 88",5664310399,194,ekzwxb68vg0w7o14zcq8n4vs9,5664297111,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, 8bp3sbo230kdhnw76stsw2u39, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 6j5qn2b7t0165vl1t26v001zo, db1h2huu8z1quj816wol1wgkp, ekzwxb68vg0w7o14zcq8n4vs9, 21vmi7qtrujzez3ziux0wa4et, agl19e1fx5123lk28avksxb3e, e2olfsduxvaqsx6rdbaasa356, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 3iygln7x6y336sb1qa3lfpa3u, 3y5650rx37d3hnh3sxzhaz7xl, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, 7xmkuf6t0h8n9dirv85jx25n8, e01adcq62lg6avlh5730enx90",5664310401,197,23254,5664297113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5664297119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664297117,130,2,5664297149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803359255,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-04-19T19:34:37.046Z,2025-04-20T04:04:30Z,,,,,5664313483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664313477,59,"1, 3, 13, 15, 28, 5, 14, 42, 9, 2, 20, 4, 6, 10, 16, 18, 31, 70",5664313481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5665054183,194,c4va4gt5g10zm05qtucgyt889,5664313479,130,8,5664680131,197,24408,5664313471,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 1l26kd7tulii6x999b3fdxi0a, c8nk2hg1xy4h4646ajpq65dnu, 3g0rdzkjns986gn34vg3umiqy, e8rbnbqkrxia3lgt7agaid4kq, 6jsu34146kbtoeco3ue1a7ok4, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, 2d1vmwon9o35lzpkdwxgv12lm, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, aqqbh1ugeh2f8jjiq8fu2qwru, 1445ppxg007udzcj6t20ceyju, d3b8yjlx6aitma59vlpen39m2, 9tbzso59dbmu47ovroulv9rf8, 2bhgif1020mgkwuzkjebaf6s4",5664313475,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803410985,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-04-19T20:36:15.163Z,2025-04-19T20:36:19Z,,,,,5664602345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803410977,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-04-19T20:36:15.163Z,2025-04-19T20:36:15Z,,,,,5664602331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411005,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,50.0,50.0,2025-04-19T20:36:15.164Z,2025-04-19T20:36:19Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,,5664602499,56,Back,5664602503,140,31.6,5664602515,213,2.76,5664602511,212,20.8,5664602507,141,61.4,5664602519,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411019,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,1,31.6,61.2,2025-04-19T20:36:18.716Z,2025-04-19T20:36:21Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,5664602601,212,18.6,5664602597,140,28.6,5664602603,213,4.54,5664602599,141,34.3,5664602595,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411047,5,1,1,0,5,224tl8u2smnbyliroayk69nt0,1,28.6,34.3,2025-04-19T20:36:20.820Z,2025-04-19T20:36:22Z,c8nk2hg1xy4h4646ajpq65dnu,I. Osumanu,,,5664602773,141,12.6,5664602775,212,15.8,5664602769,56,Back,5664602771,140,34.1,5664602777,213,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411059,6,1,1,0,7,224tl8u2smnbyliroayk69nt0,0,34.1,11.6,2025-04-19T20:36:22.796Z,2025-04-19T20:36:23Z,8pli7fk5kjmt0f9pl6sjsltuy,P. Barnes,,,5664602847,140,63.0,5664602857,213,0.05,5664602853,212,30.4,5664602849,141,13.7,5664602845,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411069,3,8,1,0,9,5x54jbfk11lrsmipgsx7cdbai,1,32.6,76.4,2025-04-19T20:36:24.769Z,2025-04-19T20:36:25Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5664602927,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803411093,4,5,1,0,10,5x54jbfk11lrsmipgsx7cdbai,0,37.0,101.6,2025-04-19T20:36:26.004Z,2025-04-19T22:46:03Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5664603743,233,7,5664603047,56,Back,5664603049,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
