id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2790918107,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-22T19:12:03.126Z,2025-03-22T21:18:53Z,,,,5595900051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5595900043,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, dek9c2ef9ahynvfrk60d9tm5m, b6t0f1g03ixymivs4fbaiewic, 6j5qn2b7t0165vl1t26v001zo, 87n7hmq7f1q1avazbmwmcg222, 21vmi7qtrujzez3ziux0wa4et, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 3y5650rx37d3hnh3sxzhaz7xl, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90, da2xipmbg3v2jwwe6twcs1fu2",5595900047,59,"23, 3, 6, 4, 5, 24, 7, 12, 10, 14, 11, 13, 15, 20, 30, 35, 88, 99",5595900053,194,87n7hmq7f1q1avazbmwmcg222,5595900055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596077791,197,25774,5595900049,130,21,5595900045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790919635,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-22T19:17:26.244Z,2025-03-22T21:20:03Z,,,,5596080413,197,18847,5595908533,59,"1, 15, 13, 32, 5, 4, 17, 6, 9, 25, 7, 2, 11, 12, 16, 24, 27, 31, 80",5595908541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5595908537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5595908531,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5595908515,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 869lv47g5aohwwzeyzx9xmt7u, 35bpd9cmuep6cqczngaqpc19m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, cla0i94uyddjw7jzqoyfsplre, bteydgv4om5ylyoznx9vesogl, hglsr5ybsi6bsl178ge0c31m, achy1l1rfq2d4ftn6l1esht9m, 5rdtu4wmswu65eqjjw38uao0k, 486r7pszrdk085ot7cy2008dm, 15jb2rb0mvhaz492ii7yqrk6h, cf744cscgw47rjb18w08wstuc",5595908539,194,42hi96pvzz8f69ixlcncn0549,5595908535,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928957,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-22T20:07:21.024Z,2025-03-22T20:07:25Z,,,,5595959881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928949,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-03-22T20:07:21.024Z,2025-03-22T20:07:21Z,,,,5595959847,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928967,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-03-22T20:07:21.025Z,2025-03-22T20:07:25Z,ekzwxb68vg0w7o14zcq8n4vs9,Z. Ryan,,5595959983,56,Back,5595959987,141,42.7,5595959991,213,3.40,5595959993,279,S,5595959989,212,19.6,5595959985,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928977,4,1,1,0,3,5x54jbfk11lrsmipgsx7cdbai,0,31.9,42.7,2025-03-22T20:07:24.683Z,2025-03-22T20:08:00Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,5595960049,1,,5595960045,212,44.5,5595960041,140,73.2,5595960033,157,,5595960037,56,Center,5595960043,141,28.3,5595960047,213,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928989,3,1,1,0,6,83cpn99fh7ulkwe8nezy8a3mx,0,23.6,68.7,2025-03-22T20:07:27.970Z,2025-03-22T22:31:08Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,5595960111,56,Left,5595960117,212,37.7,5595960113,140,57.8,5595960115,141,85.7,5595960121,1,,5595960119,213,0.31,5595960107,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928995,5,1,1,0,9,5x54jbfk11lrsmipgsx7cdbai,1,44.9,26.2,2025-03-22T20:07:30.954Z,2025-03-22T20:07:31Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,5595960157,56,Center,5595960161,141,34.9,5595960165,213,0.37,5595960163,212,16.5,5595960159,140,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929005,6,1,1,0,10,5x54jbfk11lrsmipgsx7cdbai,1,59.6,34.9,2025-03-22T20:07:31.586Z,2025-03-22T20:07:33Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,5595960213,56,Back,5595960217,141,20.7,5595960219,212,22.4,5595960215,140,40.4,5595960221,213,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929039,7,1,1,0,12,5x54jbfk11lrsmipgsx7cdbai,1,40.6,20.6,2025-03-22T20:07:33.650Z,2025-03-22T20:07:38Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,5595960399,141,42.1,5595960401,212,16.7,5595960395,56,Back,5595960403,213,2.08,5595960397,140,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929047,8,1,1,0,17,5x54jbfk11lrsmipgsx7cdbai,0,32.4,42.7,2025-03-22T20:07:38.618Z,2025-03-22T20:12:51Z,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,,5595960449,141,0.0,5595960445,56,Back,5595960453,213,5.25,5595960451,212,35.0,5595960455,1,,5595960443,155,,5595960447,140,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929063,4,5,1,0,19,83cpn99fh7ulkwe8nezy8a3mx,1,49.0,101.6,2025-03-22T20:07:40.889Z,2025-03-22T22:28:48Z,869lv47g5aohwwzeyzx9xmt7u,Z. Duncan,,5595960595,233,9,5595960547,347,,5595960545,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929051,9,5,1,0,19,5x54jbfk11lrsmipgsx7cdbai,0,51.0,-1.6,2025-03-22T20:07:40.889Z,2025-03-22T22:28:48Z,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,,5595960477,347,,5595960629,233,4,5595960475,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929113,5,1,1,0,23,83cpn99fh7ulkwe8nezy8a3mx,0,56.6,100.0,2025-03-22T20:07:44.817Z,2025-03-22T20:07:50Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,5595960791,141,78.4,5595960795,213,5.95,5595960787,56,Center,5595960789,140,100.0,5595960785,107,,5595960793,212,48.9,5595960797,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929333,6,5,1,0,29,83cpn99fh7ulkwe8nezy8a3mx,0,100.6,77.4,2025-03-22T20:07:50.684Z,2025-03-22T22:28:49Z,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,,5595961991,56,Center,5595961995,346,,5595962013,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929295,10,5,1,0,29,5x54jbfk11lrsmipgsx7cdbai,1,-0.6,22.6,2025-03-22T20:07:50.684Z,2025-03-22T22:28:49Z,dek9c2ef9ahynvfrk60d9tm5m,Y. Leerman,,5595961783,346,,5595962005,233,6,5595961781,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790929317,11,1,1,0,56,5x54jbfk11lrsmipgsx7cdbai,1,4.9,58.4,2025-03-22T20:08:17.290Z,2025-03-22T20:08:21Z,b6t0f1g03ixymivs4fbaiewic,J. Erlandson,,5595961907,140,3.9,5595961903,124,,5595961913,213,4.57,5595961917,237,,5595961911,212,7.3,5595961905,56,Back,5595961909,141,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
