id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/17/value,qualifier/16/value
2790914919,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-22T19:00:27.345Z,2025-03-22T20:06:36Z,,,,,5595883063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5595883055,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, 357vd87hv0jvljqtt2qf4vmz8, ece6sffb02drwz4brwndn0rh0, e6uww9a9ssp0n20ksoolesa8l, 5uv1a9rj5wot3wcgefjoxhkdm, 8lk5ve59333boqzpcmd0yidck, dglf4uhg5wnc68cg8ijovfmy1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, 8t6b8q53ovws370a1b27s85jo, dlhfyk6fgvqt3zrr5qfj7c6w9, 8sl4nqao4w38gwi1t3qrxu5lh, 7xe0ov84ztwduks4x3utn05ck, 18wgo4h0t9f3tbt8iq0tmkl7u, 5iuzoq7alcxdn37rp7lvqyexg, bxlh35ww96wgrsgfc8blou50p, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk",5595883059,59,"1, 43, 4, 19, 13, 5, 10, 8, 9, 25, 11, 18, 21, 22, 32, 33, 47, 57",5595950843,197,25150,5595883065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5595883057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5595958209,194,e6uww9a9ssp0n20ksoolesa8l,5595883061,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790916875,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T19:07:34.984Z,2025-03-22T23:04:41Z,,,,,5595893445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5595958747,197,23580,5595893443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596049405,194,28a0n53jofx4bk7vd74yqcb11,5595893437,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5595893441,130,18,5595893435,30,"8q0b0qnmebzt9v4he9o3k7rbo, 7jizpx7yu2zxvcrnf9z4408vd, 62d3tsany7t5t2bwm4cx9pbai, b3ktzeb8cz6vl5snbrtnpzw4q, 28a0n53jofx4bk7vd74yqcb11, 9jc85hbpruze4v8u1pjzsjt62, 6rnuvzwbmj7qv80xlwkjvqnkl, a6nj3s6nhav0ybrnhla1m67mc, 9irc1xmfpa2395qef78rfyjje, 3ldhrzekr0tztaxr3sc8mmg2x, 8d6e9axgsli468lnomdbcgu6t, 70axpxvnx40ax7oxri5pmz9qs, 974nt2pay3nvbe8uyzx0qdhxw, cujkrjaqaizwr771ist04uaj9, 7lnb14nmxv9gggyedv3tydvdg, 653qyopyxl1qrfmul2n3m5g16, 1nw1tmtpagpr647obkvygwgr9, tc5nl1hz1w06jobp5ckktr3e",5595893439,59,"91, 2, 3, 4, 5, 12, 6, 45, 10, 9, 7, 11, 21, 23, 30, 33, 39, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928889,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-03-22T20:07:08.966Z,2025-03-25T08:55:34Z,,,,,5595959545,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928875,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-22T20:07:08.966Z,2025-03-22T20:07:10Z,,,,,5595959475,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928907,3,1,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,49.9,50.0,2025-03-22T20:07:08.967Z,2025-03-22T20:07:14Z,e6uww9a9ssp0n20ksoolesa8l,E. Martínez,,,5595959611,213,3.26,5595959607,141,47.0,5595959603,56,Back,5595959609,212,17.4,5595959605,140,33.4,5595959613,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928917,4,1,1,0,3,c9xffml4i7ihblp1qhus9w3fu,0,33.4,47.0,2025-03-22T20:07:12.662Z,2025-03-22T20:07:25Z,272w5ezobn1o53b3yxnbgjckq,K. Hernández-Foster,,,5595959671,56,Center,5595959681,1,,5595959669,157,,5595959679,213,5.84,5595959675,141,32.4,5595959977,189,,5595959677,212,23.2,5595959673,140,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928925,5,44,1,0,7,c9xffml4i7ihblp1qhus9w3fu,1,64.0,23.4,2025-03-22T20:07:16.044Z,2025-03-22T20:38:02Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5595959749,286,,5595963401,233,3,5595959747,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928943,3,44,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,0,36.0,76.6,2025-03-22T20:07:16.045Z,2025-03-22T20:38:02Z,62d3tsany7t5t2bwm4cx9pbai,A. Villanueva,,,5595963385,233,5,5595959815,285,,5595959813,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790928933,6,43,1,0,7,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-22T20:07:16.342Z,2025-03-22T20:09:29Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5595959777,140,60.5,5595959773,3,0,5595959783,213,5.37,5595959779,141,24.1,5595959775,56,Center,5595964397,144,1,5595959781,212,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790930885,46,1,1,0,7,c9xffml4i7ihblp1qhus9w3fu,0,63.2,8.0,2025-03-22T20:07:16.383Z,2025-03-22T20:12:45Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5595971737,56,Right,5595971741,141,7.2,5595971739,140,66.2,5595971735,168,,5595971745,213,6.11,5595971743,212,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
