id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2821659191,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-07T22:02:14.253Z,2025-06-08T01:33:28Z,,,,5765627779,59,"22, 15, 3, 20, 5, 6, 77, 12, 10, 21, 11, 8, 13, 14, 18, 19, 24, 80",5765627775,30,"a3l8f3a6rr93qyyaxhdfqq1yi, f472o0229a6xev8qudf1tyf6y, eg5pbxm7emj77mdcub4xp6m3u, 9txqixk3uycvort3ntzkva1g5, couplbg5c1wzrb14ycd8f7h0p, 3tb7ycl6z32sevjo8rxa590, 1diaoqi51gzx23j4d5f8xc8b8, 8pqvmz8g1yhe7hqqc1d68c4mi, 449e2muutlpvx9lhv1t2tcsmh, 711t32tk6qwl567dngcldfw15, 9ch7zgxlcjiio0xbo2hhl2yvo, 2gsbai5bpg1fbullzvngv2l1w, 3o4uxnvpnf3cwjs3srwegxp90, bug5x187ehj0apzl11lrl3ip6, 4vdbw63j0s7npezknabq6p7xm, 9nkrr0mwqni0mehkgw6nk5gfe, c8svt3yazcfaq478j0cpbmbfu, 5o2437unwy8z2k2k2ers86dbd",5765627781,130,8,5765627787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765673847,197,29763,5765627777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5765627785,194,couplbg5c1wzrb14ycd8f7h0p,5765627783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821659501,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-07T22:05:15.728Z,2025-06-08T01:23:23Z,,,,5765629553,130,7,5765629555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765680079,194,e5nj82ezbq0x6zdzdh4quyxn9,5765629557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5765629551,59,"28, 2, 35, 5, 13, 21, 30, 8, 9, 10, 26, 3, 7, 11, 18, 19, 22, 25, 31, 77",5765629547,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, cefb3xpf94kmg4rk0v1mkk2l0, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, 1xkff6cxd8zycnd3n3odmvai1, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, e5nj82ezbq0x6zdzdh4quyxn9, bzs1s1yntau3dvzyvn6t7t785, cvi9u3v3krlkbvwcwjqztzvca, bolmgcfvbdizfyh6n9oz4xjsa, 864l8bcr288r74g3tmt1eqfe2, eqge8se9qvv9oqyivp267l016, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x, 7deyffi1b0b76ej9mpgbgr9qs, amy6q1u6b1rvlsudoc73mj2ms, c7o32tpxgb4n83i6fe93b8ez9",5765629549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5765673941,197,29739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667591,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-06-07T23:06:32.098Z,2025-06-07T23:06:32Z,,,,5765675029,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667597,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-06-07T23:06:32.098Z,2025-06-08T01:58:11Z,,,,5765675039,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667605,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.0,50.0,2025-06-07T23:06:32.099Z,2025-06-07T23:06:36Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,5765675121,212,26.2,5765675127,279,S,5765675125,213,3.21,5765675115,141,47.5,5765675113,140,25.1,5765675111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667615,4,1,1,0,4,bu5w8wprynlj9mvphvy8sd94f,0,24.7,47.8,2025-06-07T23:06:36.314Z,2025-06-07T23:06:39Z,9q3w4j10qfsq94svbmyxa879x,B. Hamid,,5765675163,141,33.1,5765675165,212,47.3,5765675157,157,,5765675159,56,Center,5765675167,213,6.07,5765675169,1,,5765675161,140,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667619,3,1,1,0,8,daicfonrbj124lu2la2rctxck,0,30.5,65.4,2025-06-07T23:06:40.660Z,2025-06-07T23:09:28Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5765675177,140,48.0,5765675183,213,5.99,5765675181,212,19.2,5765675173,3,,5765675175,56,Back,5765675179,141,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667625,5,1,1,0,9,bu5w8wprynlj9mvphvy8sd94f,0,54.6,48.4,2025-06-07T23:06:41.924Z,2025-06-07T23:06:42Z,cyignmjprj3whvban361mclm2,D. Mercado,,5765675215,140,58.0,5765675213,56,Center,5765675221,213,4.92,5765675219,212,17.2,5765675211,3,,5765675217,141,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667635,4,1,1,0,12,daicfonrbj124lu2la2rctxck,0,53.5,71.4,2025-06-07T23:06:44.729Z,2025-06-07T23:11:57Z,9ch7zgxlcjiio0xbo2hhl2yvo,N. Fuson,,5765675279,141,62.6,5765675283,213,5.56,5765675277,140,60.0,5765675273,3,,5765675275,56,Center,5765675281,212,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821667651,6,1,1,0,13,bu5w8wprynlj9mvphvy8sd94f,1,43.0,31.8,2025-06-07T23:06:45.106Z,2025-06-08T00:08:16Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,1.0,5765675349,140,76.7,5765675351,141,30.3,5765675347,56,Center,5765675357,1,,5765675431,210,13,5765675345,157,,5765675355,213,6.25,5765675353,212,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
