id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2816196047,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T01:10:37.837Z,2025-05-18T05:22:23Z,,,,,5735162779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5735291187,197,29728,5735162777,130,18,5735162773,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5735162771,30,"470xuwiwevwy86l2ararrkyga, 2jxho5va9q638vkklji2n8cx6, 20z2nx7xh9mgty7qp6xur14yy, 3u22kckqpecmgcw7ee3xrdppm, 8i5k1tx7x5hx4kk3qzyvrfj84, a1v4h4gcsepnaknru3jjnwl5g, 40qi53orb0eur2jevowkvrcb8, e6gr1t1rp2x7waywgzlrj8yqx, 65jctzcct9irz3wre08c2v2wa, 8hamv2lpjznz8mettx8dc5tsk, f3ftrudyp33naykboqmua0jro, catp73eq6wn8hxggfcpzks3u2, 8p3y7tm4lzwp39tojonnohaay, 9elhnfsovx9efu5f92mkkls7o, 613kkjtvfyf7mbvrqt9pcizmd, 4nwnrf33mdxscx5rdaw1529cl, bnsuxef1oaaye5fise5qlur8q, 6fgrix1m2a1zkn8kvd29nbcvd",5735162775,59,"56, 28, 33, 24, 5, 18, 17, 27, 10, 9, 14, 1, 3, 6, 7, 23, 41, 42",5735291277,194,e6gr1t1rp2x7waywgzlrj8yqx,5735162781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816210939,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T01:38:11.068Z,2025-05-18T04:33:00Z,,,,,5735247749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735247739,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, 7y9k549gjh2183ylplvwg2q5l, bgxiot2ugkc6t5jchxewen4k5, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 579n2n7oiogy83epzcfrxtd5h, 8qjls72u1tvwuxas420p8ed5g, 23vdzclmewq139wius9oy3m51, do8svqsgqomasmzdwwsgg7qlm, 2p1887g4xd36ac2trpyf42wru, cc7jk41tn9qi5px4pb9l4bn8q, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, 5g8dr2qbefady0fa5wuwxvt3o, t8bq7sttljbcrrspxz5tnm5l, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 2054x8z63k74or3inr9sl0bu1, 113mck575esofosg0reheh7je",5735560181,194,b7hyxpaqt3ymfbuah1yop5rai,5735298983,197,23592,5735247745,130,17,5735247743,59,"1, 2, 22, 4, 6, 5, 19, 20, 9, 10, 24, 3, 7, 8, 14, 17, 21, 23, 96, 99",5735247741,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5735247747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223681,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-18T02:10:29.123Z,2025-05-18T05:24:41Z,,,,,5735317911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223671,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-05-18T02:10:29.123Z,2025-05-18T02:10:29Z,,,,,5735317859,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223723,3,1,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,50.4,49.7,2025-05-18T02:10:29.124Z,2025-05-18T02:10:34Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5735318135,279,S,5735318123,56,Back,5735318127,141,52.1,5735318125,140,13.9,5735318131,213,3.10,5735318133,1,,5735318129,212,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223761,4,1,1,0,4,7neuneh44n9rtsfsh6r0sb9no,0,24.7,51.2,2025-05-18T02:10:33.940Z,2025-05-18T02:10:39Z,9l35nvd07jhy457u1yehm3gx6,D. Vitiello,,,5735318343,213,5.86,5735318341,212,51.5,5735318335,56,Right,5735318345,1,,5735318333,157,,5735318337,140,69.4,5735318339,141,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223765,3,44,1,0,8,7c9knuwazz9k9449u5rnuuy5m,1,28.9,81.0,2025-05-18T02:10:37.867Z,2025-05-18T03:04:38Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735318355,285,,5735318485,233,5,5735318353,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223771,5,44,1,0,8,7neuneh44n9rtsfsh6r0sb9no,0,71.1,19.0,2025-05-18T02:10:37.868Z,2025-05-18T03:04:38Z,23vdzclmewq139wius9oy3m51,S. Herrera,,,5735318383,56,Right,5735318543,233,3,5735318385,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223779,4,1,1,0,9,7c9knuwazz9k9449u5rnuuy5m,0,26.4,82.9,2025-05-18T02:10:38.378Z,2025-05-18T02:10:39Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5735318451,141,98.0,5735318453,212,12.0,5735318449,140,32.4,5735318455,213,1.02,5735318447,56,Back,5735318445,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816223839,6,1,1,0,12,7neuneh44n9rtsfsh6r0sb9no,1,64.7,15.5,2025-05-18T02:10:41.780Z,2025-05-18T02:10:45Z,do8svqsgqomasmzdwwsgg7qlm,C. Parano,,,5735318695,212,5.2,5735318691,140,59.8,5735318697,213,2.98,5735318693,141,16.7,5735318689,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
