id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value
2788807381,1,34,16,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-15T22:06:48.247Z,2025-03-15T23:06:52Z,,,,,5584301205,130,8,5584301207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584301199,30,"d38osra1p83cgtmrwqt6w60yy, 1x95h6xtnycmvpqu7vgu4vh79, 637c2iedo7modc3ekt36c2m7d, 9tispdm7tc3te31awsfcmd905, 97d0drjb3zqkh5ozfufg17nys, 54yx5xkqrktd2hp0sxjx6hm8l, d50x000h9o6i8kd8aihie4lx, e93nozniig2wriw9doit6a4tl, 8delieh6jv1cgaukmgcwfjsic, 2co6fedrz8anjzy9ise76dplh, 1lk61nwcvayf0ep21p31xcfzd, cv7nd9tnk6j2ixvnlibiip2vp, arxprecroj7kqwx1tmkhhfsdm, n6ubi9lw3fjau0xzvd09myqy, blts89a19itip4gjeagcwc1xx, 33t1aoog229o5f7okwwg5d6ac, 7ad4uvgwiwtjy23nt3yjsmctm, 5fhb206czgy2ul5j0tsqeo7ah",5584301201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5584442427,197,22472,5584301203,59,"98, 33, 16, 14, 3, 41, 99, 5, 19, 8, 27, 23, 30, 2, 6, 17, 21, 22",5584301209,194,9tispdm7tc3te31awsfcmd905,5584301211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788807477,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-15T22:07:08.491Z,2025-03-16T02:37:06Z,,,,,5584301915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584301909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5584301907,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, cefb3xpf94kmg4rk0v1mkk2l0, cyignmjprj3whvban361mclm2, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, fm9i7pzwi2diu6i18kycmx1x, 864l8bcr288r74g3tmt1eqfe2, bzs1s1yntau3dvzyvn6t7t785, aqb7f88ta15ve8izh5zy9paz9, bolmgcfvbdizfyh6n9oz4xjsa, cvi9u3v3krlkbvwcwjqztzvca, 1460tac94fhhy43lmohs4fj3e, bbic10tw6eaf7rgpogt37rgtl, eqge8se9qvv9oqyivp267l016, c14ntw6zvozswy685dztldl1x, 66mp8cxjrfuyw16t00oh4i8r9, 1xkff6cxd8zycnd3n3odmvai1, amy6q1u6b1rvlsudoc73mj2ms, 9d011ayfpxxfc4qqlp98gdq8k",5584301917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584301911,59,"28, 2, 35, 5, 13, 21, 8, 11, 26, 17, 7, 3, 4, 16, 18, 22, 29, 30, 31, 32",5584449679,197,22487,5584449677,194,d539xjkdwt1i77f0czbvo8ull,5584301913,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788831999,2,32,1,0,0,8cpjplodpphtkbt0hq8sr8mqs,1,0.0,0.0,2025-03-15T23:06:57.997Z,2025-03-15T23:07:01Z,,,,,5584442653,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788831993,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-15T23:06:57.997Z,2025-03-15T23:06:58Z,,,,,5584442637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832045,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.3,50.1,2025-03-15T23:06:57.998Z,2025-03-15T23:07:02Z,aqb7f88ta15ve8izh5zy9paz9,R. Rivera,,,5584442857,279,S,5584442851,212,17.6,5584442849,141,41.3,5584442847,140,34.5,5584442853,213,3.49,5584442845,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832073,4,1,1,0,3,bu5w8wprynlj9mvphvy8sd94f,1,33.0,41.3,2025-03-15T23:07:01.312Z,2025-03-15T23:07:05Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5584443025,56,Center,5584443035,1,,5584443027,140,62.2,5584443033,213,6.10,5584443023,157,,5584443031,212,31.2,5584443029,141,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832079,5,44,1,0,6,bu5w8wprynlj9mvphvy8sd94f,1,67.0,26.7,2025-03-15T23:07:04.322Z,2025-03-16T01:48:31Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5584443085,286,,5584443241,233,3,5584443083,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832065,3,44,1,0,6,8cpjplodpphtkbt0hq8sr8mqs,0,33.0,73.3,2025-03-15T23:07:04.323Z,2025-03-16T01:48:31Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5584443001,56,Back,5584443253,233,5,5584443003,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832091,6,1,1,0,6,bu5w8wprynlj9mvphvy8sd94f,0,62.2,33.1,2025-03-15T23:07:04.535Z,2025-03-16T01:15:04Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5584443147,3,,5584443149,56,Center,5584443155,212,27.9,5584443153,141,50.6,5584443151,140,86.2,5584443157,213,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788832077,4,61,1,0,6,8cpjplodpphtkbt0hq8sr8mqs,1,30.1,77.2,2025-03-15T23:07:04.754Z,2025-03-15T23:07:14Z,54yx5xkqrktd2hp0sxjx6hm8l,J. Musa,,,5584443073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
