id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2816903341,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-18T22:08:48.950Z,2025-05-18T23:05:49Z,,,,,5738969163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5738969153,30,"6j9gbfyvpr5lqp6aak54597ca, 64amlcisr3cr924jwy25rjs9h, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 8td51fzpdl6c1yrz6r0igle22, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, am6xykrxjymw2qpqli6upysq, 1d20nyyvmp0doobj6heejkowk, dks0ibq4b4i2w3bcc05v8rhn8, bw0h202lprp7jzdtp6hv78ixh, 109e64uz1hq4tb3rspek41qll, 87pe681vhgbb6plpej3tr74oa, 5ku33b8dbb20fhqdg8h83rdyi, 8svvdqi69pc6it7mnin50q68k, 3me8mlpj9tgn82v2mwyibpkb8, 2imizu6je16b3ssheijycxjh1",5738969159,130,13,5739111841,197,29719,5739096423,194,d99eakp27bro9g50wpzti8rca,5738969161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5738969157,59,"99, 12, 2, 15, 91, 4, 26, 6, 35, 9, 21, 5, 8, 10, 14, 22, 39, 47",5738969155,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816908587,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-18T22:18:27.205Z,2025-05-19T02:11:42Z,,,,,5739002975,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5739143457,194,2yflerah2shma2hzhm99msez9,5739002969,130,8,5739002971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5739002963,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5739002965,59,"1, 22, 24, 80, 6, 5, 8, 3, 99, 11, 37, 14, 16, 17, 27, 31, 72, 83",5739143459,197,23268,5739002961,30,"4o2odluv4usimcdtryht04zjd, cc7auv8d89ohifqg7qwz62mwa, 2wj1w4opn7f0jyz1ps6ebvc6i, 2yflerah2shma2hzhm99msez9, 6pqyqf9v6g60ci7jjggalqsq1, 16ndalf4kfr7e6rd9mwj7gfmc, 1b9b97pxox77ia41cilqqm4iy, khvgxqohya7mawca1qx5q590, bvmqiuxeyjf68mz3jbm6i295h, csx9pmpibyblftludnkd6j36x, 441plehxckmdj5gb2mr6y8ne2, rtercnq9nn7y0814ghe7wo2x, 97rumgrdtahzassy8weq13dyi, 4f03usm5tnljkqleajmz9kmol, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, chiwsyjdyk4sn4vxqu9mdr0x6, 7oxivwr2b7bq70t35dgsjloiy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931593,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-18T23:06:32.829Z,2025-05-18T23:06:33Z,,,,,5739130113,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931607,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-18T23:06:32.829Z,2025-05-18T23:06:36Z,,,,,5739130187,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931637,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,50.2,50.1,2025-05-18T23:06:32.830Z,2025-05-18T23:06:37Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5739130327,279,S,5739130321,141,54.6,5739130317,56,Back,5739130325,213,2.98,5739130323,212,18.5,5739130319,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931651,4,1,1,0,4,ck22dnk93ng8ax7wonlff7yms,1,32.8,54.6,2025-05-18T23:06:37.142Z,2025-05-18T23:06:38Z,2yflerah2shma2hzhm99msez9,S. Williams,,,5739130395,56,Back,5739130407,213,5.94,5739130403,141,45.7,5739130399,140,49.0,5739130405,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816963141,412,1,1,0,5,ck22dnk93ng8ax7wonlff7yms,1,52.6,49.5,2025-05-18T23:06:37.829Z,2025-05-19T00:04:43Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,5739299559,213,2.43,5739299553,140,46.0,5739299555,141,58.3,5739299557,212,9.2,5739299551,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931661,5,1,1,0,5,ck22dnk93ng8ax7wonlff7yms,0,49.0,45.7,2025-05-18T23:06:38.534Z,2025-05-19T00:05:39Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,,5739130515,212,10.3,5739301629,155,,5739130517,213,2.44,5739130511,140,41.5,5739130509,56,Back,5739130513,141,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931655,3,8,1,0,6,aj8ytsr2ap33tod0hd8ofzaw9,1,24.2,88.0,2025-05-18T23:06:39.194Z,2025-05-18T23:06:39Z,dgpphcc9ql3pv3b4chhchml90,O. Damm,,,5739130455,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816931695,5,1,1,0,9,aj8ytsr2ap33tod0hd8ofzaw9,0,34.7,79.9,2025-05-18T23:06:42.774Z,2025-05-18T23:06:44Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5739130735,141,61.4,5739130729,157,,5739130741,1,,5739130737,212,51.5,5739130731,56,Center,5739130733,140,82.3,5739130739,213,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
