id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value
2796582419,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-05T19:04:11.599Z,2025-04-05T22:11:49Z,,,,5626970785,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, bnhjfu5p8tysruk7aep5dr1ex, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, d2yqubc3u7bjj96yqawjojod0, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, 2m28wyud6xi78nt8e92p9keay, 2ozy3ijlcknjqk0omzwd58x2i, a8ngovgs2qfu5udzb97kelg16, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 9ij293r1mbtygl6v3u2s43i3u, 8bwjj53jwbsi0emx370uka5g4, djz5cm1g7ouen2y4o7w35jbl6",5626970793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5626970791,130,2,5627357019,194,1j010cibh247p8kjchww6ny3u,5627325261,197,28468,5626970789,59,"1, 22, 12, 6, 2, 5, 7, 88, 20, 21, 11, 4, 8, 13, 14, 15, 18, 31",5626970795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626970787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2796585919,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-05T19:08:44.898Z,2025-04-05T22:46:03Z,,,,5626990299,130,18,5626990303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5626990293,30,"974nt2pay3nvbe8uyzx0qdhxw, 653qyopyxl1qrfmul2n3m5g16, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, 28a0n53jofx4bk7vd74yqcb11, 9jc85hbpruze4v8u1pjzsjt62, 1nw1tmtpagpr647obkvygwgr9, 9irc1xmfpa2395qef78rfyjje, 70axpxvnx40ax7oxri5pmz9qs, 3ldhrzekr0tztaxr3sc8mmg2x, 8d6e9axgsli468lnomdbcgu6t, 7jizpx7yu2zxvcrnf9z4408vd, b3ktzeb8cz6vl5snbrtnpzw4q, 6rnuvzwbmj7qv80xlwkjvqnkl, d69lweta8e4vd3mk83lk0nvt, cujkrjaqaizwr771ist04uaj9, 1cqnjzgntshx2ag3crh0p2uzu, tc5nl1hz1w06jobp5ckktr3e",5626990295,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5627952563,194,28a0n53jofx4bk7vd74yqcb11,5627948783,197,23580,5626990297,59,"21, 33, 3, 30, 5, 12, 39, 10, 11, 9, 7, 2, 4, 6, 16, 23, 32, 99",5626990301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2796642451,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-05T20:06:42.774Z,2025-04-05T20:06:43Z,,,,5627306859,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642463,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-04-05T20:06:42.774Z,2025-04-05T20:06:45Z,,,,5627306885,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642499,3,1,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,50.0,50.0,2025-04-05T20:06:42.775Z,2025-04-05T20:08:04Z,d2yqubc3u7bjj96yqawjojod0,X. Gnaulati,,5627307095,140,27.2,5627307103,279,S,5627307097,141,47.5,5627307101,213,3.21,5627307099,212,24.0,5627307093,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642563,4,1,1,0,3,kfq8fhwnmycbtad1u0fyefx0,0,27.3,47.3,2025-04-05T20:06:45.879Z,2025-04-05T20:06:53Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5627307515,212,53.4,5627307507,157,,5627307511,140,74.3,5627307517,213,0.39,5627307519,1,,5627307513,141,77.2,5627307509,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796691887,435,44,1,0,8,b1rpb2ox52uxcmjrsnqd95pk5,1,23.8,23.0,2025-04-05T20:06:50.774Z,2025-04-05T21:00:57Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5627578849,285,,5627578847,56,Back,5627578875,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642569,5,44,1,0,8,kfq8fhwnmycbtad1u0fyefx0,0,76.2,77.0,2025-04-05T20:06:50.775Z,2025-04-05T21:00:58Z,2m28wyud6xi78nt8e92p9keay,M. Malango,,5627307539,56,Center,5627578897,233,435,5627307541,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796642573,3,12,1,0,8,b1rpb2ox52uxcmjrsnqd95pk5,1,20.7,23.1,2025-04-05T20:06:51.631Z,2025-04-05T21:00:58Z,653qyopyxl1qrfmul2n3m5g16,M. Doner,,5627307585,15,,5627307571,213,0.00,5627307563,56,Back,5627307569,212,0.9,5627307565,140,21.6,5627307567,141,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796647157,43,61,1,0,9,kfq8fhwnmycbtad1u0fyefx0,1,77.9,86.9,2025-04-05T20:06:52.200Z,2025-04-05T21:01:42Z,2m28wyud6xi78nt8e92p9keay,M. Malango,,5627331981,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
