id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2785774785,1,34,16,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-08T23:43:15.365Z,2025-03-09T01:46:42Z,,,,,5567678757,194,ani26vxlo22iw1u9oexptml05,5567678751,59,"56, 7, 4, 91, 5, 16, 80, 6, 26, 8, 19, 1, 22, 23, 10, 42, 36, 11, 17, 62",5567678749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5567678759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567678747,30,"ect3pxkbjycux4simxmzp9jze, 6692w96w6qmvgcpo02dehq4iy, 14oq6mvlh5e51d9y20nbpok4p, 94zkjopy373mgso15ljxmhd04, ani26vxlo22iw1u9oexptml05, 98l6i78kwuwnt2sbcucssgjfu, dmbqkvvaray373vy9eiq4l1ck, 5tyrfuxsp7s9thsmhfqevuoyx, caoq1dpq6lz1btrd75s9xuz56, ecjt2cd0xn1qyeyboapqwxbvu, 5jigl7kp5d2i5ws1602jm7n1m, 5htuxrszecd448kld1yguwpas, 3s1a50dskuehneuuy9b1nxg4, eur2vbdzfmcxyfathakjghyqc, 1h85rt7bnqep3qovatft86pgq, f1gj1qng7x6nxfi8lbxa7tvpx, 5t1wvh34lm993otbc3469uzxm, ax8t5jhq9kz6ff2sji3p90kr8, 22p6n3oird085u2kbkiqp4pg, aur71sievd8d2fnrumu3xf6c",5567786329,197,27037,5567678755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567678753,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785776235,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-08T23:46:05.899Z,2025-03-09T00:36:24Z,,,,,5567686131,130,13,5567686125,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, 7f1q3d59u9n16v9xrskfxqsq1, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, 869lv47g5aohwwzeyzx9xmt7u, d2ny0huv78m4m6p65y8eou7oq, 35bpd9cmuep6cqczngaqpc19m, 3hb6yji6u8ftefif91lfrbtre, cxscznjyygtsgbajv08q04sq2, cla0i94uyddjw7jzqoyfsplre, hglsr5ybsi6bsl178ge0c31m, achy1l1rfq2d4ftn6l1esht9m, aj5x0l6jpxl7s8pfmhgc4060a, 5rdtu4wmswu65eqjjw38uao0k, 486r7pszrdk085ot7cy2008dm, 15jb2rb0mvhaz492ii7yqrk6h",5567786359,197,23584,5567689831,194,42hi96pvzz8f69ixlcncn0549,5567686135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5567686127,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5567686129,59,"1, 15, 13, 32, 5, 4, 6, 17, 9, 25, 7, 2, 12, 16, 23, 24, 27, 31",5567686133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794353,2,32,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-03-09T00:36:50.839Z,2025-03-09T00:36:51Z,,,,,5567789035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794363,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-09T00:36:50.839Z,2025-03-09T00:36:54Z,,,,,5567789089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794381,3,1,1,0,0,e3k8yw2rbmphyfu5htn4yi5jk,1,50.4,50.0,2025-03-09T00:36:50.840Z,2025-03-09T00:36:54Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5567789197,140,31.1,5567789199,141,36.6,5567789201,212,22.2,5567789195,56,Back,5567789203,213,3.56,5567789205,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794405,4,1,1,0,1,e3k8yw2rbmphyfu5htn4yi5jk,1,31.1,36.6,2025-03-09T00:36:52.466Z,2025-03-09T00:36:56Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5567789345,212,23.3,5567789343,141,70.9,5567789347,213,1.61,5567789341,140,30.3,5567789339,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794439,5,1,1,0,5,e3k8yw2rbmphyfu5htn4yi5jk,0,31.5,74.2,2025-03-09T00:36:56.354Z,2025-03-09T00:37:00Z,14oq6mvlh5e51d9y20nbpok4p,C. Allan,,,5567789499,140,76.4,5567789507,1,,5567789501,141,57.6,5567789497,56,Center,5567789505,213,6.05,5567789503,212,48.5,5567789495,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794441,3,44,1,0,8,83cpn99fh7ulkwe8nezy8a3mx,1,22.7,34.7,2025-03-09T00:36:58.899Z,2025-03-09T03:12:37Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5567789515,285,,5567789513,56,Back,5567789609,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794445,6,44,1,0,8,e3k8yw2rbmphyfu5htn4yi5jk,0,77.3,65.3,2025-03-09T00:36:58.900Z,2025-03-09T03:12:37Z,caoq1dpq6lz1btrd75s9xuz56,C. Jennings,,,5567789613,233,3,5567789525,286,,5567789523,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794469,4,1,1,0,8,83cpn99fh7ulkwe8nezy8a3mx,1,21.1,22.1,2025-03-09T00:36:59.623Z,2025-03-09T00:37:02Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5567789649,213,4.14,5567789639,3,,5567789641,56,Back,5567789647,212,11.7,5567789643,140,15.1,5567789645,141,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785794485,5,1,1,0,11,83cpn99fh7ulkwe8nezy8a3mx,1,15.7,11.7,2025-03-09T00:37:01.896Z,2025-03-09T00:43:21Z,aomjkj5s52jkzgk3ljsz0osiy,E. Perez,,,5567789747,140,10.1,5567789751,212,6.1,5567789749,141,9.2,5567789745,56,Back,5567789753,213,3.42,5567789743,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
