id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2785868733,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-03-09T02:35:37.634Z,2025-03-09T06:13:59Z,,,,5568201537,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5568201535,30,"catp73eq6wn8hxggfcpzks3u2, 613kkjtvfyf7mbvrqt9pcizmd, 20z2nx7xh9mgty7qp6xur14yy, 8p3y7tm4lzwp39tojonnohaay, 8i5k1tx7x5hx4kk3qzyvrfj84, a1v4h4gcsepnaknru3jjnwl5g, 7im0ak1zd8rk6bmnnq41cgcbu, e6gr1t1rp2x7waywgzlrj8yqx, f3ftrudyp33naykboqmua0jro, o0a1acp618ig9detdym1m0pg, 65jctzcct9irz3wre08c2v2wa, 9elhnfsovx9efu5f92mkkls7o, 8hamv2lpjznz8mettx8dc5tsk, e7vsajjh4e7t51ciycjg0skd0, 2jxho5va9q638vkklji2n8cx6, a4staqjshva5lhcr0dw744nze, bnsuxef1oaaye5fise5qlur8q, 4wr32d93f1q1v8qjq2ywmnbze",5568201545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568201539,59,"1, 7, 33, 3, 5, 18, 15, 27, 14, 11, 10, 6, 9, 13, 28, 34, 41, 96",5568201541,130,13,5568201543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5568359093,197,22474,5568359885,194,e6gr1t1rp2x7waywgzlrj8yqx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785871085,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-09T02:41:35.402Z,2025-03-09T03:22:22Z,,,,5568215535,194,bpkzxcqtmvei7lqkqzuvzelsl,5568215537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568215533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5568215531,130,13,5568215529,59,"1, 7, 11, 33, 2, 27, 5, 17, 9, 28, 8, 3, 4, 14, 18, 20, 34, 41",5568326613,197,2772,5568215525,30,"dp8j7znd4eavuoy3faqpamoa2, ch01b74i78nggnffi81875ld6, 8vcytrkvxzki08gxqpulol3hl, bpkzxcqtmvei7lqkqzuvzelsl, du5dg5x7as3ub1iemjuwdd6uh, 2wufroeor0e7k6hvatj1ltwfe, 4l1wyg8j3u42b87477y3zm54a, 5s5sc7zxuw8cr7vyzeofb8hnu, 6mrzod8fbjpv5s30eyypfyv2t, c08hvq1hplcct8kxrxucfpqp6, 7ao58e6608lb8eu3dmk17jisp, 87rpg135z1k0ir74kdczwo2y1, 56txiyhvsvhudyr1b21rznmjt, dbjysa6qhf203jmpjedz8pgph, e13oeez12fwnzyf2qkizwflec, cbbip5xc4xfipnk6aal6cfywa, 5eptcbetmcxxwzhed6i5rl0r8, 3gzatxlefe9axcrqyllbtrzmc",5568215527,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898637,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-03-09T03:37:08.427Z,2025-03-09T03:37:08Z,,,,5568366249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898641,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-03-09T03:37:08.427Z,2025-03-09T03:37:12Z,,,,5568366267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898677,3,1,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,50.1,49.9,2025-03-09T03:37:08.428Z,2025-03-09T03:37:13Z,65jctzcct9irz3wre08c2v2wa,E. Azcona,,5568366451,278,,5568366447,213,3.04,5568366445,212,8.6,5568366439,56,Back,5568366449,279,S,5568366441,140,42.0,5568366443,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898699,4,1,1,0,3,7c9knuwazz9k9449u5rnuuy5m,1,42.6,47.6,2025-03-09T03:37:11.820Z,2025-03-09T03:37:17Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,5568366623,56,Back,5568366631,213,4.05,5568366629,212,25.2,5568366627,141,18.5,5568366625,140,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898711,5,1,1,0,8,7c9knuwazz9k9449u5rnuuy5m,0,23.8,18.2,2025-03-09T03:37:17.093Z,2025-03-09T03:37:18Z,a1v4h4gcsepnaknru3jjnwl5g,J. Singer,,5568366715,213,6.13,5568366717,1,,5568366707,140,76.0,5568366703,56,Right,5568366713,212,55.4,5568366701,157,,5568366711,141,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898727,3,1,1,0,11,5qfq6cwtrgzd2szijivns7rjl,0,27.0,84.3,2025-03-09T03:37:20.036Z,2025-03-09T06:00:13Z,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,,5568366795,212,17.3,5568366797,213,6.15,5568366787,3,,5568366789,56,Back,5568366793,141,80.9,5568366791,140,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785903525,100,61,1,0,12,5qfq6cwtrgzd2szijivns7rjl,0,36.8,71.6,2025-03-09T03:37:20.687Z,2025-03-09T03:48:05Z,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,,5568392337,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785898757,6,1,1,0,16,7c9knuwazz9k9449u5rnuuy5m,0,48.9,35.7,2025-03-09T03:37:24.652Z,2025-03-09T03:39:46Z,7im0ak1zd8rk6bmnnq41cgcbu,A. Chattha,,5568366989,1,,5568366985,212,9.0,5568366987,213,6.17,5568367077,236,,5568366983,141,34.2,5568366981,140,57.4,5568367079,233,4,5568366977,157,,5568366979,56,Center,5568367083,286,,,,,,,,,,,,,,,,,,,,,,,,
