id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2805366719,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-04-24T00:01:13.210Z,2025-04-24T03:29:10Z,,,,5675387363,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5675387365,59,"1, 16, 24, 6, 12, 22, 11, 15, 8, 19, 9, 4, 10, 13, 23, 25, 27, 42, 47",5675723085,194,cvdn34vl3zje5uq54nvg77sut,5675387367,130,21,5675387361,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 52rcg38mijjjusfwqxa2l7hex, 4fbaxgikw7z9sfhuz6vvnfmxh, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, djau5chcmoyiyq28jt9ypzh4a, ew8oodr9hiuqve7xlz24xznfu, caxfn5xu1taewgtxil6ah2rjd, 7b346y8ad54mkc0h1343ybs2x, c5xcmwzyq3g1tvtyj8i5ud65m, 3nvijn3ctkplajtt1dd23wycp, 18iz45ww0nara0xdaleg72ort, 1iyhipdn84for8bbxb07kw4x5, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg, 85k1701p1ihv5ty1q457tjaqc, 92e2s4yfk06ym5ksu9p8lgc2c",5675387371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5675387369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5675574837,197,18628,,,,,,,,,,,,,,,,,,,,,,,,,,
2805367507,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-24T00:08:35.851Z,2025-04-24T01:07:10Z,,,,5675393129,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5675393135,130,8,5675489397,197,28468,5675393127,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, f2nxaemhqi8kbtbejnqekgd4a, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, b0zo05bu61v32nw35mriue0yy, 6d45ccicyo6dregi9cm4ad4kq, 6hdas9nshfgbjhj91y3ob8b11, 2m28wyud6xi78nt8e92p9keay, a8ngovgs2qfu5udzb97kelg16, 8bwjj53jwbsi0emx370uka5g4, 1vnfc466lc01fdfhyvzt8fhii, djz5cm1g7ouen2y4o7w35jbl6, 2ozy3ijlcknjqk0omzwd58x2i, 7d326gljgym4qtmxvx5t5poq2, 5gc4aouty93b7kbin9cpgrdre",5675393145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5675393143,194,1j010cibh247p8kjchww6ny3u,5675393139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5675393131,59,"1, 15, 22, 6, 2, 5, 7, 14, 20, 13, 11, 8, 18, 28, 31, 4, 9, 21",,,,,,,,,,,,,,,,,,,,,,,,,,
2805384123,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-24T01:06:24.627Z,2025-04-24T01:06:28Z,,,,5675487251,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384119,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-04-24T01:06:24.627Z,2025-04-24T01:06:25Z,,,,5675487211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384153,3,1,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,49.9,50.0,2025-04-24T01:06:24.628Z,2025-04-24T01:06:28Z,ew8oodr9hiuqve7xlz24xznfu,M. Vargas,,5675487427,141,54.5,5675487433,279,S,5675487429,212,11.4,5675487425,140,39.4,5675487431,213,2.87,5675487423,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384155,4,1,1,0,2,bk3zg8yaj5uoqhxzwons3bo8a,1,39.4,54.5,2025-04-24T01:06:27.353Z,2025-04-24T01:06:28Z,4fbaxgikw7z9sfhuz6vvnfmxh,G. Zelalem,,5675487443,140,43.9,5675487445,141,85.3,5675487441,56,Back,5675487447,212,21.5,5675487449,213,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384201,5,1,1,0,3,bk3zg8yaj5uoqhxzwons3bo8a,1,43.9,85.3,2025-04-24T01:06:28.237Z,2025-04-24T01:06:35Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,5675487699,213,3.82,5675487691,141,69.3,5675487687,140,31.0,5675487685,56,Back,5675487695,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384219,6,1,1,0,10,bk3zg8yaj5uoqhxzwons3bo8a,1,30.8,69.3,2025-04-24T01:06:35.461Z,2025-04-24T01:06:38Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675487845,212,21.9,5675487837,140,14.9,5675487841,141,48.5,5675487849,213,3.84,5675487835,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384249,7,1,1,0,13,bk3zg8yaj5uoqhxzwons3bo8a,1,16.9,49.7,2025-04-24T01:06:38.453Z,2025-04-24T01:06:42Z,zczt4alpawz5522hff8x39p1,A. Tambakis,,5675487999,141,68.4,5675488001,212,15.9,5675488003,213,0.93,5675487995,56,Back,5675487997,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805384305,8,1,1,0,17,bk3zg8yaj5uoqhxzwons3bo8a,1,28.1,73.8,2025-04-24T01:06:42.262Z,2025-04-24T01:06:46Z,cvdn34vl3zje5uq54nvg77sut,K. Ryden,,5675488237,213,4.76,5675488231,140,29.2,5675488229,56,Back,5675488233,141,40.1,5675488235,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
