id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818553183,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-24T22:13:21.697Z,2025-05-25T02:14:38Z,,,,,5748241669,30,"9q3w4j10qfsq94svbmyxa879x, 96qlwmkrab9h7xt93jzgl384p, 1460tac94fhhy43lmohs4fj3e, fm9i7pzwi2diu6i18kycmx1x, eqopj1p3a2ehzpwlj90laswoa, d539xjkdwt1i77f0czbvo8ull, 1xkff6cxd8zycnd3n3odmvai1, cyignmjprj3whvban361mclm2, e5nj82ezbq0x6zdzdh4quyxn9, am7umg00yxt40mndzo6e0u3o4, bzs1s1yntau3dvzyvn6t7t785, cvi9u3v3krlkbvwcwjqztzvca, bolmgcfvbdizfyh6n9oz4xjsa, 864l8bcr288r74g3tmt1eqfe2, bbic10tw6eaf7rgpogt37rgtl, aqb7f88ta15ve8izh5zy9paz9, 3bpj0qbeokaqc33aro8v7qpec, c14ntw6zvozswy685dztldl1x, amy6q1u6b1rvlsudoc73mj2ms, 9w4hxsqx1uixdvlo4lp47gums",5748241679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748241687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748241683,194,e5nj82ezbq0x6zdzdh4quyxn9,5748383727,197,29982,5748241675,130,2,5748241671,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5748241673,59,"28, 2, 4, 8, 13, 21, 30, 5, 10, 9, 26, 3, 7, 11, 16, 17, 19, 22, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818556783,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-24T22:19:38.173Z,2025-05-25T01:59:59Z,,,,,5748263669,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, cbjd834y2hdx5jr3bda1zz6ga, bxlh35ww96wgrsgfc8blou50p, 9etod4kwf9f5ye7jzc5ez0e3u, 3yd4f60qwxrbs2rch6uobxqsp, 357vd87hv0jvljqtt2qf4vmz8, dhi7890xe8zsmzhw2cad7sul1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, b708ir5u7r34j9oemje8f8z1m, dglf4uhg5wnc68cg8ijovfmy1, dlhfyk6fgvqt3zrr5qfj7c6w9, 5uv1a9rj5wot3wcgefjoxhkdm, 7xe0ov84ztwduks4x3utn05ck, 2ig362xub2syd45v3usgymbkk, ae11j4s1qmv2augwuplxgrtka",5748263681,130,7,5748263683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5748367395,197,29697,5748263677,59,"1, 27, 33, 17, 3, 43, 15, 8, 9, 19, 7, 6, 10, 11, 13, 21, 57, 77",5748263673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5748263685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748368555,194,e6uww9a9ssp0n20ksoolesa8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579393,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-05-24T23:06:42.555Z,2025-05-24T23:06:46Z,,,,,5748381871,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579379,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-05-24T23:06:42.555Z,2025-05-24T23:06:42Z,,,,,5748381817,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579415,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,50.1,50.0,2025-05-24T23:06:43.061Z,2025-05-24T23:18:29Z,e5nj82ezbq0x6zdzdh4quyxn9,S. Blanco,,,5748381989,213,3.53,5748381991,279,S,5748381985,141,36.3,5748381987,212,24.3,5748381983,140,28.7,5748381981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579463,4,1,1,0,2,bu5w8wprynlj9mvphvy8sd94f,0,28.7,36.3,2025-05-24T23:06:44.824Z,2025-05-25T01:07:05Z,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,,,5748382287,1,,5748382283,212,3.4,5748382281,141,38.2,5748382279,140,31.7,5748382313,286,,5748382285,213,0.39,5748382309,233,3,5748382307,236,,5748382275,157,5748382277,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579445,3,74,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,69.2,59.3,2025-05-24T23:06:44.825Z,2025-05-24T23:06:48Z,2rsduabh7r8i29f9i6znwbfu1,R. Damus,,,5748382161,56,Center,5748382163,285,,5748382321,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579475,5,1,1,0,4,bu5w8wprynlj9mvphvy8sd94f,0,45.6,47.8,2025-05-24T23:06:46.905Z,2025-05-24T23:06:48Z,fm9i7pzwi2diu6i18kycmx1x,M. Romero,,,5748382363,157,,5748382367,140,70.6,5748382375,1,,5748382369,141,57.0,5748382371,212,27.0,5748382365,56,Center,5748382373,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579493,4,12,1,0,6,c9xffml4i7ihblp1qhus9w3fu,1,26.4,56.4,2025-05-24T23:06:48.959Z,2025-05-24T23:06:51Z,3yd4f60qwxrbs2rch6uobxqsp,P. Kavita,,,5748382467,140,22.7,5748382465,56,Back,5748382471,212,8.9,5748382473,213,2.02,5748382493,15,,5748382469,141,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818579521,5,12,1,0,8,c9xffml4i7ihblp1qhus9w3fu,1,22.7,68.2,2025-05-24T23:06:51.295Z,2025-05-24T23:58:16Z,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,5748382615,212,12.9,5748382617,213,1.13,5748382613,141,85.4,5748382611,140,27.9,5748382609,56,Back,5748382641,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
