id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2816158099,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-18T00:06:39.130Z,2025-05-18T05:05:06Z,,,,,5734951381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5734951387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5734951379,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, 1445ppxg007udzcj6t20ceyju, 1l26kd7tulii6x999b3fdxi0a, 6jsu34146kbtoeco3ue1a7ok4, 9jfh2t3w4aqc4o4rvjfk7xey1, c4va4gt5g10zm05qtucgyt889, e8rbnbqkrxia3lgt7agaid4kq, 5h4ldsd3uwkk4wxr9iqi5kqy2, 6emdaopgvgmxzmuj4bu1tz7my, cxrjwzo1fmvgcw8i820hwn07p, aqqbh1ugeh2f8jjiq8fu2qwru, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8",5734951383,59,"1, 3, 13, 23, 5, 16, 15, 42, 9, 2, 14, 4, 6, 8, 10, 18, 20, 31",5735148171,194,c4va4gt5g10zm05qtucgyt889,5734951389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5735138507,197,29758,5734951385,130,17,,,,,,,,,,,,,,,,,,,,,,,
2816166549,1,34,16,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-18T00:19:30.512Z,2025-05-18T01:18:22Z,,,,,5735189339,194,7i29w1zl3m6xdnurdll08jsvd,5734997569,30,"duuhalibp64gdz6nub5ub0ovd, 7i29w1zl3m6xdnurdll08jsvd, 6oj55tf7cdnnnft350f9fyhnt, drbcpa8qvrgin42q3it10nieh, dqekbs06e79n3vapj437pwyc, b9lt0sfts2zxf2ali8vpf0pn9, rtca480n5ehey5ffvt8nudck, 3djjepgynp4qnhgvvqh9oa1ka, 3ljxfq84ubqzlooixppmpfdd6, cnqxbvy77blk2ulx06t65it49, cfx7vo0kbjvcly2nf1b7papsk, 2h53fzt0ubszmkuwfnez8n622, ody1ty0csq2lnatvjwdrrv11, dio84sg1k4gsedcpordxs69lg, 6eqvj5hboqw5c21ofhsgo4p9l, 8m19c2e0raanzp3dzf7aaf6jt, dokvihfznn6m11rcoonhp589g, 39t59x9q2xumbn2hphk7urp7u, 4ccmn07kk0thmg6apfxgivmc5, caeg1a6mrwrgknibgyjq66jh0",5734997577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734997571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5734997573,59,"1, 5, 6, 10, 23, 14, 17, 18, 27, 21, 20, 3, 7, 11, 22, 24, 25, 33, 77, 80",5735118807,197,3377,5734997575,130,8,5734997579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,
2816193891,2,32,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,0.0,0.0,2025-05-18T01:07:02.507Z,2025-05-18T01:07:02Z,,,,,5735150677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816193899,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-18T01:07:02.507Z,2025-05-18T01:07:05Z,,,,,5735150727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816193947,3,1,1,0,0,ak0rmms5xl49w57i2rvid1tk9,1,49.9,50.3,2025-05-18T01:07:02.508Z,2025-05-18T01:07:07Z,drbcpa8qvrgin42q3it10nieh,Z. Zandi,,,5735150979,213,3.00,5735150975,141,56.3,5735150981,279,S,5735150973,140,23.2,5735150971,56,Back,5735150977,212,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816193991,4,1,1,0,4,ak0rmms5xl49w57i2rvid1tk9,1,22.0,54.5,2025-05-18T01:07:07.479Z,2025-05-18T01:07:11Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735151231,213,6.03,5735151227,141,37.3,5735151221,157,,5735151223,56,Center,5735151229,212,47.6,5735151233,1,,5735151225,140,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2816193999,5,61,1,0,8,ak0rmms5xl49w57i2rvid1tk9,0,65.9,37.3,2025-05-18T01:07:11.132Z,2025-05-18T04:07:57Z,3ljxfq84ubqzlooixppmpfdd6,J. Tejada,,,5735151271,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194307,3,1,1,0,10,224tl8u2smnbyliroayk69nt0,0,33.2,62.4,2025-05-18T01:07:13.019Z,2025-05-18T01:07:49Z,6jsu34146kbtoeco3ue1a7ok4,J. Wälti,,,5735153033,141,23.3,5735153037,213,5.66,5735153031,140,68.8,5735153027,157,,5735153035,212,45.9,5735153029,56,Center,5735153039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194179,7,1,1,0,25,ak0rmms5xl49w57i2rvid1tk9,1,11.0,57.3,2025-05-18T01:07:28.034Z,2025-05-18T01:07:30Z,duuhalibp64gdz6nub5ub0ovd,C. Herrera,,,5735152347,123,,5735152355,212,17.5,5735152351,140,18.4,5735152357,213,5.17,5735152353,141,34.2,5735152349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816194203,8,1,1,0,27,ak0rmms5xl49w57i2rvid1tk9,1,18.4,34.2,2025-05-18T01:07:30.326Z,2025-05-18T01:07:33Z,dqekbs06e79n3vapj437pwyc,G. Metusala,,,5735152467,212,3.7,5735152461,56,Back,5735152463,140,21.8,5735152465,141,35.5,5735152469,213,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
