id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2789598313,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-16T19:43:04.963Z,2025-03-17T00:57:44Z,,,,,5588573929,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, beq6yluq1raxsrvxo77qlrf56, ece6sffb02drwz4brwndn0rh0, e6uww9a9ssp0n20ksoolesa8l, 5uv1a9rj5wot3wcgefjoxhkdm, 8lk5ve59333boqzpcmd0yidck, dglf4uhg5wnc68cg8ijovfmy1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, 8t6b8q53ovws370a1b27s85jo, dlhfyk6fgvqt3zrr5qfj7c6w9, 8sl4nqao4w38gwi1t3qrxu5lh, 18wgo4h0t9f3tbt8iq0tmkl7u, 5iuzoq7alcxdn37rp7lvqyexg, bxlh35ww96wgrsgfc8blou50p, 357vd87hv0jvljqtt2qf4vmz8, 86fbk8r7wsy14weicjdxj76z8, 2ig362xub2syd45v3usgymbkk",5589144269,194,e6uww9a9ssp0n20ksoolesa8l,5588573939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5588951261,197,25150,5588573935,130,7,5588573937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5588573931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5588573933,59,"1, 2, 4, 19, 13, 5, 10, 8, 9, 25, 11, 18, 22, 32, 33, 43, 47, 57",,,,,,,,,,,,,,,,,,,,,,,,
2789601377,1,34,16,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-16T19:47:43.635Z,2025-03-17T01:06:07Z,,,,,5588759253,194,42hi96pvzz8f69ixlcncn0549,5588591279,59,"1, 15, 2, 32, 5, 4, 17, 6, 9, 16, 7, 8, 12, 13, 23, 24, 25, 31",5588759255,197,18847,5588591283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5588591281,130,13,5588591277,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5588591287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5588591275,30,"a3k4grlhkn63p3xfb2rzslkdm, aomjkj5s52jkzgk3ljsz0osiy, cla0i94uyddjw7jzqoyfsplre, 42hi96pvzz8f69ixlcncn0549, e2rv433ve4ytatjl94dcz1hm2, 9gvsswyf0gzxekrjdkpuqrh0p, d2ny0huv78m4m6p65y8eou7oq, 869lv47g5aohwwzeyzx9xmt7u, 35bpd9cmuep6cqczngaqpc19m, achy1l1rfq2d4ftn6l1esht9m, cxscznjyygtsgbajv08q04sq2, 1xb2wmuzlhgo6vt7f9yl2rnkk, hglsr5ybsi6bsl178ge0c31m, 7f1q3d59u9n16v9xrskfxqsq1, aj5x0l6jpxl7s8pfmhgc4060a, 5rdtu4wmswu65eqjjw38uao0k, 3hb6yji6u8ftefif91lfrbtre, 15jb2rb0mvhaz492ii7yqrk6h",,,,,,,,,,,,,,,,,,,,,,,,
2789633695,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-03-16T20:38:36.570Z,2025-03-16T20:38:36Z,,,,,5588765515,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633705,2,32,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,0.0,0.0,2025-03-16T20:38:36.570Z,2025-03-16T20:38:37Z,,,,,5588765559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633761,3,1,1,0,0,83cpn99fh7ulkwe8nezy8a3mx,1,50.3,50.5,2025-03-16T20:38:36.571Z,2025-03-16T22:53:51Z,35bpd9cmuep6cqczngaqpc19m,P. Goodrum,,,5588765865,140,30.9,5588765869,212,22.5,5588765867,141,36.4,5588765873,279,S,5588765871,213,3.58,5588765863,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633763,4,1,1,0,2,83cpn99fh7ulkwe8nezy8a3mx,0,35.1,54.3,2025-03-16T20:38:38.807Z,2025-03-16T22:53:49Z,9gvsswyf0gzxekrjdkpuqrh0p,S. Totsch,,,5588765885,141,71.1,5588765881,56,Center,5588765883,140,66.1,5588765887,212,34.5,5588765889,213,0.34,5588765879,155,,5588765891,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633725,3,12,1,0,3,c9xffml4i7ihblp1qhus9w3fu,1,32.8,25.6,2025-03-16T20:38:39.819Z,2025-03-16T22:53:48Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588765669,141,31.2,5588765665,56,Back,5588765671,212,10.2,5588765673,213,0.38,5588765705,15,,5588765667,140,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789637569,54,1,1,0,3,83cpn99fh7ulkwe8nezy8a3mx,0,51.3,85.7,2025-03-16T20:38:40.239Z,2025-03-16T20:46:35Z,42hi96pvzz8f69ixlcncn0549,K. Adams,,,5588790189,213,6.17,5588790179,155,,5588790185,141,84.0,5588790181,56,Left,5588790183,140,60.8,5588790187,212,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789638497,67,61,1,0,5,c9xffml4i7ihblp1qhus9w3fu,1,39.6,22.1,2025-03-16T20:38:42.265Z,2025-03-16T20:48:29Z,dglf4uhg5wnc68cg8ijovfmy1,T. Preston,,,5588797063,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789633771,4,12,1,0,6,c9xffml4i7ihblp1qhus9w3fu,1,20.8,12.2,2025-03-16T20:38:42.994Z,2025-03-16T20:38:46Z,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,5588765921,141,15.8,5588765917,56,Back,5588765923,212,15.5,5588765925,213,0.16,5588765919,140,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
