id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2823762789,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T01:05:40.572Z,2025-06-22T06:01:29Z,,,,,5777417289,194,8gy9wgqywaqi9uy6i31i0q21h,5777495777,197,29713,5777417291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777417287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777417279,30,"cuw4kvdf0bazq87mh3dwv71ii, 7ll9dqayz9698v71x2pvgrspg, 6fgxgq77v66va16tcuqvyn6x, c4g35kho1qirnu4q420knnl9m, 8gy9wgqywaqi9uy6i31i0q21h, 2mxaagzu9rb92z9880yjllbzd, 7ctc1xui7wk89o5v00z8ijqw9, 7ajceczjsu9ci4nqv9gg2860a, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, 2dbik29e0m9bil2ofn2yhrget, 9hqo1ykdlw9iv4tlo8d3vu9ec, 9qjkqhlworzz3lk1o6nc191ih, 9lucpehmfe4z2vdlica1kc9d6, 7vs1eqm82fwwuhwfqodb3dyw9, bl2b89wej9nxdtvqnjqoz85t6, 1jhs3g95t0ah1hx3fwlo14kmi",5777417281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5777417283,59,"1, 18, 16, 30, 25, 3, 6, 8, 14, 13, 10, 5, 7, 9, 11, 12, 19, 24",5777417285,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823766911,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-06-22T01:19:19.599Z,2025-06-22T04:41:59Z,,,,,5777441571,59,"1, 22, 12, 88, 2, 4, 31, 6, 20, 21, 11, 3, 9, 13, 14, 16, 18, 28",5777494305,197,29740,5777441575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5777441573,130,2,5777441569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5777441579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5777441577,194,isauuse3yqdwymvfne6ci385,5777441567,30,"isauuse3yqdwymvfne6ci385, f2nxaemhqi8kbtbejnqekgd4a, bnhjfu5p8tysruk7aep5dr1ex, d2yqubc3u7bjj96yqawjojod0, 1j010cibh247p8kjchww6ny3u, 2ozy3ijlcknjqk0omzwd58x2i, djz5cm1g7ouen2y4o7w35jbl6, 9x7teazvqgbnj3pnam6rf2xgp, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, 2m28wyud6xi78nt8e92p9keay, bnpu23zlwzn5gtr4t8j8qtnh0, 7d326gljgym4qtmxvx5t5poq2, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 13nxnwt9zo5v20pmrgibk8glw, 8bwjj53jwbsi0emx370uka5g4, 1vnfc466lc01fdfhyvzt8fhii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776477,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T02:07:12.253Z,2025-06-22T02:07:12Z,,,,,5777496359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776479,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-06-22T02:07:12.253Z,2025-06-22T02:07:13Z,,,,,5777496365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776483,3,1,1,0,0,5h878vnmkbuy2ummddprusxgq,1,50.0,50.0,2025-06-22T02:07:12.254Z,2025-06-22T02:07:14Z,7ctc1xui7wk89o5v00z8ijqw9,E. Calvillo,,,5777496379,56,Back,5777496387,213,3.54,5777496389,279,S,5777496383,141,36.5,5777496385,212,23.4,5777496381,140,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776485,4,1,1,0,3,5h878vnmkbuy2ummddprusxgq,0,36.2,35.2,2025-06-22T02:07:15.518Z,2025-06-22T04:21:48Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5777496399,141,59.3,5777496397,140,61.5,5777496395,56,Center,5777496403,213,0.55,5777496393,157,,5777496405,1,,5777496401,212,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776487,5,43,1,0,4,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-22T02:07:17.031Z,2025-06-22T02:07:28Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,,5777496591,144,56,5777496409,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776491,3,44,1,0,6,kfq8fhwnmycbtad1u0fyefx0,1,23.6,18.3,2025-06-22T02:07:19.024Z,2025-06-22T03:11:53Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777496431,285,,5777496501,233,6,5777496429,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776507,6,44,1,0,6,5h878vnmkbuy2ummddprusxgq,0,76.4,81.7,2025-06-22T02:07:19.025Z,2025-06-22T04:21:43Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,5777496505,233,3,5777496495,286,,5777496493,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823776501,4,1,1,0,7,kfq8fhwnmycbtad1u0fyefx0,1,23.9,20.0,2025-06-22T02:07:19.288Z,2025-06-22T04:38:53Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,,5777496469,3,,5777496479,213,0.42,5777496475,141,25.4,5777496473,140,31.7,5777496477,212,9.0,5777496471,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
