id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2821721089,1,34,16,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-08T01:17:50.540Z,2025-06-08T03:28:14Z,,,,5765973667,194,6fgxgq77v66va16tcuqvyn6x,5765973657,30,"cuw4kvdf0bazq87mh3dwv71ii, 7ll9dqayz9698v71x2pvgrspg, 7vs1eqm82fwwuhwfqodb3dyw9, 7ajceczjsu9ci4nqv9gg2860a, 8gy9wgqywaqi9uy6i31i0q21h, 2mxaagzu9rb92z9880yjllbzd, 7ctc1xui7wk89o5v00z8ijqw9, 6fgxgq77v66va16tcuqvyn6x, cqmvrx028gh19yh8qh7w01y0a, 3lndo247f4br8t6xxdvlij4a2, 2mgcta30puk8kuwb5mo4zvcnp, 9qjkqhlworzz3lk1o6nc191ih, bl2b89wej9nxdtvqnjqoz85t6, cywd7q1m77lwe5q2dof7rvf9w, dowfebdy2qnsz8hkj0ilrux62, 1jhs3g95t0ah1hx3fwlo14kmi, c4g35kho1qirnu4q420knnl9m, 9lucpehmfe4z2vdlica1kc9d6",5765973659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5765973669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766079557,197,29713,5765973661,59,"1, 18, 12, 8, 25, 3, 6, 16, 14, 13, 10, 9, 19, 20, 21, 24, 30, 11",5765973663,130,4,5765973665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2821728297,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-08T01:38:54.556Z,2025-06-08T02:30:40Z,,,,5766014311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5766014305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5766014315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5766014303,30,"6j38lv6xa3gnzzsn5x2i35rdh, e0879u9ckqe6xv1h2j8bqto9g, 6g7v93m80xq6x38o9u3t8y3je, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, cxnq0rc4u1efzt82nw3xgk355, 4jq1xl8ott88bxfdo4bjm47hl, cclpvd1z3yyruciida1q3x4o9, 653qyopyxl1qrfmul2n3m5g16, doseo9fbdr1a1srm0jhdqmr55, ei30dsbb51ri88sr7aku2t13p, 777irocsl9y6fja05sevniy95, bogxgfao7j28diagxffy0z9ey, cqhpjp9q1pl5gy4nfrpd7m3h0, evk0esdocrzt5zxqmv4ostdcl, 629pbkngxk7ucy0qt9mngvkd1, 97rzxcaw3u0qqov2uci1m4ges, 24r8fdf8ypk7ejch9t86zjwgk",5766014313,194,4jq1xl8ott88bxfdo4bjm47hl,5766014307,59,"1, 45, 7, 3, 15, 33, 10, 12, 9, 30, 11, 4, 5, 6, 14, 25, 35, 48, 88",5766014309,130,13,5766080001,197,10793,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733577,2,32,1,0,0,5h878vnmkbuy2ummddprusxgq,1,0.0,0.0,2025-06-08T02:06:24.799Z,2025-06-08T02:06:28Z,,,,5766045193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733575,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-06-08T02:06:24.799Z,2025-06-08T02:06:25Z,,,,5766045191,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733587,3,1,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,50.1,50.1,2025-06-08T02:06:24.800Z,2025-06-08T03:02:42Z,cxnq0rc4u1efzt82nw3xgk355,P. Armenakas,,5766045231,279,S,5766045225,212,32.1,5766045223,141,53.4,5766045221,140,19.6,5766045219,56,Back,5766045227,213,3.07,5766045229,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733599,4,1,1,0,2,b5l2e3csycjb8twvq9ek0j5gq,0,19.6,53.4,2025-06-08T02:06:27.405Z,2025-06-08T03:01:49Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766045283,56,Center,5766045285,140,61.2,5766045293,213,0.27,5766045295,1,,5766045281,157,,5766045289,212,45.4,5766045287,141,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733619,4,1,1,0,10,5h878vnmkbuy2ummddprusxgq,1,10.3,50.9,2025-06-08T02:06:35.193Z,2025-06-08T02:06:38Z,cuw4kvdf0bazq87mh3dwv71ii,S. Mora-Mora,,5766045477,213,5.32,5766045471,140,21.5,5766045469,56,Back,5766045475,212,20.6,5766045473,141,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733637,5,1,1,0,13,5h878vnmkbuy2ummddprusxgq,1,18.5,20.9,2025-06-08T02:06:38.505Z,2025-06-08T02:06:45Z,8gy9wgqywaqi9uy6i31i0q21h,A. Ortíz,,5766045589,213,6.13,5766045587,212,68.0,5766045579,155,,5766045591,1,,5766045585,141,5.8,5766045583,140,82.5,5766045581,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733645,5,45,1,0,20,b5l2e3csycjb8twvq9ek0j5gq,0,11.0,92.8,2025-06-08T02:06:45.561Z,2025-06-08T04:53:13Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,5766045657,233,6,5766045633,285,,5766045629,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2821733641,6,3,1,0,20,5h878vnmkbuy2ummddprusxgq,1,89.0,7.2,2025-06-08T02:06:45.561Z,2025-06-08T04:53:13Z,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,5766045605,286,,5766045603,56,Right,5766045653,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
