id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2790977847,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-22T23:00:05.177Z,2025-03-22T23:47:59Z,,,,5596231325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596231327,194,d99eakp27bro9g50wpzti8rca,5596231319,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5596231329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596231317,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, d99eakp27bro9g50wpzti8rca, 5ku33b8dbb20fhqdg8h83rdyi, do5q14naxm61jw8px8qvacn4k, 1e1wh213cg8q6lsqa3kvbjdka, 1d20nyyvmp0doobj6heejkowk, 1o7iht0ow216jvo5qm64akup6, 87pe681vhgbb6plpej3tr74oa, 8td51fzpdl6c1yrz6r0igle22, bw0h202lprp7jzdtp6hv78ixh, 9etod4kwf9f5ye7jzc5ez0e3u, dg0vj3tk1fqeyuocfy4rmyoh6, 8svvdqi69pc6it7mnin50q68k, 4r4a2d3piuh8wusw8ftrsh016, cdyrj15oxu3l5sgzgwof8ohgq",5596231323,130,13,5596231321,59,"99, 47, 2, 15, 91, 14, 6, 26, 9, 19, 10, 4, 5, 17, 20, 22, 31, 77",5596307537,197,3376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790977849,1,34,16,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-22T23:00:06.349Z,2025-03-23T02:57:44Z,,,,5596231331,30,"ac5zpx8c09rtmidm654e67xsl, 411grh3cytippnnanb767qvsa, 5jo2bkbs00nbvcoik2i3nvuuh, 9tknltys66s9j8ljchwu5efv9, bjdoqj8tsm1wlxiqaavduwo9h, 6jdsh8ubirqphhurw5rr7kz8q, f21web74a70mly9i28jpa1yvp, 8e6kj3506n4gum041dok8v1ex, 6u93ok0drr4byri2lu5g6rq0a, ecipfh5r0gqsf0skgvgpu8cbu, 68lho3sxw1cm1acgk4phg9wtm, 4t3akio43zpg7pyr3dtmoipnu, 69wq859yz6wzirpbvpnt3n8bt, 1tsiml56f2xxym8h4tfjmho2c, 18g5ilv70mq7igiooy5yb8sno, 3cj2fww973bv21rfjlnu15yc4, 7ejohb009byubwiqv36vag5jo, 6a6bagymcckyt43w6b31irsvd",5596359409,197,22464,5596231333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5596231339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5596231341,194,9tknltys66s9j8ljchwu5efv9,5596231343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5596231337,130,13,5596231335,59,"1, 14, 42, 5, 20, 27, 17, 44, 7, 16, 19, 4, 13, 15, 24, 26, 8, 55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999765,2,32,1,0,0,6597wqy6gmpv3zjx7rp8cdj46,1,0.0,0.0,2025-03-23T00:06:55.957Z,2025-03-23T00:06:59Z,,,,5596352693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999759,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-03-23T00:06:55.957Z,2025-03-24T07:34:10Z,,,,5596352661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999783,3,1,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,49.8,50.0,2025-03-23T00:06:55.958Z,2025-03-23T00:07:00Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,5596352809,213,3.43,5596352811,279,S,5596352801,56,Back,5596352807,212,21.0,5596352803,140,30.6,5596352805,141,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999787,4,1,1,0,2,aj8ytsr2ap33tod0hd8ofzaw9,0,30.6,41.2,2025-03-23T00:06:58.404Z,2025-03-23T00:07:01Z,5ku33b8dbb20fhqdg8h83rdyi,A. Rogers,,5596352837,140,68.7,5596352835,56,Center,5596352843,213,0.29,5596352839,141,58.5,5596352841,212,41.7,5596352833,157,,5596352845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999797,3,12,1,0,6,6597wqy6gmpv3zjx7rp8cdj46,1,33.3,33.6,2025-03-23T00:07:02.181Z,2025-03-24T07:35:00Z,bjdoqj8tsm1wlxiqaavduwo9h,C. Donovan,,5596352895,213,5.74,5598583637,15,,5596352887,56,Back,5596352893,212,13.9,5596352891,141,23.0,5596352889,140,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999813,5,1,1,0,7,aj8ytsr2ap33tod0hd8ofzaw9,1,60.7,85.7,2025-03-23T00:07:03.644Z,2025-03-24T07:35:20Z,2giowiodzndu5m2gwn79iiui1,L. Batista,,5596352983,141,68.5,5596352985,212,12.2,5596352979,56,Center,5596352987,213,5.01,5596352981,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999849,6,1,1,0,8,aj8ytsr2ap33tod0hd8ofzaw9,1,62.3,66.7,2025-03-23T00:07:04.556Z,2025-03-24T07:35:39Z,1e1wh213cg8q6lsqa3kvbjdka,G. Colli,,5596353227,141,73.2,5596353225,140,37.5,5598583759,156,,5596353229,212,26.4,5596353223,56,Back,5596353231,213,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2790999885,7,1,1,0,12,aj8ytsr2ap33tod0hd8ofzaw9,1,37.0,71.5,2025-03-23T00:07:08.116Z,2025-03-23T00:07:12Z,d99eakp27bro9g50wpzti8rca,A. Cissoko,,5596353391,213,4.48,5596353389,212,19.9,5596353387,141,43.0,5596353385,140,32.7,5596353383,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
