id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value
2800358507,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-04-13T01:14:36.596Z,2025-04-13T04:37:09Z,,,,,5647766689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647766687,130,8,5647766683,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5647766693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647766685,59,"1, 2, 23, 6, 5, 4, 11, 19, 9, 8, 17, 7, 13, 14, 21, 24, 28, 31, 33, 20",5647766691,194,ds74l5fmanizrflvvfkl42pcl,5647766681,30,"9zolq6c0x4ubmtfusbz2c3xwq, 26uulzcbbpgdrvnf5msmqidck, 52qwgcxm3vpgabixc8c2i3aax, 3sp46qr51lu5o2213enn5xtjp, ds74l5fmanizrflvvfkl42pcl, 8sydisziijh84elb8dprtlduy, 5nv5d35t6x08kuujy5qptrlec, f1j8v0figkewc23fmaexubo4p, k3rif7polxoazy70fu2013op, 7qt4r82kyz05r8kd8cmdh1xqs, 6ydk69km9oe49cg6plrc6u0wk, 6kp2pv58u27yf5tnclyhnuoh6, ersabc33m0ihy01uxccpnon4k, 7d1v02o7kk9guqpn77xzgtvu2, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys, a2crcglwdookm6m397dxw2qdw",5648180617,197,28546,,,,,,,,,,,,,,,,,,,,,,,,
2800363589,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-04-13T01:21:09.916Z,2025-04-13T05:46:59Z,,,,,5647795331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5648192143,194,9l35nvd07jhy457u1yehm3gx6,5647795333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647795323,59,"1, 17, 3, 22, 6, 5, 20, 96, 24, 10, 11, 8, 9, 21, 23, 39, 55, 99",5647795327,130,13,5647795321,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5647924063,197,3421,5647795319,30,"9l35nvd07jhy457u1yehm3gx6, t8bq7sttljbcrrspxz5tnm5l, cc7jk41tn9qi5px4pb9l4bn8q, 7y9k549gjh2183ylplvwg2q5l, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, 8qjls72u1tvwuxas420p8ed5g, 2054x8z63k74or3inr9sl0bu1, 2p1887g4xd36ac2trpyf42wru, do8svqsgqomasmzdwwsgg7qlm, 9lqozbr0ghw2fhep938p8snah, 271x0k4dhjqn4h7ecmt44pzo5, 23vdzclmewq139wius9oy3m51, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, dv0qqd4mx117y4al165nsdic4, 6e7vgxyzx00c79hw1wg4d01sk, 113mck575esofosg0reheh7je",,,,,,,,,,,,,,,,,,,,,,,,
2800386401,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-04-13T02:06:39.177Z,2025-04-13T02:06:40Z,,,,,5647924335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386395,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-04-13T02:06:39.177Z,2025-04-13T02:06:39Z,,,,,5647924313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386421,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,50.0,50.0,2025-04-13T02:06:39.178Z,2025-04-13T02:06:42Z,7qt4r82kyz05r8kd8cmdh1xqs,O. Sylla,,,5647924427,140,31.1,5647924431,212,20.4,5647924423,56,Back,5647924429,141,42.8,5647924435,279,S,5647924433,213,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386441,4,1,1,0,3,cf5r1qpotp6n5i3vdchsp2en1,0,30.4,49.6,2025-04-13T02:06:42.553Z,2025-04-13T02:06:45Z,8sydisziijh84elb8dprtlduy,N. Benalcázar,,,5647924487,140,78.7,5647924493,213,5.94,5647924489,141,23.1,5647924483,157,,5647924495,1,,5647924485,56,Center,5647924491,212,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386457,3,12,1,0,7,7neuneh44n9rtsfsh6r0sb9no,1,23.9,75.8,2025-04-13T02:06:46.636Z,2025-04-13T02:06:53Z,7y9k549gjh2183ylplvwg2q5l,M. Benítez,,,5647924575,15,,5647924547,56,Back,5647924551,141,60.6,5647924549,140,33.5,5647924555,213,5.49,5647924553,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386485,5,1,1,0,8,cf5r1qpotp6n5i3vdchsp2en1,1,80.2,40.0,2025-04-13T02:06:47.544Z,2025-04-13T02:06:51Z,3sp46qr51lu5o2213enn5xtjp,K. Scott,,,5647924735,3,,5647924743,212,9.1,5647924745,213,0.61,5647924741,141,47.6,5647924737,56,Center,5647924739,140,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386489,6,1,1,0,11,cf5r1qpotp6n5i3vdchsp2en1,0,74.6,51.3,2025-04-13T02:06:51.120Z,2025-04-13T02:07:41Z,6ydk69km9oe49cg6plrc6u0wk,L. MacKinnon,,,5647924771,213,5.95,5647924769,212,10.9,5647924761,155,,5647924765,140,84.4,5647924767,141,46.0,5647924763,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800386567,4,12,1,0,13,7neuneh44n9rtsfsh6r0sb9no,1,17.2,41.8,2025-04-13T02:06:52.905Z,2025-04-13T02:07:30Z,b7hyxpaqt3ymfbuah1yop5rai,F. Kleemann,,,5647925165,56,Back,5647925171,212,32.4,5647925173,213,5.75,5647925169,141,17.5,5647925167,140,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
