id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value
2803335683,1,34,16,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-04-19T19:08:51.180Z,2025-04-19T22:22:17Z,,,,,5664180409,194,38ghqgck8fwnxap6em08avzs9,5664978849,197,6212,5664180407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5664180399,30,"crhe42indjb3mb7di7yh1zndg, 8qqehla9xvhut6uua4a0zcju2, 6tesoh4ckbbkisphokig9yqz8, 16si0dgkuqvahp0x1bjr37xuc, dqvxmefhimxvxstvlz5yd7ysp, 38ghqgck8fwnxap6em08avzs9, c7q476j0dkl7e4fhqqlsp5rai, 6rbvn6lklv4k19jq17erwym7d, 9izknjlz6zunwjpo4u94q855g, 5r88subg9jy8zg4y97tzwzxm1, 7i9qesz7fugndupldntvshwd0, b7pzjfl5fuvivmc2x9defzfmx, 3ei1s8oyub83owfxxbsygmsmi, cjn2oln0v5o7x7unmsk305250, 9ie6oja1bojocjl4fg4wingno, 8ecb1shzu9migh6lv1bnku8es, lu2g4n0jcfxk41i8ro05ad5g",5664180405,130,8,5664180401,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5664180403,59,"77, 2, 19, 8, 15, 4, 22, 27, 9, 71, 10, 7, 17, 28, 29, 44, 81",5664180411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2803337975,1,34,16,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-04-19T19:11:03.073Z,2025-04-19T19:57:40Z,,,,,5664193167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664425827,197,23258,5664193165,194,e6uww9a9ssp0n20ksoolesa8l,5664193155,30,"dlcxvrsqhiz8ce0nqnh6h6dw5, dlhfyk6fgvqt3zrr5qfj7c6w9, bxlh35ww96wgrsgfc8blou50p, b708ir5u7r34j9oemje8f8z1m, 5uv1a9rj5wot3wcgefjoxhkdm, ece6sffb02drwz4brwndn0rh0, dhi7890xe8zsmzhw2cad7sul1, 272w5ezobn1o53b3yxnbgjckq, 2rsduabh7r8i29f9i6znwbfu1, e6uww9a9ssp0n20ksoolesa8l, 7drelguz6c1htw10sq7zyxh0q, 8lk5ve59333boqzpcmd0yidck, dglf4uhg5wnc68cg8ijovfmy1, 8sl4nqao4w38gwi1t3qrxu5lh, 7xe0ov84ztwduks4x3utn05ck, 8t6b8q53ovws370a1b27s85jo, 5iuzoq7alcxdn37rp7lvqyexg, 357vd87hv0jvljqtt2qf4vmz8",5664193159,59,"1, 11, 33, 6, 13, 4, 15, 8, 9, 19, 7, 5, 10, 18, 21, 25, 32, 43",5664193157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5664193163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664193161,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385325,2,32,1,0,0,c9xffml4i7ihblp1qhus9w3fu,1,0.0,0.0,2025-04-19T20:06:30.836Z,2025-04-19T20:07:00Z,,,,,5664458661,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385365,3,32,1,0,0,2n3wgr89m7jl8tmioemit2pgq,1,0.0,0.0,2025-04-19T20:06:30.836Z,2025-04-19T20:06:34Z,,,,,5664458877,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385435,4,1,1,0,0,2n3wgr89m7jl8tmioemit2pgq,0,49.9,50.1,2025-04-19T20:06:30.837Z,2025-04-19T20:06:37Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5664459161,213,2.81,5664459163,279,S,5664459153,56,Back,5664459155,140,27.8,5664459157,141,61.8,5664459159,212,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385481,6,1,1,0,1,2n3wgr89m7jl8tmioemit2pgq,0,41.9,44.8,2025-04-19T20:06:32.268Z,2025-04-19T21:05:26Z,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,,,5664718915,212,52.0,5664718907,157,,5664718919,1,,5664718909,56,Left,5664718917,213,0.50,5664718911,140,85.3,5664718913,141,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385409,3,44,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,20.5,14.8,2025-04-19T20:06:33.455Z,2025-04-19T22:28:11Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664459055,56,Back,5664460705,285,,5664719241,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385535,7,44,1,0,2,2n3wgr89m7jl8tmioemit2pgq,0,79.5,85.2,2025-04-19T20:06:33.456Z,2025-04-19T22:28:12Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5664719211,286,,5664719209,56,Left,5664719263,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385425,4,12,1,0,2,c9xffml4i7ihblp1qhus9w3fu,1,31.1,13.5,2025-04-19T20:06:33.828Z,2025-04-19T22:22:02Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664459229,167,,5664459121,212,10.5,5664459123,213,4.89,5664459119,141,0.0,5664459117,140,32.9,5664459169,15,,5664459115,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385443,5,5,1,0,7,c9xffml4i7ihblp1qhus9w3fu,0,26.8,-1.6,2025-04-19T20:06:38.070Z,2025-04-19T20:06:47Z,5uv1a9rj5wot3wcgefjoxhkdm,J. Rufe,,,5664459199,347,,5664459195,56,Back,5664459475,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385475,5,5,1,0,7,2n3wgr89m7jl8tmioemit2pgq,1,73.2,101.6,2025-04-19T20:06:38.070Z,2025-04-19T23:21:34Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5664459441,233,5,5664459373,347,,5664459371,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
