id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2809981701,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-04T01:49:34.033Z,2025-05-04T06:03:29Z,,,,,5700831321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5700939133,197,22474,5700831315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5700831323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700831317,59,"56, 23, 33, 6, 5, 24, 7, 17, 14, 27, 11, 1, 9, 10, 13, 18, 20, 41",5700831319,130,2,5700831313,30,"470xuwiwevwy86l2ararrkyga, 4nwnrf33mdxscx5rdaw1529cl, 20z2nx7xh9mgty7qp6xur14yy, 9elhnfsovx9efu5f92mkkls7o, 8i5k1tx7x5hx4kk3qzyvrfj84, 3u22kckqpecmgcw7ee3xrdppm, 613kkjtvfyf7mbvrqt9pcizmd, 40qi53orb0eur2jevowkvrcb8, f3ftrudyp33naykboqmua0jro, e6gr1t1rp2x7waywgzlrj8yqx, o0a1acp618ig9detdym1m0pg, catp73eq6wn8hxggfcpzks3u2, 8hamv2lpjznz8mettx8dc5tsk, 65jctzcct9irz3wre08c2v2wa, e7vsajjh4e7t51ciycjg0skd0, a1v4h4gcsepnaknru3jjnwl5g, 7wbwaew3d712kxl54ztdxe87o, bnsuxef1oaaye5fise5qlur8q",5700841055,194,e6gr1t1rp2x7waywgzlrj8yqx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809990917,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-04T02:06:34.842Z,2025-05-04T05:57:53Z,,,,,5700877043,130,2,5700877045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5700877037,30,"7lmf6beyvhncglhw9avm40qju, 3y5650rx37d3hnh3sxzhaz7xl, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, dek9c2ef9ahynvfrk60d9tm5m, 59kky4fyi0w9bdz4ow3gs95yi, 8bp3sbo230kdhnw76stsw2u39, e2olfsduxvaqsx6rdbaasa356, ekzwxb68vg0w7o14zcq8n4vs9, 21vmi7qtrujzez3ziux0wa4et, agl19e1fx5123lk28avksxb3e, 6j5qn2b7t0165vl1t26v001zo, 2cu5uohq2rwhe2hy3y72zhc2y, 8xte0mzawblk2ufasxalijk2y, 906pdcavtipx0q93b1ed1lrai, 3iygln7x6y336sb1qa3lfpa3u, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g",5700877041,59,"23, 20, 6, 4, 5, 3, 17, 8, 14, 10, 11, 7, 13, 15, 16, 19, 30, 35",5700877039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5701184989,194,ekzwxb68vg0w7o14zcq8n4vs9,5700939083,197,28351,5700877047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002363,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-04T02:36:47.483Z,2025-05-04T02:36:48Z,,,,,5700940617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002347,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-04T02:36:47.483Z,2025-05-04T02:36:47Z,,,,,5700940545,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002397,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,49.7,49.7,2025-05-04T02:36:47.484Z,2025-05-04T03:37:26Z,db1h2huu8z1quj816wol1wgkp,T. McCabe,,,5700940773,1,,5700940765,140,18.1,5700940775,279,S,5700940763,56,Back,5700940769,212,33.2,5700940771,213,3.13,5700940767,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002419,4,1,1,0,4,5x54jbfk11lrsmipgsx7cdbai,0,20.1,49.4,2025-05-04T02:36:51.827Z,2025-05-04T02:36:55Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5700940869,140,69.1,5700940871,141,40.6,5700940867,56,Center,5700940877,1,,5700940865,157,,5700940873,212,51.8,5700940875,213,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002439,3,1,1,0,8,7c9knuwazz9k9449u5rnuuy5m,0,29.5,57.9,2025-05-04T02:36:55.807Z,2025-05-04T02:36:57Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5700940961,56,Back,5700940969,212,9.9,5700940967,141,71.5,5700940971,213,1.21,5700940959,3,,5700940965,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002459,5,13,1,0,11,5x54jbfk11lrsmipgsx7cdbai,1,69.2,31.9,2025-05-04T02:36:59.019Z,2025-05-04T02:37:10Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5700941431,87,,5700941439,108,,5700941437,215,,5700941433,102,43.5,5700941445,230,96.7,5700941447,231,48.6,5700941441,328,,5700941435,103,58.3,5700941443,458,5700941065,18,5700941067,56,Center,5700941063,22,5700941207,20,,,,,,,,,,,,,,,,,
2810002661,4,5,1,0,13,7c9knuwazz9k9449u5rnuuy5m,1,-1.0,53.6,2025-05-04T02:37:00.596Z,2025-05-04T04:32:18Z,8i5k1tx7x5hx4kk3qzyvrfj84,E. Gärtig,,,5700942129,346,,5700942127,56,Back,5700942135,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810002467,6,5,1,0,13,5x54jbfk11lrsmipgsx7cdbai,0,101.0,46.4,2025-05-04T02:37:00.596Z,2025-05-04T04:32:18Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5700941099,56,Center,5700942165,233,4,5700941101,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
