id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/15/value
2813020707,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-10T21:18:22.403Z,2025-05-11T00:08:40Z,,,,,5717638643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5717638647,130,8,5717638649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5717638653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5718162775,197,28243,5717638651,194,2yflerah2shma2hzhm99msez9,5717638641,30,"4o2odluv4usimcdtryht04zjd, cc7auv8d89ohifqg7qwz62mwa, 2wj1w4opn7f0jyz1ps6ebvc6i, 2yflerah2shma2hzhm99msez9, 6pqyqf9v6g60ci7jjggalqsq1, 16ndalf4kfr7e6rd9mwj7gfmc, 441plehxckmdj5gb2mr6y8ne2, khvgxqohya7mawca1qx5q590, 4f03usm5tnljkqleajmz9kmol, csx9pmpibyblftludnkd6j36x, 1xpjec3sk3ykvgcg67jkxtzo, 1b9b97pxox77ia41cilqqm4iy, rtercnq9nn7y0814ghe7wo2x, 7ryen5rxs6y6uk93saq7vyd7u, 97rumgrdtahzassy8weq13dyi, 2l6v8ab245wzmb1litvkir1ii, 1rknkp6cfxg6powoea2tttoiy, 7oxivwr2b7bq70t35dgsjloiy",5717638645,59,"1, 22, 24, 80, 6, 5, 37, 3, 17, 11, 71, 8, 14, 15, 16, 27, 31, 83",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813025447,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-10T21:24:38.782Z,2025-05-11T00:26:57Z,,,,,5717661451,30,"7lmf6beyvhncglhw9avm40qju, 3y5650rx37d3hnh3sxzhaz7xl, 8bp3sbo230kdhnw76stsw2u39, db1h2huu8z1quj816wol1wgkp, 906pdcavtipx0q93b1ed1lrai, 59kky4fyi0w9bdz4ow3gs95yi, 6j5qn2b7t0165vl1t26v001zo, e2olfsduxvaqsx6rdbaasa356, 21vmi7qtrujzez3ziux0wa4et, 8xte0mzawblk2ufasxalijk2y, agl19e1fx5123lk28avksxb3e, 7ehcrcdv82ib5fkpo3498gpgp, 87n7hmq7f1q1avazbmwmcg222, 2cu5uohq2rwhe2hy3y72zhc2y, ekzwxb68vg0w7o14zcq8n4vs9, f0wprovraucxrx9wwd5au2pzo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90",5717661455,59,"23, 20, 17, 4, 16, 3, 7, 8, 10, 15, 11, 6, 12, 13, 14, 30, 35, 88",5717784265,197,23254,5717806569,194,db1h2huu8z1quj816wol1wgkp,5717661459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5717661457,130,21,5717661461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5717661453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051013,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-10T22:07:07.990Z,2025-05-10T22:07:08Z,,,,,5717793165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051017,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-05-10T22:07:07.990Z,2025-05-10T22:07:11Z,,,,,5717793181,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051047,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,49.9,50.1,2025-05-10T22:07:07.991Z,2025-05-10T22:07:13Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5717793363,1,,5717793355,140,19.2,5717793353,56,Back,5717793361,213,3.14,5717793357,141,50.4,5717793365,279,S,5717793359,212,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051085,4,1,1,0,5,5x54jbfk11lrsmipgsx7cdbai,1,20.4,44.5,2025-05-10T22:07:13.031Z,2025-05-10T22:07:18Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5717793663,212,44.9,5717793655,157,,5717793667,1,,5717793659,140,62.6,5717793665,213,6.12,5717793657,56,Center,5717793661,141,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051097,5,1,1,0,10,5x54jbfk11lrsmipgsx7cdbai,1,62.6,33.7,2025-05-10T22:07:18.496Z,2025-05-10T22:07:19Z,6j5qn2b7t0165vl1t26v001zo,W. Leggett,,,5717793719,56,Center,5717793725,141,35.8,5717793713,3,,5717793721,140,65.7,5717793715,168,,5717793727,212,3.6,5717793729,213,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051197,6,1,1,0,11,5x54jbfk11lrsmipgsx7cdbai,0,65.7,35.8,2025-05-10T22:07:19.760Z,2025-05-10T22:15:03Z,21vmi7qtrujzez3ziux0wa4et,F. Valot,,,5717794359,212,18.6,5717794351,3,,5717794355,140,83.4,5717794353,56,Center,5717794357,141,33.7,5717794361,213,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813073405,375,1,1,0,12,5x54jbfk11lrsmipgsx7cdbai,0,79.8,29.4,2025-05-10T22:07:19.990Z,2025-05-10T22:56:41Z,8xte0mzawblk2ufasxalijk2y,R. Bidois,,,5717929425,56,Center,5717929433,213,0.63,5717929431,212,11.3,5717929429,141,39.1,5717929427,140,88.5,5717929423,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051209,4,1,1,0,26,ck22dnk93ng8ax7wonlff7yms,0,12.4,41.5,2025-05-10T22:07:34.008Z,2025-05-10T22:09:27Z,4o2odluv4usimcdtryht04zjd,L. Ketterer,,,5717794451,213,5.85,5717794445,140,71.2,5717794441,199,,5717794443,56,Right,5717794447,141,0.0,5717794449,212,68.1,5717794453,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051201,7,43,1,0,26,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-05-10T22:07:34.911Z,2025-05-10T22:09:29Z,8xte0mzawblk2ufasxalijk2y,R. Bidois,,,5717794391,212,13.8,5717794389,141,40.9,5717794383,56,Center,5717794387,140,89.3,5717794381,3,0,5717799107,144,1,5717794393,213,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051247,5,5,1,0,34,ck22dnk93ng8ax7wonlff7yms,0,73.2,-1.6,2025-05-10T22:07:42.472Z,2025-05-11T00:27:23Z,4o2odluv4usimcdtryht04zjd,L. Ketterer,,,5717795025,233,8,5717794705,56,Right,5717794707,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051305,8,5,1,0,34,5x54jbfk11lrsmipgsx7cdbai,1,26.8,101.6,2025-05-10T22:07:42.472Z,2025-05-11T00:27:22Z,8xte0mzawblk2ufasxalijk2y,R. Bidois,,,5717795003,347,,5717795007,233,5,5717795001,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051325,9,1,1,0,42,5x54jbfk11lrsmipgsx7cdbai,0,29.1,100.0,2025-05-10T22:07:50.695Z,2025-05-11T00:54:40Z,8bp3sbo230kdhnw76stsw2u39,Pedro Santos,,,5717795143,212,21.1,5717795137,56,Back,5717795139,140,48.4,5717795135,107,,5717795145,213,6.01,5717795141,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051339,6,61,1,0,46,ck22dnk93ng8ax7wonlff7yms,0,52.6,8.0,2025-05-10T22:07:54.912Z,2025-05-11T00:12:11Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5717795237,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813051347,7,5,1,0,47,ck22dnk93ng8ax7wonlff7yms,0,55.1,-1.2,2025-05-10T22:07:55.383Z,2025-05-11T00:27:24Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,5717795517,233,10,5717795259,56,Right,5717795261,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
