id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value
2788926213,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-16T01:29:20.085Z,2025-03-16T06:13:35Z,,,,,5584959291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5584959287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5585115955,197,18628,5584959289,194,9imj5ig0i01uljnd3gd2cz1m,5584959281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5584959283,59,"1, 16, 3, 19, 4, 12, 11, 7, 17, 8, 10, 6, 9, 13, 23, 24, 25, 27",5584959285,130,21,5584959279,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 9za3fwnri7qk1dutb4iwmh6g9, caxfn5xu1taewgtxil6ah2rjd, c5xcmwzyq3g1tvtyj8i5ud65m, 9imj5ig0i01uljnd3gd2cz1m, bhzsz7pbe6pbwojtc1mi8m28l, bosdsb16w79aihfktvp4cjvje, dxd6p1c8k96armsbg5isjbu95, ew8oodr9hiuqve7xlz24xznfu, 3nvijn3ctkplajtt1dd23wycp, 4fbaxgikw7z9sfhuz6vvnfmxh, 7b346y8ad54mkc0h1343ybs2x, 18iz45ww0nara0xdaleg72ort, 1iyhipdn84for8bbxb07kw4x5, 52rcg38mijjjusfwqxa2l7hex, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788932015,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-03-16T01:40:16.003Z,2025-03-16T02:29:41Z,,,,,5585110581,197,22474,5584992245,130,13,5584992241,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5584992243,59,"1, 7, 33, 3, 5, 18, 6, 27, 14, 11, 10, 13, 15, 20, 24, 34, 41, 56",5584992239,30,"catp73eq6wn8hxggfcpzks3u2, 613kkjtvfyf7mbvrqt9pcizmd, 20z2nx7xh9mgty7qp6xur14yy, 8p3y7tm4lzwp39tojonnohaay, 8i5k1tx7x5hx4kk3qzyvrfj84, a1v4h4gcsepnaknru3jjnwl5g, 9elhnfsovx9efu5f92mkkls7o, e6gr1t1rp2x7waywgzlrj8yqx, f3ftrudyp33naykboqmua0jro, o0a1acp618ig9detdym1m0pg, 65jctzcct9irz3wre08c2v2wa, e7vsajjh4e7t51ciycjg0skd0, 7im0ak1zd8rk6bmnnq41cgcbu, 7wbwaew3d712kxl54ztdxe87o, 3u22kckqpecmgcw7ee3xrdppm, a4staqjshva5lhcr0dw744nze, bnsuxef1oaaye5fise5qlur8q, 470xuwiwevwy86l2ararrkyga",5584992249,194,e6gr1t1rp2x7waywgzlrj8yqx,5584992247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5584992251,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957807,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-16T02:36:30.776Z,2025-03-16T02:36:35Z,,,,,5585122345,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957797,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-03-16T02:36:30.776Z,2025-03-16T02:36:31Z,,,,,5585122319,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957817,3,1,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,49.9,50.0,2025-03-16T02:36:31.260Z,2025-03-16T02:36:34Z,dxd6p1c8k96armsbg5isjbu95,G. Hurst,,,5585122397,279,S,5585122391,141,54.5,5585122393,212,9.1,5585122387,56,Back,5585122431,278,,5585122395,213,2.80,5585122389,140,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957831,4,1,1,0,2,bk3zg8yaj5uoqhxzwons3bo8a,1,43.4,54.5,2025-03-16T02:36:33.044Z,2025-03-16T02:36:35Z,caxfn5xu1taewgtxil6ah2rjd,Z. Bailey,,,5585122475,212,10.8,5585122477,213,4.01,5585122473,141,42.4,5585122471,140,36.8,5585122469,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957841,5,1,1,0,4,bk3zg8yaj5uoqhxzwons3bo8a,1,38.7,43.0,2025-03-16T02:36:35.150Z,2025-03-16T02:36:37Z,bosdsb16w79aihfktvp4cjvje,S. Rivas,,,5585122533,212,24.0,5585122531,141,14.7,5585122535,213,4.07,5585122529,140,25.1,5585122527,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957845,6,1,1,0,6,bk3zg8yaj5uoqhxzwons3bo8a,1,27.4,19.2,2025-03-16T02:36:36.987Z,2025-03-16T02:36:39Z,2o86bp6u8hbr8q43mea7srco9,W. Seymore,,,5585122565,213,1.88,5585122557,56,Back,5585122563,212,13.6,5585122561,141,38.2,5585122559,140,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957861,7,1,1,0,8,bk3zg8yaj5uoqhxzwons3bo8a,1,26.5,40.3,2025-03-16T02:36:39.452Z,2025-03-16T02:36:43Z,c5xcmwzyq3g1tvtyj8i5ud65m,A. Herbert,,,5585122655,212,16.3,5585122651,140,25.7,5585122653,141,64.3,5585122649,56,Back,5585122657,213,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957891,8,1,1,0,12,bk3zg8yaj5uoqhxzwons3bo8a,1,27.4,67.2,2025-03-16T02:36:42.964Z,2025-03-16T02:36:48Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5585122815,213,0.73,5585122809,140,44.3,5585122813,212,23.8,5585122811,141,90.6,5585122807,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957937,9,1,1,0,17,bk3zg8yaj5uoqhxzwons3bo8a,1,53.5,91.8,2025-03-16T02:36:47.852Z,2025-03-16T02:36:53Z,9za3fwnri7qk1dutb4iwmh6g9,C. Gloster,,,5585122997,213,3.68,5585122989,56,Back,5585122995,212,21.3,5585122993,141,75.7,5585122991,140,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2788957951,10,1,1,0,22,bk3zg8yaj5uoqhxzwons3bo8a,1,39.1,65.2,2025-03-16T02:36:52.875Z,2025-03-16T02:36:56Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5585123059,140,35.1,5585123057,56,Back,5585123065,213,4.44,5585123063,212,15.5,5585123061,141,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
