id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value
2809947881,1,34,16,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-04T01:04:24.852Z,2025-05-04T05:10:30Z,,,,,5700643023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5700643021,30,"9zolq6c0x4ubmtfusbz2c3xwq, 6o5jqx64vum71hh2olnrb4178, 52qwgcxm3vpgabixc8c2i3aax, f1j8v0figkewc23fmaexubo4p, ds74l5fmanizrflvvfkl42pcl, a2crcglwdookm6m397dxw2qdw, 5nv5d35t6x08kuujy5qptrlec, 8sydisziijh84elb8dprtlduy, 6ydk69km9oe49cg6plrc6u0wk, 3sp46qr51lu5o2213enn5xtjp, 6kp2pv58u27yf5tnclyhnuoh6, 7qt4r82kyz05r8kd8cmdh1xqs, 1ua1e9ceddhcmq80ywq2ihd6, ersabc33m0ihy01uxccpnon4k, 7d1v02o7kk9guqpn77xzgtvu2, 4eo92l592013pjmwitoxmuyvo, 3461sfmst5pjeiaof78d0efo, 6wjjjmu5dw9m7chorpc4lcnbo, 46nav8x1n8s7c9zrmzo5eobje, 2m8m4aavjwesbh6oea1ta1vys",5700877791,197,28546,5700643029,130,7,5700643033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700643035,194,ds74l5fmanizrflvvfkl42pcl,5700643037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700643027,59,"1, 3, 23, 19, 5, 20, 11, 4, 17, 6, 7, 8, 10, 13, 14, 21, 24, 28, 31, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809949595,1,34,16,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-04T01:07:13.848Z,2025-05-04T02:29:45Z,,,,,5700652909,30,"6j9gbfyvpr5lqp6aak54597ca, 2imizu6je16b3ssheijycxjh1, dgpphcc9ql3pv3b4chhchml90, 2giowiodzndu5m2gwn79iiui1, 8td51fzpdl6c1yrz6r0igle22, 5ku33b8dbb20fhqdg8h83rdyi, 1e1wh213cg8q6lsqa3kvbjdka, do5q14naxm61jw8px8qvacn4k, 1d20nyyvmp0doobj6heejkowk, 8svvdqi69pc6it7mnin50q68k, dks0ibq4b4i2w3bcc05v8rhn8, 109e64uz1hq4tb3rspek41qll, 87pe681vhgbb6plpej3tr74oa, 64amlcisr3cr924jwy25rjs9h, 9etod4kwf9f5ye7jzc5ez0e3u, 4r4a2d3piuh8wusw8ftrsh016, am6xykrxjymw2qpqli6upysq",5700652915,130,13,5700652917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5700652919,194,6j9gbfyvpr5lqp6aak54597ca,5700652923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5700652911,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5700652913,59,"99, 47, 2, 15, 4, 14, 26, 6, 9, 22, 21, 8, 10, 12, 17, 31, 35",5700652921,197,28236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809991565,2,32,1,0,0,aj8ytsr2ap33tod0hd8ofzaw9,1,0.0,0.0,2025-05-04T02:08:17.647Z,2025-05-04T02:08:20Z,,,,,5700880591,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809991561,2,32,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,0.0,0.0,2025-05-04T02:08:17.647Z,2025-05-04T02:08:17Z,,,,,5700880555,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809991579,3,1,1,0,0,cf5r1qpotp6n5i3vdchsp2en1,1,50.3,49.9,2025-05-04T02:08:17.648Z,2025-05-04T02:08:23Z,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,,,5700880657,140,26.7,5700880655,56,Back,5700880659,141,50.9,5700880663,213,3.11,5700880661,212,24.8,5700880665,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809991613,4,1,1,0,5,cf5r1qpotp6n5i3vdchsp2en1,0,25.0,44.0,2025-05-04T02:08:23.559Z,2025-05-04T02:08:28Z,9zolq6c0x4ubmtfusbz2c3xwq,C. Shutler,,,5700880875,1,,5700880867,140,79.5,5700880865,56,Center,5700880869,141,24.3,5700880871,212,58.8,5700880863,157,,5700880873,213,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810015447,348,44,1,0,8,cf5r1qpotp6n5i3vdchsp2en1,1,68.8,15.2,2025-05-04T02:08:25.746Z,2025-05-04T04:17:20Z,5nv5d35t6x08kuujy5qptrlec,B. Jamison,,,5701010305,286,,5701010327,233,345,5701010303,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810015439,345,44,1,0,8,aj8ytsr2ap33tod0hd8ofzaw9,0,31.2,84.8,2025-05-04T02:08:25.747Z,2025-05-04T04:17:21Z,dks0ibq4b4i2w3bcc05v8rhn8,A. Dalou,,,5701010267,56,Back,5701010269,285,,5701010335,233,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810015453,349,61,1,0,9,cf5r1qpotp6n5i3vdchsp2en1,1,74.7,11.4,2025-05-04T02:08:26.647Z,2025-05-04T03:06:11Z,5nv5d35t6x08kuujy5qptrlec,B. Jamison,,,5701010319,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810015287,344,61,1,0,9,aj8ytsr2ap33tod0hd8ofzaw9,1,31.6,66.1,2025-05-04T02:08:26.747Z,2025-05-04T03:10:11Z,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,5701009283,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
