id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2819882065,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-29T01:41:58.598Z,2025-05-29T06:18:27Z,,,,,5755801415,194,e6gr1t1rp2x7waywgzlrj8yqx,5755607975,130,8,5755607977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5755705889,197,29728,5755607979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755607971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5755607969,30,"470xuwiwevwy86l2ararrkyga, 4nwnrf33mdxscx5rdaw1529cl, 20z2nx7xh9mgty7qp6xur14yy, 6fgrix1m2a1zkn8kvd29nbcvd, 8i5k1tx7x5hx4kk3qzyvrfj84, 3u22kckqpecmgcw7ee3xrdppm, 613kkjtvfyf7mbvrqt9pcizmd, 40qi53orb0eur2jevowkvrcb8, f3ftrudyp33naykboqmua0jro, e6gr1t1rp2x7waywgzlrj8yqx, o0a1acp618ig9detdym1m0pg, catp73eq6wn8hxggfcpzks3u2, 8p3y7tm4lzwp39tojonnohaay, 9elhnfsovx9efu5f92mkkls7o, 8hamv2lpjznz8mettx8dc5tsk, a1v4h4gcsepnaknru3jjnwl5g, 2jxho5va9q638vkklji2n8cx6, bnsuxef1oaaye5fise5qlur8q",5755607973,59,"56, 23, 33, 42, 5, 24, 7, 17, 14, 27, 11, 1, 3, 6, 9, 18, 28, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819882503,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-29T01:42:56.888Z,2025-05-29T06:22:16Z,,,,,5755610297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755610285,30,"7y56spdjsagw833hgo5ranvf9, 9xjixcn3jhf7m75dl49u0qe7e, d74g09o22jua08rgr8e71x4kq, 39jhew6iao7uriko5shx2tnje, e23yyl43xtcve09dx234uuj8, 3csngjh4kjgpkfayppiwfbw2c, c0of0cn2tec0yn2vtwdqgxxpl, 6ahu72g0u39bxbjiz7ggefai1, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, 6naqq6f6acfec3zh2msuxrmqd, 2p7o7pd4vfw3mvp5o8euss6xg, 6dpxvfpnaua6y4gevop02qc8a, cxm5xmc7zajd0j1zirav6q2qy, 6m158yzashjy4y3dcbresua22, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k, 9j5kxdshj31du1psnt8cp6has, bb524gi3hf6soharvgp7bumtw",5755610293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5755708399,197,29754,5755610289,59,"1, 2, 23, 17, 51, 34, 9, 8, 91, 10, 29, 5, 7, 15, 22, 38, 44, 83, 88",5755610295,194,6ahu72g0u39bxbjiz7ggefai1,5755610287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5755610291,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899879,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-05-29T02:38:14.037Z,2025-05-29T02:38:14Z,,,,,5755709103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899881,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-05-29T02:38:14.037Z,2025-05-29T02:38:17Z,,,,,5755709107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899885,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.1,50.0,2025-05-29T02:38:14.139Z,2025-05-29T02:38:18Z,4x3md4d2zvyvxlhtqp0ocvmqx,R. Cabral,,,5755709117,213,2.31,5755709119,279,S,5755709109,56,Back,5755709115,212,27.1,5755709113,141,79.5,5755709111,140,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899897,4,1,1,0,4,2iwybwokic7nmr1t33abdbjoq,0,32.8,79.5,2025-05-29T02:38:18.408Z,2025-05-29T02:38:32Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755709169,213,5.76,5755709167,212,82.0,5755709165,141,19.0,5755709171,1,,5755709159,157,,5755709163,140,100.0,5755709161,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899955,3,5,1,0,7,7c9knuwazz9k9449u5rnuuy5m,1,-0.7,80.7,2025-05-29T02:38:21.153Z,2025-05-29T03:38:52Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,,5755709541,56,Back,5755709547,233,5,5755709543,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899917,5,5,1,0,7,2iwybwokic7nmr1t33abdbjoq,0,100.7,19.3,2025-05-29T02:38:21.153Z,2025-05-29T03:38:52Z,d74g09o22jua08rgr8e71x4kq,R. Flood,,,5755709551,233,3,5755709311,346,,5755709309,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899961,4,1,1,0,38,7c9knuwazz9k9449u5rnuuy5m,1,4.3,46.3,2025-05-29T02:38:52.488Z,2025-05-29T02:38:54Z,470xuwiwevwy86l2ararrkyga,R. Arozarena,,,5755709591,212,11.4,5755709587,140,4.4,5755709583,124,,5755709589,141,63.1,5755709593,213,1.56,5755709585,56,Back,5755709597,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819899967,5,1,1,0,40,7c9knuwazz9k9449u5rnuuy5m,1,5.5,67.3,2025-05-29T02:38:54.776Z,2025-05-29T02:38:57Z,3u22kckqpecmgcw7ee3xrdppm,M. Howell,,,5755709625,140,13.0,5755709631,213,1.13,5755709623,56,Back,5755709629,212,18.4,5755709627,141,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
