id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/18/value
2822628551,1,34,16,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-14T21:14:13.197Z,2025-06-15T00:16:40Z,,,,,5771053199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771122341,197,29711,5771053191,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5771053197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5771053195,130,10,5771053193,59,"91, 13, 3, 30, 4, 12, 10, 24, 11, 9, 39, 2, 5, 7, 8, 14, 21, 32",5771124211,194,7lnb14nmxv9gggyedv3tydvdg,5771053189,30,"8q0b0qnmebzt9v4he9o3k7rbo, 597hrrj3moomrcd2d95yk12w9, 62d3tsany7t5t2bwm4cx9pbai, 7lnb14nmxv9gggyedv3tydvdg, b3ktzeb8cz6vl5snbrtnpzw4q, 9jc85hbpruze4v8u1pjzsjt62, 9irc1xmfpa2395qef78rfyjje, 63td0sigm6tp2tg8yovf5npm2, 70axpxvnx40ax7oxri5pmz9qs, 3ldhrzekr0tztaxr3sc8mmg2x, 1nw1tmtpagpr647obkvygwgr9, 7jizpx7yu2zxvcrnf9z4408vd, 28a0n53jofx4bk7vd74yqcb11, 8d6e9axgsli468lnomdbcgu6t, 7o3vvz5w2ftz08ba23b79mgkq, 2axflqcowldpal1ffaf2lw3dg, 974nt2pay3nvbe8uyzx0qdhxw, 1cqnjzgntshx2ag3crh0p2uzu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822629487,1,34,16,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-06-14T21:17:45.118Z,2025-06-15T00:28:09Z,,,,,5771058057,30,"7lmf6beyvhncglhw9avm40qju, 59kky4fyi0w9bdz4ow3gs95yi, 7ehcrcdv82ib5fkpo3498gpgp, db1h2huu8z1quj816wol1wgkp, dek9c2ef9ahynvfrk60d9tm5m, 906pdcavtipx0q93b1ed1lrai, 21vmi7qtrujzez3ziux0wa4et, e2olfsduxvaqsx6rdbaasa356, 8xte0mzawblk2ufasxalijk2y, ekzwxb68vg0w7o14zcq8n4vs9, agl19e1fx5123lk28avksxb3e, 87n7hmq7f1q1avazbmwmcg222, 2cu5uohq2rwhe2hy3y72zhc2y, 3iygln7x6y336sb1qa3lfpa3u, 3y5650rx37d3hnh3sxzhaz7xl, e0i0n47bol0sigq7s1zdiay1, f0wprovraucxrx9wwd5au2pzo, 1rsr9bg12y3480inhp9pn22vo, 1l1r86a2u6fheng6y1j169q1g, e01adcq62lg6avlh5730enx90",5771058067,194,ekzwxb68vg0w7o14zcq8n4vs9,5771058069,197,29732,5771058059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5771058061,59,"23, 3, 6, 4, 5, 16, 10, 8, 15, 14, 11, 12, 13, 19, 20, 22, 30, 31, 35, 88",5771058063,130,2,5771058071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5771058065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641599,2,32,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,0.0,0.0,2025-06-14T22:06:33.885Z,2025-06-15T07:50:26Z,,,,,5771123841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641601,2,32,1,0,0,b1rpb2ox52uxcmjrsnqd95pk5,1,0.0,0.0,2025-06-14T22:06:33.885Z,2025-06-14T22:06:34Z,,,,,5771123855,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641615,3,1,1,0,0,5x54jbfk11lrsmipgsx7cdbai,1,50.0,50.0,2025-06-14T22:06:33.886Z,2025-06-14T22:06:37Z,8xte0mzawblk2ufasxalijk2y,R. Bidois,,,5771123917,212,27.8,5771123911,56,Back,5771123919,213,3.13,5771123913,140,23.5,5771123921,279,S,5771123915,141,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641641,4,1,1,0,3,5x54jbfk11lrsmipgsx7cdbai,0,24.1,44.9,2025-06-14T22:06:37.355Z,2025-06-14T22:06:41Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5771124027,157,,5771124035,212,52.0,5771124031,140,72.5,5771124037,213,6.07,5771124041,1,,5771124029,56,Center,5771124033,141,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641647,3,1,1,0,7,b1rpb2ox52uxcmjrsnqd95pk5,0,31.3,79.6,2025-06-14T22:06:41.604Z,2025-06-14T22:06:44Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5771124079,140,56.4,5771124085,213,0.50,5771124075,3,,5771124081,141,100.0,5771124077,56,Left,5771124083,212,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641651,4,5,1,0,10,b1rpb2ox52uxcmjrsnqd95pk5,0,59.0,101.2,2025-06-14T22:06:44.724Z,2025-06-14T23:02:32Z,7lnb14nmxv9gggyedv3tydvdg,D. Amoo-Mensah,,,5771124093,347,,5771124233,233,5,5771124091,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641675,5,5,1,0,10,5x54jbfk11lrsmipgsx7cdbai,1,41.0,-1.2,2025-06-14T22:06:44.724Z,2025-06-14T23:02:32Z,7lmf6beyvhncglhw9avm40qju,H. Fauroux,,,5771124219,347,,5771124217,56,Back,5771124229,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822641685,6,1,1,0,20,5x54jbfk11lrsmipgsx7cdbai,1,39.0,0.0,2025-06-14T22:06:54.107Z,2025-06-14T22:06:58Z,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,5771124265,140,18.9,5771124271,213,2.80,5771124263,56,Back,5771124261,107,,5771124273,1,,5771124269,212,22.4,5771124267,141,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
