id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818446819,1,34,16,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T19:12:57.438Z,2025-05-24T23:00:26Z,,,,5747636305,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5747636307,59,"1, 3, 13, 23, 5, 16, 2, 42, 9, 10, 14, 6, 8, 12, 15, 18, 20, 31",5747636315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5747846351,197,29758,5747636311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5747636309,130,17,5747636313,194,c4va4gt5g10zm05qtucgyt889,5747636303,30,"a9lytq2ddavywxo7ib8uzbj6x, 8pli7fk5kjmt0f9pl6sjsltuy, 69pe2d0b9ughzcn3iqarracr8, 6omt3lirajdcqxcbhzk9sobmx, 3g0rdzkjns986gn34vg3umiqy, 1445ppxg007udzcj6t20ceyju, c4va4gt5g10zm05qtucgyt889, 6jsu34146kbtoeco3ue1a7ok4, 9jfh2t3w4aqc4o4rvjfk7xey1, aqqbh1ugeh2f8jjiq8fu2qwru, e8rbnbqkrxia3lgt7agaid4kq, 6emdaopgvgmxzmuj4bu1tz7my, cxrjwzo1fmvgcw8i820hwn07p, b8lkxvf7fa96tvblx4ilcg2ui, 1l26kd7tulii6x999b3fdxi0a, d3b8yjlx6aitma59vlpen39m2, 2d1vmwon9o35lzpkdwxgv12lm, 9tbzso59dbmu47ovroulv9rf8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818453479,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-24T19:19:50.029Z,2025-05-24T20:24:54Z,,,,5747673727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5747673725,130,8,5747673729,194,arrnspfznjcs9fmng4finp87p,5747673723,59,"1, 15, 3, 12, 5, 6, 17, 20, 10, 21, 11, 8, 14, 16, 18, 22, 24, 77",5747673719,30,"arrnspfznjcs9fmng4finp87p, f472o0229a6xev8qudf1tyf6y, eg5pbxm7emj77mdcub4xp6m3u, 8pqvmz8g1yhe7hqqc1d68c4mi, couplbg5c1wzrb14ycd8f7h0p, 3tb7ycl6z32sevjo8rxa590, dltmx3e4llkcszs22cbfz92xg, 9txqixk3uycvort3ntzkva1g5, 449e2muutlpvx9lhv1t2tcsmh, 711t32tk6qwl567dngcldfw15, 9ch7zgxlcjiio0xbo2hhl2yvo, 2gsbai5bpg1fbullzvngv2l1w, bug5x187ehj0apzl11lrl3ip6, f0rcvbvmbh2gcjxw6jfy5fe5m, 4vdbw63j0s7npezknabq6p7xm, a3l8f3a6rr93qyyaxhdfqq1yi, c8svt3yazcfaq478j0cpbmbfu, 1diaoqi51gzx23j4d5f8xc8b8",5747839113,197,29762,5747673721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5747673731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483895,2,32,1,0,0,224tl8u2smnbyliroayk69nt0,1,0.0,0.0,2025-05-24T20:06:31.773Z,2025-05-24T20:06:35Z,,,,5747848275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483891,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-24T20:06:31.773Z,2025-05-24T22:37:36Z,,,,5747848257,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483897,3,1,1,0,0,224tl8u2smnbyliroayk69nt0,1,49.9,49.7,2025-05-24T20:06:31.774Z,2025-05-24T20:06:35Z,c4va4gt5g10zm05qtucgyt889,D. Griffin,,5747848291,212,27.3,5747848293,213,2.92,5747848289,141,58.5,5747848287,140,24.5,5747848285,56,Back,5747848295,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483909,4,1,1,0,3,224tl8u2smnbyliroayk69nt0,0,25.3,55.2,2025-05-24T20:06:35.235Z,2025-05-24T20:06:38Z,3g0rdzkjns986gn34vg3umiqy,S. Suber,,5747848371,157,,5747848379,212,47.8,5747848373,56,Right,5747848383,1,,5747848377,141,18.5,5747848381,213,5.73,5747848375,140,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483919,3,1,1,0,7,daicfonrbj124lu2la2rctxck,0,29.6,87.7,2025-05-24T20:06:39.583Z,2025-05-24T21:01:22Z,3tb7ycl6z32sevjo8rxa590,A. Mabika,,5747848435,1,,5747848425,56,Back,5747848427,140,42.1,5747848423,157,,5747848433,213,6.17,5747848429,141,85.6,5747848431,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483925,5,1,1,0,8,224tl8u2smnbyliroayk69nt0,1,55.0,19.8,2025-05-24T20:06:40.356Z,2025-05-24T21:03:58Z,1445ppxg007udzcj6t20ceyju,R. Ydrach,,5747848443,212,21.3,5747848439,140,75.3,5747848441,141,20.7,5747848445,213,0.03,5747848437,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818486281,50,1,1,0,9,224tl8u2smnbyliroayk69nt0,0,69.9,17.7,2025-05-24T20:06:41.019Z,2025-05-24T20:11:57Z,aqqbh1ugeh2f8jjiq8fu2qwru,B. Jacquesson,,5747861931,140,73.6,5747861935,212,4.7,5747861937,213,0.60,5747861933,141,21.6,5747861929,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818483931,4,61,1,0,10,daicfonrbj124lu2la2rctxck,1,33.9,85.1,2025-05-24T20:06:42.442Z,2025-05-24T21:01:33Z,9txqixk3uycvort3ntzkva1g5,Z. Herivaux,,5747848473,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
