id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818663449,1,34,16,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-25T01:04:15.804Z,2025-05-25T04:32:41Z,,,,,5749205899,194,4jq1xl8ott88bxfdo4bjm47hl,5748836941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748836933,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5748836939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5748836931,30,"629pbkngxk7ucy0qt9mngvkd1, evk0esdocrzt5zxqmv4ostdcl, 69j92vzo1swgodk0g9g2ksqqy, 3xd2kq7cxmvdbqsfzgi644c4q, 2w7w1l7lwhu2u6nhvqg1bnd2h, 4e47ixpbc8x9qzn7l3aeej0tl, doseo9fbdr1a1srm0jhdqmr55, ov91zkisppven9tp72gfbjf8, cclpvd1z3yyruciida1q3x4o9, 4jq1xl8ott88bxfdo4bjm47hl, 6g7v93m80xq6x38o9u3t8y3je, ei30dsbb51ri88sr7aku2t13p, 777irocsl9y6fja05sevniy95, cxnq0rc4u1efzt82nw3xgk355, 2j9i9ersvndkywcgqx9pzc9ka, aa8wxd6orgx3wa187n63htjpw, e0879u9ckqe6xv1h2j8bqto9g, 97rzxcaw3u0qqov2uci1m4ges, 24r8fdf8ypk7ejch9t86zjwgk",5748836937,130,11,5748836935,59,"35, 25, 2, 3, 15, 33, 11, 18, 9, 12, 7, 4, 5, 10, 22, 60, 45, 48, 88",5748987899,197,10793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818663735,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-25T01:04:48.135Z,2025-05-25T05:17:57Z,,,,,5748838817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5748838807,30,"zczt4alpawz5522hff8x39p1, 52rcg38mijjjusfwqxa2l7hex, 9za3fwnri7qk1dutb4iwmh6g9, djau5chcmoyiyq28jt9ypzh4a, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, bhzsz7pbe6pbwojtc1mi8m28l, 4fbaxgikw7z9sfhuz6vvnfmxh, caxfn5xu1taewgtxil6ah2rjd, 1iyhipdn84for8bbxb07kw4x5, 7b346y8ad54mkc0h1343ybs2x, ew8oodr9hiuqve7xlz24xznfu, 3nvijn3ctkplajtt1dd23wycp, 18iz45ww0nara0xdaleg72ort, 2o86bp6u8hbr8q43mea7srco9, 5i0d3n5jzz85wi8p2sfajdbf8, g31cspu8sa8eohwakxm28ne2, akgtib8zyv5lrvh9mxunj2rdg",5748838813,130,2,5748838815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5749244703,194,cvdn34vl3zje5uq54nvg77sut,5748988007,197,29742,5748838811,59,"1, 24, 3, 15, 12, 22, 11, 6, 19, 23, 9, 8, 10, 13, 16, 18, 25, 27",5748838809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692703,2,32,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,0.0,0.0,2025-05-25T02:06:30.242Z,2025-05-25T02:06:33Z,,,,,5748991229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692699,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-05-25T02:06:30.242Z,2025-05-25T02:06:30Z,,,,,5748991213,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692713,3,1,1,0,0,b5l2e3csycjb8twvq9ek0j5gq,1,50.0,50.0,2025-05-25T02:06:30.262Z,2025-05-25T02:09:25Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,,5748991269,140,35.3,5748991271,141,54.6,5748991267,56,Back,5748991275,213,2.94,5748991273,212,15.7,5748991277,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692723,4,1,1,0,2,b5l2e3csycjb8twvq9ek0j5gq,1,33.4,56.9,2025-05-25T02:06:33.141Z,2025-05-25T03:01:24Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748991331,141,83.6,5748991329,140,36.0,5748991333,212,18.4,5748991335,213,1.42,5748991327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692731,5,1,1,0,5,b5l2e3csycjb8twvq9ek0j5gq,0,36.0,85.1,2025-05-25T02:06:35.419Z,2025-05-25T02:06:38Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5748991369,155,,5748991373,140,86.8,5748991381,213,6.11,5748991379,212,54.1,5748991371,56,Center,5748991385,1,,5748991375,141,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692737,3,12,1,0,7,bk3zg8yaj5uoqhxzwons3bo8a,1,19.8,29.8,2025-05-25T02:06:37.800Z,2025-05-25T02:06:47Z,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,5748991409,15,,5748991401,140,38.5,5748991407,213,6.05,5748991399,56,Back,5748991405,212,20.2,5748991403,141,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818706607,486,61,1,0,10,bk3zg8yaj5uoqhxzwons3bo8a,1,27.4,35.5,2025-05-25T02:06:40.242Z,2025-05-25T02:55:26Z,djau5chcmoyiyq28jt9ypzh4a,O. Jabang,,,5749067647,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692757,6,1,1,0,12,b5l2e3csycjb8twvq9ek0j5gq,1,67.0,68.7,2025-05-25T02:06:42.557Z,2025-05-25T03:02:25Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5748991503,141,71.5,5748991501,140,70.1,5748991499,56,Center,5748991507,213,0.53,5748991505,212,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692773,7,1,1,0,12,b5l2e3csycjb8twvq9ek0j5gq,1,77.5,76.5,2025-05-25T02:06:42.600Z,2025-05-25T03:04:03Z,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,,,5749074131,56,Center,5749074139,213,4.50,5749074133,140,74.2,5749074135,141,53.2,5749074137,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692779,8,1,1,0,12,b5l2e3csycjb8twvq9ek0j5gq,1,74.6,60.1,2025-05-25T02:06:42.707Z,2025-05-25T03:03:55Z,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,,,5749074615,140,70.7,5749074613,56,Center,5749074617,141,49.9,5749074621,213,4.18,5749074619,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692781,9,3,1,0,16,b5l2e3csycjb8twvq9ek0j5gq,0,71.2,40.7,2025-05-25T02:06:47.189Z,2025-05-25T04:07:38Z,ov91zkisppven9tp72gfbjf8,B. Byaruhanga,,,5749074999,233,4,5749074971,56,Center,5749074973,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692785,4,7,1,0,16,bk3zg8yaj5uoqhxzwons3bo8a,0,28.8,59.3,2025-05-25T02:06:47.190Z,2025-05-25T04:43:17Z,7b346y8ad54mkc0h1343ybs2x,Luiz Fernando,,,5748991603,56,Back,5749068259,285,,5749074991,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692801,11,1,1,0,20,b5l2e3csycjb8twvq9ek0j5gq,1,41.1,24.6,2025-05-25T02:06:51.032Z,2025-05-25T02:06:53Z,4e47ixpbc8x9qzn7l3aeej0tl,K. Greene,,,5748991679,212,15.7,5748991681,213,2.08,5748991675,140,33.8,5748991673,56,Back,5748991677,141,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692831,12,1,1,0,22,b5l2e3csycjb8twvq9ek0j5gq,1,33.4,45.2,2025-05-25T02:06:52.931Z,2025-05-25T02:06:57Z,2w7w1l7lwhu2u6nhvqg1bnd2h,N. Hackshaw,,,5748991805,140,37.8,5748991803,56,Back,5748991807,141,73.2,5748991809,212,19.6,5748991811,213,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692837,13,1,1,0,26,b5l2e3csycjb8twvq9ek0j5gq,0,41.6,73.3,2025-05-25T02:06:57.219Z,2025-05-25T02:06:58Z,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,5748991837,212,29.6,5748991833,140,69.4,5748991835,141,66.0,5748991829,155,,5748991839,213,6.11,5748991831,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692879,6,1,1,0,30,bk3zg8yaj5uoqhxzwons3bo8a,1,26.4,26.1,2025-05-25T02:07:01.127Z,2025-05-25T02:07:06Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5748992013,140,37.6,5748992011,56,Back,5748992019,213,5.50,5748992015,141,8.9,5748992017,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692887,7,1,1,0,35,bk3zg8yaj5uoqhxzwons3bo8a,1,43.1,8.0,2025-05-25T02:07:06.095Z,2025-05-25T02:07:07Z,bhzsz7pbe6pbwojtc1mi8m28l,M. Akale,,,5748992059,56,Back,5748992065,212,9.5,5748992063,141,6.1,5748992067,213,3.28,5748992061,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818692905,8,1,1,0,36,bk3zg8yaj5uoqhxzwons3bo8a,1,34.1,6.1,2025-05-25T02:07:07.191Z,2025-05-25T02:07:10Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5748992139,140,25.0,5748992143,212,13.3,5748992145,213,2.37,5748992141,141,19.8,5748992135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
