id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2793196097,1,34,16,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-29T22:19:51.801Z,2025-03-30T02:25:46Z,,,,,5608358483,130,7,5608358489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608358487,194,cvdn34vl3zje5uq54nvg77sut,5608488807,197,18628,5608358479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",5608358481,59,"1, 16, 24, 6, 12, 22, 9, 15, 17, 8, 10, 4, 7, 11, 13, 23, 25",5608358477,30,"zczt4alpawz5522hff8x39p1, 2o86bp6u8hbr8q43mea7srco9, 52rcg38mijjjusfwqxa2l7hex, 4fbaxgikw7z9sfhuz6vvnfmxh, 9imj5ig0i01uljnd3gd2cz1m, cvdn34vl3zje5uq54nvg77sut, 7b346y8ad54mkc0h1343ybs2x, djau5chcmoyiyq28jt9ypzh4a, dxd6p1c8k96armsbg5isjbu95, ew8oodr9hiuqve7xlz24xznfu, 3nvijn3ctkplajtt1dd23wycp, c5xcmwzyq3g1tvtyj8i5ud65m, bosdsb16w79aihfktvp4cjvje, bhzsz7pbe6pbwojtc1mi8m28l, 18iz45ww0nara0xdaleg72ort, 1iyhipdn84for8bbxb07kw4x5, g31cspu8sa8eohwakxm28ne2",5608358485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2793197027,1,34,16,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-29T22:21:23.377Z,2025-03-30T08:47:43Z,,,,,5608363707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5608363701,59,"28, 27, 3, 21, 13, 2, 7, 8, 9, 26, 30, 11, 16, 17, 18, 22, 35, 31, 32, 34",5608363705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5609247323,194,d539xjkdwt1i77f0czbvo8ull,5608363703,130,8,5608363699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5608363697,30,"9q3w4j10qfsq94svbmyxa879x, 8gnvbaqsuet4v3x6orkm20b56, cvi9u3v3krlkbvwcwjqztzvca, d539xjkdwt1i77f0czbvo8ull, eqopj1p3a2ehzpwlj90laswoa, 96qlwmkrab9h7xt93jzgl384p, bolmgcfvbdizfyh6n9oz4xjsa, fm9i7pzwi2diu6i18kycmx1x, am7umg00yxt40mndzo6e0u3o4, bzs1s1yntau3dvzyvn6t7t785, 1xkff6cxd8zycnd3n3odmvai1, 864l8bcr288r74g3tmt1eqfe2, bbic10tw6eaf7rgpogt37rgtl, aqb7f88ta15ve8izh5zy9paz9, eqge8se9qvv9oqyivp267l016, c14ntw6zvozswy685dztldl1x, cefb3xpf94kmg4rk0v1mkk2l0, amy6q1u6b1rvlsudoc73mj2ms, 9d011ayfpxxfc4qqlp98gdq8k, 9w4hxsqx1uixdvlo4lp47gums",5608487039,197,26908,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221127,2,32,1,0,0,bk3zg8yaj5uoqhxzwons3bo8a,1,0.0,0.0,2025-03-29T23:07:44.354Z,2025-03-29T23:07:47Z,,,,,5608496901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221113,2,32,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,0.0,0.0,2025-03-29T23:07:44.354Z,2025-03-29T23:07:44Z,,,,,5608496825,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221199,3,1,1,0,0,bu5w8wprynlj9mvphvy8sd94f,1,49.9,50.3,2025-03-29T23:07:45.096Z,2025-03-29T23:08:59Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5608497315,140,29.1,5608497321,213,3.20,5608497319,212,21.9,5608497317,141,48.5,5608497323,279,S,5608497313,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221207,4,1,1,0,5,bu5w8wprynlj9mvphvy8sd94f,0,29.2,48.5,2025-03-29T23:07:50.082Z,2025-03-29T23:10:00Z,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,,,5608497377,1,,5608497369,140,89.5,5608497373,212,64.6,5608497367,56,Center,5608497375,213,6.08,5608497365,157,,5608497371,141,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221205,3,12,1,0,6,bk3zg8yaj5uoqhxzwons3bo8a,1,13.9,74.4,2025-03-29T23:07:50.546Z,2025-03-29T23:07:55Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608497359,141,62.7,5608497357,140,39.2,5608497361,212,27.7,5608497355,56,Back,5608497363,213,5.99,5608497381,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221253,5,1,1,0,8,bu5w8wprynlj9mvphvy8sd94f,0,77.8,31.3,2025-03-29T23:07:52.992Z,2025-03-29T23:07:53Z,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,,,5608497587,140,88.6,5608497589,141,24.6,5608497593,213,5.90,5608497583,3,,5608497585,56,Center,5608497591,212,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221327,4,1,1,0,10,bk3zg8yaj5uoqhxzwons3bo8a,1,26.2,74.4,2025-03-29T23:07:54.785Z,2025-03-29T23:07:58Z,52rcg38mijjjusfwqxa2l7hex,J. Lindsey,,,5608498005,140,43.8,5608498011,213,0.47,5608498001,56,Back,5608498007,141,88.1,5608498009,212,20.7,5608497999,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793221337,5,61,1,0,13,bk3zg8yaj5uoqhxzwons3bo8a,0,42.6,89.1,2025-03-29T23:07:57.769Z,2025-03-29T23:14:59Z,3nvijn3ctkplajtt1dd23wycp,M. Gaines,,,5608498057,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
