id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2816112403,1,34,16,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-17T22:40:30.464Z,2025-05-18T02:08:08Z,,,,,5734693043,130,2,5734693039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5735291101,194,bpkzxcqtmvei7lqkqzuvzelsl,5734693037,30,"dp8j7znd4eavuoy3faqpamoa2, 2wufroeor0e7k6hvatj1ltwfe, 8vcytrkvxzki08gxqpulol3hl, 5s5sc7zxuw8cr7vyzeofb8hnu, 87rpg135z1k0ir74kdczwo2y1, bpkzxcqtmvei7lqkqzuvzelsl, 4ua2bfowedufy5hilbxb3cul1, dbjysa6qhf203jmpjedz8pgph, c08hvq1hplcct8kxrxucfpqp6, te1unnk7afru8djvu92vs00k, 7ao58e6608lb8eu3dmk17jisp, 56txiyhvsvhudyr1b21rznmjt, 6mrzod8fbjpv5s30eyypfyv2t, e13oeez12fwnzyf2qkizwflec, cbbip5xc4xfipnk6aal6cfywa, 374euncv00zs2oy6ux1u519be, 5eptcbetmcxxwzhed6i5rl0r8, lp6scacgnnb3d9uxypl2cn4k, 3gzatxlefe9axcrqyllbtrzmc",5734693045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5734693047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734841323,197,22486,5734693041,59,"1, 27, 11, 17, 3, 33, 10, 14, 28, 21, 8, 4, 9, 18, 20, 26, 34, 36, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,
2816114513,1,34,16,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-17T22:45:20.960Z,2025-05-18T02:05:17Z,,,,,5734706807,30,"arrnspfznjcs9fmng4finp87p, f472o0229a6xev8qudf1tyf6y, eg5pbxm7emj77mdcub4xp6m3u, 8pqvmz8g1yhe7hqqc1d68c4mi, couplbg5c1wzrb14ycd8f7h0p, 3tb7ycl6z32sevjo8rxa590, dltmx3e4llkcszs22cbfz92xg, 9txqixk3uycvort3ntzkva1g5, 711t32tk6qwl567dngcldfw15, 449e2muutlpvx9lhv1t2tcsmh, 9ch7zgxlcjiio0xbo2hhl2yvo, 2gsbai5bpg1fbullzvngv2l1w, bug5x187ehj0apzl11lrl3ip6, f0rcvbvmbh2gcjxw6jfy5fe5m, 4vdbw63j0s7npezknabq6p7xm, a3l8f3a6rr93qyyaxhdfqq1yi, c8svt3yazcfaq478j0cpbmbfu, 1diaoqi51gzx23j4d5f8xc8b8",5734706813,130,2,5734861241,194,arrnspfznjcs9fmng4finp87p,5734706809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5734706811,59,"1, 15, 3, 12, 5, 6, 17, 20, 21, 10, 11, 8, 14, 16, 18, 22, 24, 77",5734706817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5734706815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5734845649,197,29762,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139649,2,32,1,0,0,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-17T23:36:45.159Z,2025-05-17T23:36:46Z,,,,,5734850915,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139643,2,32,1,0,0,daicfonrbj124lu2la2rctxck,1,0.0,0.0,2025-05-17T23:36:45.159Z,2025-05-17T23:36:45Z,,,,,5734850895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139667,3,1,1,0,0,daicfonrbj124lu2la2rctxck,1,49.9,50.0,2025-05-17T23:36:45.160Z,2025-05-17T23:36:48Z,711t32tk6qwl567dngcldfw15,M. Rodriguez,,,5734851017,56,Back,5734851023,212,26.8,5734851019,140,24.5,5734851025,213,3.06,5734851027,279,S,5734851021,141,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139699,4,1,1,0,3,daicfonrbj124lu2la2rctxck,0,31.4,45.1,2025-05-17T23:36:48.533Z,2025-05-17T23:36:53Z,arrnspfznjcs9fmng4finp87p,Koke Vegas,,,5734851177,212,58.6,5734851171,56,Center,5734851179,213,6.03,5734851175,141,23.1,5734851169,157,,5734851181,1,,5734851173,140,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139725,3,1,1,0,9,5qfq6cwtrgzd2szijivns7rjl,0,11.2,70.0,2025-05-17T23:36:54.352Z,2025-05-17T23:36:57Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5734851319,1,,5734851317,213,0.37,5734851313,212,59.7,5734851309,141,100.0,5734851305,140,64.2,5734851297,157,,5734851301,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139729,4,43,1,0,11,5qfq6cwtrgzd2szijivns7rjl,1,0.0,0.0,2025-05-17T23:36:56.933Z,2025-05-17T23:37:35Z,87rpg135z1k0ir74kdczwo2y1,F. Lasso,,,5734851335,56,Left,5734853147,144,5,5734851337,347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139755,5,1,1,0,13,daicfonrbj124lu2la2rctxck,0,60.3,10.6,2025-05-17T23:36:58.964Z,2025-05-17T23:37:01Z,f472o0229a6xev8qudf1tyf6y,F. Nodarse,,,5734851503,141,20.9,5734851501,140,69.9,5734851507,213,0.61,5734851497,3,,5734851505,212,12.3,5734851499,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2816139771,5,44,1,0,15,5qfq6cwtrgzd2szijivns7rjl,1,32.6,73.7,2025-05-17T23:37:00.467Z,2025-05-18T00:43:01Z,dbjysa6qhf203jmpjedz8pgph,T. Vancaeyezeele,,,5734851613,233,6,5734851585,56,Back,5734851587,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
