id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value
2800248887,1,34,16,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-04-12T22:07:28.794Z,2025-04-13T18:42:03Z,,,,5647148191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647148185,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5647148193,194,e6gr1t1rp2x7waywgzlrj8yqx,5647288891,197,28375,5647148189,130,13,5647148187,59,"56, 20, 33, 24, 5, 18, 34, 27, 14, 10, 11, 1, 3, 7, 8, 9, 41, 42",5647148183,30,"470xuwiwevwy86l2ararrkyga, 7wbwaew3d712kxl54ztdxe87o, 20z2nx7xh9mgty7qp6xur14yy, 3u22kckqpecmgcw7ee3xrdppm, 8i5k1tx7x5hx4kk3qzyvrfj84, a1v4h4gcsepnaknru3jjnwl5g, a4staqjshva5lhcr0dw744nze, e6gr1t1rp2x7waywgzlrj8yqx, f3ftrudyp33naykboqmua0jro, 65jctzcct9irz3wre08c2v2wa, o0a1acp618ig9detdym1m0pg, catp73eq6wn8hxggfcpzks3u2, 8p3y7tm4lzwp39tojonnohaay, 613kkjtvfyf7mbvrqt9pcizmd, c7i11l9181wd0o5m0t33melm, 8hamv2lpjznz8mettx8dc5tsk, bnsuxef1oaaye5fise5qlur8q, 6fgrix1m2a1zkn8kvd29nbcvd",5647148195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2800249459,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-12T22:08:29.979Z,2025-04-12T23:05:43Z,,,,5647151119,130,8,5647151117,59,"1, 6, 24, 80, 5, 27, 11, 3, 99, 8, 72, 15, 16, 22, 31, 37, 71, 83",5647151113,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, 2yflerah2shma2hzhm99msez9, 16ndalf4kfr7e6rd9mwj7gfmc, 2l6v8ab245wzmb1litvkir1ii, csx9pmpibyblftludnkd6j36x, khvgxqohya7mawca1qx5q590, bvmqiuxeyjf68mz3jbm6i295h, 1b9b97pxox77ia41cilqqm4iy, chiwsyjdyk4sn4vxqu9mdr0x6, 7ryen5rxs6y6uk93saq7vyd7u, 97rumgrdtahzassy8weq13dyi, cc7auv8d89ohifqg7qwz62mwa, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 1xpjec3sk3ykvgcg67jkxtzo, 7oxivwr2b7bq70t35dgsjloiy",5647151127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5647151121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5647288589,197,23268,5647151115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5647151123,194,2yflerah2shma2hzhm99msez9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276223,2,32,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,0.0,0.0,2025-04-12T23:06:39.401Z,2025-04-13T18:55:15Z,,,,5647305061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276229,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-12T23:06:39.401Z,2025-04-16T02:37:19Z,,,,5647305095,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276253,3,1,1,0,0,7c9knuwazz9k9449u5rnuuy5m,1,50.0,49.5,2025-04-12T23:06:39.402Z,2025-04-16T06:04:15Z,f3ftrudyp33naykboqmua0jro,J. Rodriguez,,5647305233,141,58.5,5647305237,213,2.57,5647305239,279,S,5647305229,56,Back,5647305231,140,41.0,5647305235,212,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276261,4,1,1,0,3,7c9knuwazz9k9449u5rnuuy5m,0,48.1,52.8,2025-04-12T23:06:42.663Z,2025-04-16T06:04:02Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,5647305273,141,50.7,5647305271,140,48.0,5647305269,56,Back,5647305277,213,4.64,5647305275,212,1.4,5647305981,286,,5647305977,233,3,5647305973,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276257,3,74,1,0,3,ck22dnk93ng8ax7wonlff7yms,1,52.0,48.7,2025-04-12T23:06:42.664Z,2025-04-16T06:04:04Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,5647305249,56,Center,5647305251,285,,5647306011,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800312623,468,1,1,0,4,ck22dnk93ng8ax7wonlff7yms,0,44.9,49.9,2025-04-12T23:06:43.401Z,2025-04-13T00:08:32Z,khvgxqohya7mawca1qx5q590,S. Djeffal,,5647508853,56,Back,5647508855,140,49.4,5647508861,213,5.71,5647508859,212,5.6,5647508857,141,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276275,5,61,1,0,6,7c9knuwazz9k9449u5rnuuy5m,1,49.8,51.5,2025-04-12T23:06:45.591Z,2025-04-13T00:08:46Z,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,5647305349,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800276289,4,3,1,0,7,ck22dnk93ng8ax7wonlff7yms,1,45.9,61.2,2025-04-12T23:06:47.087Z,2025-04-16T07:50:19Z,2yflerah2shma2hzhm99msez9,S. Williams,,5647305431,56,Back,5655976667,464,,5647305475,233,6,5647305433,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
