id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/13/value,qualifier/17/value
2803336389,1,34,16,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-04-19T19:09:34.014Z,2025-04-20T03:54:45Z,,,,,5664432729,197,3421,5664184309,59,"1, 2, 17, 55, 6, 5, 10, 20, 11, 9, 22, 3, 7, 8, 21, 23, 24, 96, 99",5664184319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664184317,194,9l35nvd07jhy457u1yehm3gx6,5664184313,130,10,5664184301,30,"9l35nvd07jhy457u1yehm3gx6, ea8jgqvyafx5wvgd5d70mgx9m, t8bq7sttljbcrrspxz5tnm5l, 6e7vgxyzx00c79hw1wg4d01sk, b7hyxpaqt3ymfbuah1yop5rai, 5u1uufcs8jlvvkzodpi5ykovd, do8svqsgqomasmzdwwsgg7qlm, 8qjls72u1tvwuxas420p8ed5g, 9lqozbr0ghw2fhep938p8snah, 23vdzclmewq139wius9oy3m51, 7y9k549gjh2183ylplvwg2q5l, cc7jk41tn9qi5px4pb9l4bn8q, 1ntf3x9ay255qut54al2mt0q, 271x0k4dhjqn4h7ecmt44pzo5, c7xfrcywzfkh6ysuhv3bk8fvu, dwyatw1wz3nrh1fcwu27ie8ve, 2p1887g4xd36ac2trpyf42wru, 2054x8z63k74or3inr9sl0bu1, 113mck575esofosg0reheh7je",5664184315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5664184305,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803338813,1,34,16,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-19T19:11:55.691Z,2025-04-19T22:40:04Z,,,,,5664198069,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5664198079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664420805,197,23588,5664431121,194,8pwslovfo5ostdhvpx53cxclw,5664198067,30,"7y56spdjsagw833hgo5ranvf9, e076q290ab1o6qz9vthl2c0a2, 3csngjh4kjgpkfayppiwfbw2c, 6ahu72g0u39bxbjiz7ggefai1, 8pwslovfo5ostdhvpx53cxclw, 79z5vt08ga8prn33vi2a260kq, 6dpxvfpnaua6y4gevop02qc8a, 39jhew6iao7uriko5shx2tnje, 4x3md4d2zvyvxlhtqp0ocvmqx, 74bhj4xi5zgq6evsr4c766p04, c0of0cn2tec0yn2vtwdqgxxpl, 9xjixcn3jhf7m75dl49u0qe7e, 74rnjizxzn5a0oag6sue0ja7e, cdaayu6d9xzn4gyn5jg5p6vl6, cxm5xmc7zajd0j1zirav6q2qy, 2lpjr3oys0s0u2pnhut8epqwa, 6m158yzashjy4y3dcbresua22, 6naqq6f6acfec3zh2msuxrmqd, dt8nthxqalx3bhz723zdty39w, a5h691d1wvz871qz9t1cmi68k",5664198083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664198077,130,8,5664198071,59,"1, 3, 34, 8, 4, 25, 7, 17, 91, 10, 9, 2, 6, 13, 15, 19, 22, 29, 38, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385413,2,32,1,0,0,7neuneh44n9rtsfsh6r0sb9no,1,0.0,0.0,2025-04-19T20:06:35.967Z,2025-04-19T20:06:39Z,,,,,5664459067,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385395,2,32,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,0.0,0.0,2025-04-19T20:06:35.967Z,2025-04-19T20:06:36Z,,,,,5664459007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385479,3,1,1,0,0,2iwybwokic7nmr1t33abdbjoq,1,50.0,50.0,2025-04-19T20:06:35.968Z,2025-04-19T20:06:40Z,4x3md4d2zvyvxlhtqp0ocvmqx,R. Cabral,,,5664459395,140,29.8,5664459403,279,S,5664459399,212,25.8,5664459397,141,28.3,5664459393,56,Back,5664459401,213,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385487,4,1,1,0,3,2iwybwokic7nmr1t33abdbjoq,1,29.8,28.3,2025-04-19T20:06:39.442Z,2025-04-19T20:06:41Z,e076q290ab1o6qz9vthl2c0a2,H. Neville,,,5664459435,56,Back,5664459437,140,23.3,5664459447,213,2.56,5664459439,141,34.9,5664459445,212,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385503,5,1,1,0,4,2iwybwokic7nmr1t33abdbjoq,0,23.3,34.9,2025-04-19T20:06:40.227Z,2025-04-19T20:06:42Z,8pwslovfo5ostdhvpx53cxclw,P. Boye,,,5664459517,157,,5664459525,212,42.1,5664459527,213,6.19,5664459523,141,29.2,5664459521,140,63.2,5664459519,56,Center,5664459529,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385523,3,1,1,0,6,7neuneh44n9rtsfsh6r0sb9no,0,25.0,60.3,2025-04-19T20:06:42.581Z,2025-04-19T20:06:44Z,6e7vgxyzx00c79hw1wg4d01sk,C. Ukaegbu,,,5664459643,213,5.35,5664459641,212,18.2,5664459639,141,38.8,5664459635,56,Back,5664459637,140,35.3,5664459633,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385555,6,1,1,0,9,2iwybwokic7nmr1t33abdbjoq,0,58.6,59.9,2025-04-19T20:06:45.037Z,2025-04-19T20:06:47Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5664459819,213,0.23,5664459809,155,,5664459815,141,69.0,5664459813,140,84.3,5664459817,212,27.7,5664459811,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385589,4,12,1,0,11,7neuneh44n9rtsfsh6r0sb9no,1,23.5,28.6,2025-04-19T20:06:47.163Z,2025-04-19T20:06:57Z,ea8jgqvyafx5wvgd5d70mgx9m,J. Gurr,,,5664460567,15,,5664460013,213,1.15,5664460011,212,11.0,5664460009,141,43.3,5664460007,140,27.8,5664460005,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385593,5,1,1,0,13,7neuneh44n9rtsfsh6r0sb9no,0,27.8,43.3,2025-04-19T20:06:49.891Z,2025-04-19T20:11:48Z,5u1uufcs8jlvvkzodpi5ykovd,J. Timmer,,,5664460037,141,28.5,5664460039,212,17.1,5664460033,56,Back,5664460031,3,,5664460041,213,5.66,5664460035,140,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803385649,7,1,1,0,14,2iwybwokic7nmr1t33abdbjoq,1,63.2,74.4,2025-04-19T20:06:50.093Z,2025-04-19T20:06:54Z,6ahu72g0u39bxbjiz7ggefai1,N. Okello,,,5664460337,140,84.4,5664460333,56,Left,5664460349,213,0.39,5664460329,3,,5664460343,141,87.8,5664460347,212,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
