,Unnamed: 0,matchInfo/id,matchInfo/coverageLevel,matchInfo/date,matchInfo/time,matchInfo/localDate,matchInfo/localTime,matchInfo/week,matchInfo/numberOfPeriods,matchInfo/periodLength,matchInfo/lastUpdated,matchInfo/description,matchInfo/sport/id,matchInfo/sport/name,matchInfo/ruleset/id,matchInfo/ruleset/name,matchInfo/competition/id,matchInfo/competition/name,matchInfo/competition/knownName,matchInfo/competition/competitionCode,matchInfo/competition/competitionFormat,matchInfo/competition/country/id,matchInfo/competition/country/name,matchInfo/tournamentCalendar/id,matchInfo/tournamentCalendar/startDate,matchInfo/tournamentCalendar/endDate,matchInfo/tournamentCalendar/name,matchInfo/stage/id,matchInfo/stage/formatId,matchInfo/stage/startDate,matchInfo/stage/endDate,matchInfo/stage/name,matchInfo/venue/id,matchInfo/venue/neutral,matchInfo/venue/longName,matchInfo/venue/shortName,matchInfo/var,matchInfo/contestant/0/id,matchInfo/contestant/0/name,matchInfo/contestant/0/shortName,matchInfo/contestant/0/officialName,matchInfo/contestant/0/code,matchInfo/contestant/0/position,matchInfo/contestant/0/country/id,matchInfo/contestant/0/country/name,matchInfo/contestant/1/id,matchInfo/contestant/1/name,matchInfo/contestant/1/shortName,matchInfo/contestant/1/officialName,matchInfo/contestant/1/code,matchInfo/contestant/1/position,matchInfo/contestant/1/country/id,matchInfo/contestant/1/country/name,liveData/matchDetails/periodId,liveData/matchDetails/matchStatus,liveData/matchDetails/winner,liveData/matchDetails/matchLengthMin,liveData/matchDetails/matchLengthSec,liveData/matchDetails/scores/ht/home,liveData/matchDetails/scores/ht/away,liveData/matchDetails/scores/ft/home,liveData/matchDetails/scores/ft/away,liveData/matchDetails/scores/total/home,liveData/matchDetails/scores/total/away,liveData/matchDetailsExtra/attendance,liveData/VAR,liveData/missedPen
0,0,lvmmiwx9owtnavlwrvz2pus4,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-06-19T07:17:49Z,SJK vs KuPS,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,7cdg6syeqx9qbitsnw2sm142x,no,OmaSP Stadion,OmaSP Stadion,,ea3yd0dgq6uy6pupkpn17j5xg,SJK,SJK,Seinäjoen Jalkapallokerho,SJK,home,2u07e54v5dprsugdvddpq5ync,Finland,1c7dv8ays675v9kp6a04sd8pq,KuPS,KuPS,Kuopion Palloseura,KUP,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
1,1,ljgruvagfhrntdystottfqqc,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-06-18T17:29:18Z,KTP vs HJK,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,egt9h2yepyymmbkn2cel13h4h,no,Arto Tolsa Areena,Arto Tolsa Areena,,8sy0cxovuxo76tuoas3uo55xj,KTP,KTP,Kotkan Työväen Palloilijat,KTP,home,2u07e54v5dprsugdvddpq5ync,Finland,303582z192rnbr2x28o2t7u38,HJK,HJK,Helsingin Jalkapalloklubi,HJK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
2,2,l6ya0wr78cg0yz01hf7xskyc,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-05-23T17:18:43Z,Ilves vs Mariehamn,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,4ott28qexy159nq0w05rjmrys,no,Tammelan Stadion,Tammelan Stadion,,2rdnn9p03qrmmv34tyx1nahpa,Ilves,Ilves,Tampereen Ilves,ILV,home,2u07e54v5dprsugdvddpq5ync,Finland,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,Mariehamn,IFK Mariehamn,MAR,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
3,3,kume6dciwd88n5lkibgj3cpg,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-05-26T06:06:27Z,Gnistan vs Jaro,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,53adx3m9ax7nwhgw58qrxoefl,no,Mustapekka Areena,Mustapekka Areena,,3cbke8cbou2ms925872vk6dwx,Gnistan,Gnistan,IF Gnistan,IFG,home,2u07e54v5dprsugdvddpq5ync,Finland,7efqk7uh63928il0yffxijnv7,Jaro,Jaro,FF Jaro,FFJ,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
4,4,kgoidn6yucqi7iaou7b26d5g,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-06-18T17:22:13Z,Inter Turku vs VPS,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,cs1nabi1ou4oiz9dxsmoiyan8,no,Veritas Stadion,Veritas Stadion,,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,Inter Turku,FC Inter Turku,INT,home,2u07e54v5dprsugdvddpq5ync,Finland,duspptyvnr5kpx2iko5gerhnz,VPS,VPS,Vaasan Palloseura,VPS,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
5,5,k4elvn8pdk9337bf9xlsbspg,13,2025-08-31Z,14:00:00Z,2025-08-31,17:00:00,22,2,45,2025-06-14T13:11:11Z,Oulu vs Haka,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,apxtm2nl13sj9j19x8gvqb23n,no,Raatin stadion,Raatin stadion,,cy6zs39z79dcfbr4xzkp38z7q,Oulu,Oulu,AC Oulu,OUL,home,2u07e54v5dprsugdvddpq5ync,Finland,5qxgilg61hlwxzfpdn2nhcayd,Haka,Haka,FC Haka,HAK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
6,6,js7yrn29c8l4v26ghnk76uc4,13,2025-08-25Z,15:00:00Z,2025-08-25,18:00:00,21,2,45,2025-06-19T07:17:49Z,Haka vs SJK,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,bd3cnomnx4r55npe99oz2golt,no,Tehtaan kenttä,Tehtaan kenttä,,5qxgilg61hlwxzfpdn2nhcayd,Haka,Haka,FC Haka,HAK,home,2u07e54v5dprsugdvddpq5ync,Finland,ea3yd0dgq6uy6pupkpn17j5xg,SJK,SJK,Seinäjoen Jalkapallokerho,SJK,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
7,7,jg0sarrm1fxdqgs44zifudck,13,2025-08-24Z,12:00:00Z,2025-08-24,15:00:00,21,2,45,2025-06-18T17:29:18Z,HJK vs Mariehamn,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,8ynu8ggtnkcjs6guwi9vee1ay,no,Bolt Arena,Bolt Arena,,303582z192rnbr2x28o2t7u38,HJK,HJK,Helsingin Jalkapalloklubi,HJK,home,2u07e54v5dprsugdvddpq5ync,Finland,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,Mariehamn,IFK Mariehamn,MAR,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
8,8,j3m2c3af9zig0ph1jh331mac,13,2025-08-23Z,14:00:00Z,2025-08-23,17:00:00,21,2,45,2025-06-14T10:21:15Z,Ilves vs Inter Turku,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,4ott28qexy159nq0w05rjmrys,no,Tammelan Stadion,Tammelan Stadion,,2rdnn9p03qrmmv34tyx1nahpa,Ilves,Ilves,Tampereen Ilves,ILV,home,2u07e54v5dprsugdvddpq5ync,Finland,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,Inter Turku,FC Inter Turku,INT,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
9,9,ir9yaobukmpme9mkehxoxogk,13,2025-08-23Z,14:00:00Z,2025-08-23,17:00:00,21,2,45,2025-06-05T13:19:08Z,Jaro vs KuPS,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,dvstmwnvw0mt5p38twn9yttyb,Veikkausliiga,Finnish Veikkausliiga,VEI,Domestic league,2u07e54v5dprsugdvddpq5ync,Finland,7t9344kbgek0hcvwymv8nnitw,2025-04-05Z,2025-10-19Z,2025,7v0ytkp4r8fcj6rdj1rwd5udw,e2q01r9o9jwiq1fls93d1sslx,2025-04-05Z,2025-08-31Z,Regular Season,z1wle245xcf0crny65yoguzt,no,Centralplan,Centralplan,,7efqk7uh63928il0yffxijnv7,Jaro,Jaro,FF Jaro,FFJ,home,2u07e54v5dprsugdvddpq5ync,Finland,1c7dv8ays675v9kp6a04sd8pq,KuPS,KuPS,Kuopion Palloseura,KUP,away,2u07e54v5dprsugdvddpq5ync,Finland,16,Fixture,,,,,,,,,,,,
