id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2823393901,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-19T14:06:28.475Z,2025-06-19T14:06:28Z,,,,,5775354809,130,4,5775354815,197,19340,5775354803,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 2fw3pz0v22kdbiognam8zsvoq, 53kd57a8pwjno3l6cou3nexn9, c1f7vp2u7fndbs1q67yhze1hw, c90jak72lerrxc3kpo73cupsk, 5fvzbq3mstt7eatkjpodbvpm2, bwn0e8pjrikjcpold20o2os2c, 524qf48twiwfk14oxmwsxj2tw, 50pntfz4g78co2q68kno332z9, 8g3a6qtlb0xy12ntska7n8phw, 5hkcvpt8l2qjwovhon9wuo0es, 3tsss8xjrpvthouor07alc93o, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 98u2encce9933qd4y2kukej85, d34pugygez0vtpx1t8p5bnq0a",5775354811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775354813,194,53kd57a8pwjno3l6cou3nexn9,5775354805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5775354817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775354807,59,"1, 5, 2, 10, 22, 3, 28, 17, 11, 23, 6, 9, 18, 26, 30, 25, 12, 4, 16, 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393905,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-06-19T14:10:32.892Z,2025-06-19T16:05:50Z,,,,,5775354877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775354883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5775354881,197,22105,5775354869,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, apryim5dle6o29qp6hpio06sq, c5oixwvc8sk4fxliorsk7a311, 8igk37zt3ixjxdtr1t9kwfnit, 1nww1pe0ouxnuwt8q9zy4xrmc, c538ewmcaz4z73gcftzedbob9, 4m7qbjhm8zl0z7px053siv6j9, 23yj26f5kapxyx90glndxs3kk, 7dvn6m2z49c2n1ev0o9rvk93o, 5xh9dk4vted5t3yzvnc1o3a7e, 11xqkd2im28nwotbqeuhflcd1, btr893a8ljoe8av97ji8kwr11, b9s6ecsxs323kktg3cs3pisk4, 1ds8j4s1h4fydkkhl9qe9l5yi, 5wtugxjwq7fvbeqcak5j5l5nt, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc, 9bd4vf4tdzfipobqzp2r7gbft",5775354879,194,c5oixwvc8sk4fxliorsk7a311,5775354873,59,"33, 14, 21, 8, 4, 17, 18, 37, 10, 19, 77, 22, 7, 9, 27, 15, 23, 16, 2, 26",5775354871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5775354875,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393931,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-06-19T15:01:11.207Z,2025-06-19T15:01:11Z,,,,,5775355375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393933,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-19T15:01:11.207Z,2025-06-19T15:01:11Z,,,,,5775355377,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393935,3,1,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,49.9,50.0,2025-06-19T15:01:11.208Z,2025-06-19T15:01:14Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5775355387,213,2.52,5775355379,56,Back,5775355389,279,S,5775355381,140,41.3,5775355383,141,59.6,5775355385,212,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393937,4,1,1,0,2,8sy0cxovuxo76tuoas3uo55xj,0,43.6,56.3,2025-06-19T15:01:13.960Z,2025-06-19T15:01:16Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,,5775355395,56,Center,5775355403,213,5.76,5775355401,212,32.6,5775355399,141,32.5,5775355393,155,,5775355405,1,,5775355397,140,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393939,3,61,1,0,5,8eab5wbcnttsiosd1o8c71gmk,1,31.6,73.5,2025-06-19T15:01:16.620Z,2025-06-19T15:01:16Z,c90jak72lerrxc3kpo73cupsk,B. Ampofo,,,5775355407,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393941,4,1,1,0,6,8eab5wbcnttsiosd1o8c71gmk,0,23.6,72.0,2025-06-19T15:01:17.702Z,2025-06-19T15:01:19Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5775355409,157,,5775355415,141,79.1,5775355417,212,21.3,5775355411,56,Back,5775355413,140,43.4,5775355419,213,0.23,5775355421,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393943,5,1,1,0,8,8sy0cxovuxo76tuoas3uo55xj,0,53.3,11.0,2025-06-19T15:01:19.625Z,2025-06-19T15:01:21Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,,5775355431,212,12.3,5775355427,140,61.9,5775355433,213,0.75,5775355423,3,,5775355429,141,23.3,5775355425,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823393947,6,83,1,0,12,8sy0cxovuxo76tuoas3uo55xj,0,58.5,21.2,2025-06-19T15:01:24.152Z,2025-06-19T15:01:27Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,,5775355461,399,c1f7vp2u7fndbs1q67yhze1hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
