id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2809179119,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-03T11:09:13.142Z,2025-05-03T12:16:43Z,,,,,5696478495,197,24423,5696478491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696478487,59,"1, 3, 12, 26, 40, 24, 44, 28, 9, 19, 10, 7, 11, 20, 6, 15, 25, 22, 30, 42",5696478489,130,4,5696478497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696478493,194,19yfn0sushy5fc003vhn0skwl,5696478485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5696478481,30,"dxlvcn8a2lhtne6py7w4tbpw5, nxt066bqaqw7grehjw514d7t, dlpw0ifxzwotsw2ttopgispka, b7x9fczqecsf267ewzcvccmhh, bpjmwp030jnapyjfii8nyqdhx, 6q0g98fnbdx5sg52lazo2sqac, 19yfn0sushy5fc003vhn0skwl, bbdoe533sbua0ikwxa8ldo91x, 8do2uv6sab8cz1556kk5o1q1g, 4a8qjfagq2xr6wqsv875jth0q, b0wmozayt7xbjz6ihhdiczq0a, d8t6nh7paunxlvadzlfx69xx, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, 455wfzlw9g457wbrz07i0drtg, anqhl7ehns6thx9ldto2jp5ud, ecuwplrj6gv5s67cg9lu342ui, 166chk5he9ehkh9col37bw3jd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809179907,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-03T11:10:17.965Z,2025-05-03T12:04:49Z,,,,,5696482321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5696482317,194,2lsv3xzudv78cddzsvl76zgx6,5696482313,130,4,5696482309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5696482319,197,28964,5696482307,30,"eklpacb4xe0yb13zxi642gys4, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, 10qxrh1rh7uyhtm3scj8glqs, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, 36gi7l0qvkbru5w6v2nym00ve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 1iyf79yql5sm8m6i8nwxntsve, 4zizd9804wk2k5v0l7ph0u0kq, cnf3yzk0zcrlrfejwd2iebbpw, 1nysj6xb60fhhjhtle8pakbo4, 8v9ms04dm6d99xb9lt5qdk74k, 9vdi394umuumkq4hg5rnj5tzo, eyxig53mzy4qlf208vpchs7is, 8tzmahdp1kkbot7nulpirqhh",5696482315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5696482311,59,"80, 35, 33, 6, 30, 4, 20, 8, 18, 10, 16, 9, 21, 43, 1, 14, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226265,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-03T12:00:21.749Z,2025-05-03T12:00:21Z,,,,,5696726069,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226279,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-03T12:00:21.749Z,2025-05-03T12:00:24Z,,,,,5696726107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226315,3,1,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,49.9,50.4,2025-05-03T12:00:21.750Z,2025-05-03T12:00:25Z,u8remrfu8ug41xu71brhukmh,S. Dahlström,,,5696726311,213,3.13,5696726303,56,Back,5696726307,141,50.6,5696726313,279,S,5696726309,212,15.5,5696726305,140,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226357,4,1,1,0,3,3ptum5fjcgw51mqui0gu6uuf4,0,35.2,52.8,2025-05-03T12:00:25.701Z,2025-05-03T12:01:54Z,10qxrh1rh7uyhtm3scj8glqs,N. Kujasalo,,,5696726549,1,,5696726531,56,Center,5696726529,157,,5696726541,212,47.8,5696726545,213,5.85,5696726537,141,23.0,5696726533,140,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226449,4,44,1,0,4,3cbke8cbou2ms925872vk6dwx,1,25.7,80.6,2025-05-03T12:00:26.137Z,2025-05-03T12:01:04Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5696727091,56,Back,5696727147,233,5,5696727093,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226363,5,44,1,0,4,3ptum5fjcgw51mqui0gu6uuf4,0,74.3,19.4,2025-05-03T12:00:26.138Z,2025-05-03T12:01:05Z,f5f9sfvtizyppg8kqtmp9y3ca,T. Olawale,,,5696726563,56,Right,5696726565,286,,5696727161,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226387,3,1,1,0,4,3cbke8cbou2ms925872vk6dwx,0,32.6,91.6,2025-05-03T12:00:26.319Z,2025-05-03T12:07:48Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5696726721,212,12.0,5696726717,140,42.3,5696726713,3,,5696726723,213,0.56,5696726715,56,Back,5696726719,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809226473,5,5,1,0,6,3cbke8cbou2ms925872vk6dwx,0,34.4,101.5,2025-05-03T12:00:27.803Z,2025-05-03T12:07:30Z,6q0g98fnbdx5sg52lazo2sqac,P. Gnanou,,,5696727227,347,,5696727225,56,Back,5696727287,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
