id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/8/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2822547811,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-14T15:02:56.142Z,2025-06-14T16:10:15Z,,,,,5770602019,130,18,5770602021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5770602023,194,5h0xmzqj69qpakvv8b3gfin6d,5770602017,59,"1, 22, 17, 3, 16, 5, 14, 15, 7, 30, 27, 8, 10, 18, 12, 21, 24, 42",5770602025,197,22089,5770602027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770602015,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5770602013,30,"5h0xmzqj69qpakvv8b3gfin6d, bt9canh10jbb5pms11dzi1j2t, 7hr8mxix88otsvgitsv184g0k, cpxcd9wihjrac0ttpvfzv5kkq, 2ds2jprriwxkden7xw0pvhe51, 1vt9w739g9cui1qrjhld5jgt1, 74od0bd25ox7cv2sfmebf72s5, 87xd8a3n7mtk57za6pcc5l5n9, a30y638aa4uo6vudqgrcjvpat, 5msckfem6wvr8h2egmxqgn5zo, dprt62xpys5habrdk1kg6sbu1, 8r3xgvgtysw3a026rrhebyxre, 6yreepfqr0qh9o2mlglzkri6t, 6aoswcs32ubpn2g50tqcopg5w, a6c8kxkcb77ldh3dpondvd2sq, 3h900ulsj68bktnzbti1jvr6y, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822547881,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-06-14T15:03:54.062Z,2025-06-14T16:04:54Z,,,,,5770602349,59,"1, 6, 25, 8, 15, 4, 20, 7, 11, 19, 34, 21, 17, 18, 26, 30, 12, 22, 23, 24",5770602359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770602357,197,9120,5770602347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770602345,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, 5irotktf4k5ynobf0zugdom0a, 59d5otjevb4zussjofufdg4ph, 289f8ysumkm0ilmx2z472cei2, 2myqyf42cisqz9ev77pxo0hjp, 9c2ajg42wya1u4lh1eeye2jo4, c11fpnugs2ihyqk07ohha54np, 5t58neiqhud2d4h64owu8fwiy, 27tqgrgwe7bvct5ffmr0sqdey, 7z2gs2b8ccchwf0h92hwx8d90, 2yyodldan4gscxb0jjrpkygyy, 2vvnbkdgeje34aivohozzvm5l, 6bci7uqkdfkqzfyp3kq9lh3pw, be5sv0h649rb9o9gnko9ve2ac, f3ztai8p7edxzgi511p9ol7o4, 1p8qp744v6uor8li9wfcwi0dm, beq1o3wl29kdr4qtahdij1m21, 3ani6i6zvyyz715jalqfbcvoq, 6zxmiojkikr9no952g862h3is",5770602355,194,59d5otjevb4zussjofufdg4ph,5770602351,130,6,5770602353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552685,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-06-14T16:01:53.564Z,2025-06-14T19:26:58Z,,,,,5770628949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552683,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-14T16:01:53.564Z,2025-06-14T16:01:53Z,,,,,5770628947,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552701,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-06-14T16:01:53.565Z,2025-06-14T16:08:52Z,5t58neiqhud2d4h64owu8fwiy,A. Sadiku,,,5770629047,212,27.0,5770629049,213,3.38,5770629043,140,25.0,5770629051,279,S,5770629041,56,Back,5770629045,141,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552721,4,1,1,0,4,1c7dv8ays675v9kp6a04sd8pq,1,24.1,33.6,2025-06-14T16:01:58.484Z,2025-06-14T16:02:02Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5770629111,157,,5770629113,56,Center,5770629115,140,73.8,5770629119,212,52.5,5770629117,141,24.9,5770629121,213,6.17,5770629123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552731,5,1,1,0,9,1c7dv8ays675v9kp6a04sd8pq,0,73.8,24.9,2025-06-14T16:02:02.612Z,2025-06-14T16:02:03Z,9c2ajg42wya1u4lh1eeye2jo4,M. Toure,,,5770629155,141,33.0,5770629153,140,89.6,5770629151,56,Center,5770629147,3,,5770629157,212,17.5,5770629149,168,,5770629159,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552777,4,1,1,0,13,2rdnn9p03qrmmv34tyx1nahpa,1,12.5,54.9,2025-06-14T16:02:07.232Z,2025-06-14T16:02:13Z,5h0xmzqj69qpakvv8b3gfin6d,O. Virtanen,,,5770629379,140,15.1,5770629377,56,Back,5770629383,212,21.1,5770629381,141,24.1,5770629385,213,4.84,5770629375,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552781,5,1,1,0,19,2rdnn9p03qrmmv34tyx1nahpa,1,22.3,17.1,2025-06-14T16:02:13.056Z,2025-06-14T16:02:14Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5770629399,140,27.8,5770629405,213,0.43,5770629397,56,Back,5770629401,141,21.0,5770629403,212,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552793,6,1,1,0,20,2rdnn9p03qrmmv34tyx1nahpa,1,28.0,21.6,2025-06-14T16:02:14.110Z,2025-06-14T16:02:18Z,5msckfem6wvr8h2egmxqgn5zo,J. Kanga,,,5770629499,141,18.2,5770629503,213,3.38,5770629501,212,9.8,5770629497,140,18.9,5770629495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
