id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2822548441,1,34,16,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-06-14T15:08:56.698Z,2025-06-15T06:05:28Z,,,,,5770605219,59,"80, 6, 3, 18, 5, 28, 70, 8, 9, 10, 7, 11, 17, 19, 21, 33, 25, 2, 16, 67",5770605229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770605227,197,22108,5770605223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770605225,194,7glr1eur910fj5b5fg743job9,5770605221,130,8,5770605215,30,"dssxj3ymyofvhfjgmpg1ftuga, ag78l8kpc7icq4payr6mgyej8, 2qks3nbpd8o6igkqjl9e4po4q, f2qohaex1g5tvz10leo2ia6s, 17p2jqe16w5j9qh5f8yr80g7o, czynssza36ggpaezb0i14si22, 93961wszqaocy96z45j4a232s, bmbdwons7wudqebn3o3flm19l, dytql3b2co1cst72z5qf879pl, ayl3txfejfa46xvwnzzd76vze, 7glr1eur910fj5b5fg743job9, 9tz8pzof2v3ktjwsyt3gl18gk, 9f9rakq22c75ur58uel80f7ys, ciursygt8i2deeszjdebb28yx, 1coz8r44qcr2aau1u09888i6s, 6l2pjfuvjdnb6vkv4b0eb8mc4, 1vw6twdjys1rwby79jsf92tck, oqudbhzm03z0sfh8tw4qoqhg, 23ngtx061omtotnlvbzlgd3bo, 9ykuo0c905u48vd44wxgb6jth",5770605217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822549003,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-14T15:14:07.166Z,2025-06-14T16:57:36Z,,,,,5770608587,130,4,5770608583,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5770608593,197,26791,5770608581,30,"66zsjkvxs4cbh9u63hk273t1x, npha09mhy3755go8t6lg3ey2, dtdqh03syykiv1cjstn2lhkvd, 4y7niu1b8drpeccb84s2e9wwl, 6iaszy97sphbfkhfxdwd93g15, 913e8yevkhhhegjun1elcc161, cbceals9gkfqlywg94zzzlgb9, 7e8irrii6ddjjaex00kq8cand, a3elaln9izarzlwqkwc4ynpey, 7x14tbg2brvxi5g9jdbovp8gk, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, 38b94pyeuduolezhjx34wymfo, crqntc3sy05jsblgk90gymhn9, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, ewhh39na34kvumaw7zfbh228l, 3bu3igsdqg8atj5pailbof76c, 5pa2n5nlvexr6z7nu65uz0qqy",5770608595,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770608585,59,"13, 5, 21, 10, 4, 8, 9, 16, 95, 11, 66, 7, 15, 24, 77, 25, 2, 20, 40",5770608591,194,4y7niu1b8drpeccb84s2e9wwl,5770608589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552441,2,32,1,0,0,ea3yd0dgq6uy6pupkpn17j5xg,1,0.0,0.0,2025-06-14T16:00:08.858Z,2025-06-15T06:06:16Z,,,,,5770627711,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552433,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-14T16:00:08.858Z,2025-06-14T16:00:08Z,,,,,5770627693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552445,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,50.1,50.3,2025-06-14T16:00:08.859Z,2025-06-14T16:00:11Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5770627717,140,31.0,5770627715,56,Back,5770627721,212,20.1,5770627725,279,S,5770627723,213,3.18,5770627719,141,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552449,4,1,1,0,2,7efqk7uh63928il0yffxijnv7,0,31.0,49.3,2025-06-14T16:00:11.578Z,2025-06-14T16:00:15Z,913e8yevkhhhegjun1elcc161,A. Ramsay,,,5770627745,56,Right,5770627743,157,,5770627747,140,73.7,5770627753,213,5.84,5770627751,212,49.7,5770627749,141,17.7,5770627755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552453,3,12,1,0,7,ea3yd0dgq6uy6pupkpn17j5xg,1,27.9,86.0,2025-06-14T16:00:16.007Z,2025-06-14T16:00:18Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5770627771,56,Back,5770627775,141,100.0,5770627773,140,39.1,5770627777,212,15.9,5770627807,167,,5770627781,15,,5770627779,213,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552459,4,5,1,0,8,ea3yd0dgq6uy6pupkpn17j5xg,0,40.1,101.8,2025-06-14T16:00:16.970Z,2025-06-14T17:02:18Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5770627809,233,5,5770627799,56,Back,5770627801,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552457,5,5,1,0,8,7efqk7uh63928il0yffxijnv7,1,59.9,-1.8,2025-06-14T16:00:16.970Z,2025-06-14T17:02:18Z,913e8yevkhhhegjun1elcc161,A. Ramsay,,,5770627803,233,4,5770627795,347,,5770627793,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552469,6,1,1,0,18,7efqk7uh63928il0yffxijnv7,1,62.5,0.0,2025-06-14T16:00:26.986Z,2025-06-14T16:00:32Z,npha09mhy3755go8t6lg3ey2,A. Bjonbäck,,,5770627869,212,28.2,5770627873,1,,5770627863,56,Right,5770627867,141,16.8,5770627861,107,,5770627871,213,0.47,5770627865,140,86.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552475,6,83,1,0,21,ea3yd0dgq6uy6pupkpn17j5xg,0,19.2,87.1,2025-06-14T16:00:30.366Z,2025-06-14T16:09:45Z,czynssza36ggpaezb0i14si22,S. Chukwudi,,,5770627969,399,a3elaln9izarzlwqkwc4ynpey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822554287,96,83,1,0,22,ea3yd0dgq6uy6pupkpn17j5xg,1,20.1,83.0,2025-06-14T16:00:31.042Z,2025-06-14T16:10:46Z,bmbdwons7wudqebn3o3flm19l,V. Gasc,,,5770638035,399,a3elaln9izarzlwqkwc4ynpey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552471,7,50,1,0,23,7efqk7uh63928il0yffxijnv7,1,84.1,14.6,2025-06-14T16:00:32.405Z,2025-06-14T16:59:37Z,a3elaln9izarzlwqkwc4ynpey,K. Cissoko,,,5770627877,56,Right,5770627893,233,5,5770627879,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
