id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2796098941,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-05T13:14:02.903Z,2025-04-05T13:14:03Z,,,,,5624384517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624384515,130,12,5624384509,30,"6i2n7bcfphn89v0eccet2fop, 9ka422rjynvrx4kofh5q8ivop, 80mvshlrrlu5vt41gkruwn8fe, 1zud0qdtf6c6wzkgqhz6b94a1, 7zztpnbw4cfyw6q231nqy8nv9, 2zqarv7c4098qesbomnra5uqx, 5ynhzqvpks5u5bjgno6snhyzu, eaa9sktij53071abummj4pkwk, 6zw6j1zpm7vs8zkx5z6enqpgq, ec7y1s97xpoab87z786zt0r56, 1zdrpi7b401hv9w9mtykzyor9, ebhnuikcvtrbmw5e80r1fds2y, 9julhxqc94tmamhicz9gfysyc, c06sx8vphh414mv8rqfsy1fdg, 45kijyqwuvgoc6hx51yueyeol, 63x3zhf3u5z3d3ylx0xjvwd90, di62c8bxsf1t8jrhzu47qb7u2, 1xquqxm7zxe002v8dc2z46sb9, 1wg15zg0fffyoag6owdh35vkk, bqc4ov50nt2cguo0rrxw2a02x",5624384511,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624384529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624384525,197,18882,5624384519,194,5ynhzqvpks5u5bjgno6snhyzu,5624384513,59,"77, 34, 20, 19, 23, 25, 21, 7, 9, 10, 30, 11, 27, 28, 1, 2, 3, 4, 5, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796106457,1,34,16,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-05T13:20:54.664Z,2025-04-05T14:02:58Z,,,,,5624427163,197,20305,5624427153,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5624427159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5624427155,59,"1, 16, 29, 4, 38, 33, 6, 24, 9, 14, 10, 7, 8, 17, 26, 80, 99, 18, 27",5624427157,130,13,5624427161,194,9rle4eqj5q7d4y7hgu570vgfd,5624427165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624427151,30,"91fm2241o9p5nxo84p43tedhx, 33va022bhya45v496wz8usn6y, cn6gncw8nbyds83xx6cxbzrpw, bse78hbpbf32wr6nboc5zds0k, 7r2ifipuieqiar5n00o2j5uj9, 9p03mfw1a51fwu8fklock97je, 18e98agfd0xvy161ax3ru08pg, a1dhi0sqw2yeffewd34n6z7fu, j4mqmt0lccgzq4nf87ljkoyy, 9rle4eqj5q7d4y7hgu570vgfd, 61ib1kknf11ab4v4f1magyu39, 7wd41kdu78udzrxi9feh2drhm, c9987xq26uc7bq68l76clyxud, 2iff45qvldope3itiwthnvgx6, 4accnmk8l7khcvpzibgdxjl04, anfjghysnr4o03nqnxs98e0ic, cu75ndbeja7m9o2g789b0h34k, 80whrqt5ch885cdrzpzlez85w, c3fc1hxuhutchilwclikdzoyc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147101,2,32,1,0,0,cy6zs39z79dcfbr4xzkp38z7q,1,0.0,0.0,2025-04-05T14:00:18.788Z,2025-04-05T14:00:22Z,,,,,5624637193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147079,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-04-05T14:00:18.788Z,2025-04-05T14:00:19Z,,,,,5624637115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147213,3,1,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,50.2,50.1,2025-04-05T14:00:18.789Z,2025-04-05T14:00:23Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,,5624637725,56,Back,5624637731,212,19.6,5624637727,140,31.7,5624637735,279,S,5624637733,213,3.03,5624637729,141,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147305,4,1,1,0,3,duspptyvnr5kpx2iko5gerhnz,0,32.6,54.0,2025-04-05T14:00:22.295Z,2025-04-05T14:49:53Z,2zqarv7c4098qesbomnra5uqx,S. Lindeman,,,5624638123,56,Center,5624638129,212,46.0,5624638133,1,,5624638121,157,,5624638127,141,22.7,5624638131,213,5.80,5624638125,140,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147331,3,44,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,30.0,76.9,2025-04-05T14:00:25.274Z,2025-04-05T16:13:40Z,bse78hbpbf32wr6nboc5zds0k,M. Jatta,,,5624638231,285,,5624638539,233,5,5624638229,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147375,5,44,1,0,6,duspptyvnr5kpx2iko5gerhnz,0,70.0,23.1,2025-04-05T14:00:25.275Z,2025-04-05T16:13:40Z,6zw6j1zpm7vs8zkx5z6enqpgq,M. Borchers,,,5624638581,233,3,5624638445,286,,5624638443,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147355,4,12,1,0,6,cy6zs39z79dcfbr4xzkp38z7q,1,28.3,79.4,2025-04-05T14:00:25.541Z,2025-04-05T14:00:28Z,bse78hbpbf32wr6nboc5zds0k,M. Jatta,,,5624638407,15,,5624638333,140,26.8,5624638343,213,1.67,5624638339,212,15.4,5624638757,167,,5624638335,141,100.0,5624638331,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147433,5,5,1,0,8,cy6zs39z79dcfbr4xzkp38z7q,0,27.1,102.0,2025-04-05T14:00:27.240Z,2025-04-05T16:14:01Z,bse78hbpbf32wr6nboc5zds0k,M. Jatta,,,5624639143,233,6,5624638729,56,Back,5624638733,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
