id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2822547853,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-14T15:03:37.045Z,2025-06-14T16:04:20Z,,,,,5770602247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770602251,197,21330,5770602241,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5770602249,194,d8t6nh7paunxlvadzlfx69xx,5770602243,59,"1, 3, 12, 40, 24, 42, 44, 28, 10, 7, 9, 11, 20, 21, 6, 15, 25, 2, 4, 30",5770602253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770602245,130,18,5770602239,30,"dxlvcn8a2lhtne6py7w4tbpw5, nxt066bqaqw7grehjw514d7t, dlpw0ifxzwotsw2ttopgispka, bpjmwp030jnapyjfii8nyqdhx, 6q0g98fnbdx5sg52lazo2sqac, 166chk5he9ehkh9col37bw3jd, 19yfn0sushy5fc003vhn0skwl, bbdoe533sbua0ikwxa8ldo91x, b0wmozayt7xbjz6ihhdiczq0a, d8t6nh7paunxlvadzlfx69xx, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 5rov9d5353qn4to1rokchh250, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310, 72oiz92rfd5sxtpxxnqb7kpre, ecuwplrj6gv5s67cg9lu342ui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822548769,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-06-14T15:11:43.851Z,2025-06-14T15:58:14Z,,,,,5770607163,130,2,5770607165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770607161,59,"33, 14, 21, 8, 4, 17, 23, 37, 9, 10, 77, 7, 19, 27, 15, 18, 16, 2, 26, 22",5770607157,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, apryim5dle6o29qp6hpio06sq, c5oixwvc8sk4fxliorsk7a311, 8igk37zt3ixjxdtr1t9kwfnit, 5wtugxjwq7fvbeqcak5j5l5nt, c538ewmcaz4z73gcftzedbob9, btr893a8ljoe8av97ji8kwr11, 4m7qbjhm8zl0z7px053siv6j9, 7dvn6m2z49c2n1ev0o9rvk93o, 11xqkd2im28nwotbqeuhflcd1, 23yj26f5kapxyx90glndxs3kk, b9s6ecsxs323kktg3cs3pisk4, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc, 9bd4vf4tdzfipobqzp2r7gbft, 5xh9dk4vted5t3yzvnc1o3a7e",5770607167,197,18887,5770607169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5770609045,194,c5oixwvc8sk4fxliorsk7a311,5770607159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552479,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-06-14T16:00:34.701Z,2025-06-14T16:00:35Z,,,,,5770627899,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552477,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-14T16:00:34.701Z,2025-06-14T16:00:34Z,,,,,5770627897,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552481,3,1,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,50.1,50.4,2025-06-14T16:00:34.702Z,2025-06-14T16:00:36Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5770627913,140,43.7,5770627915,141,51.3,5770627921,279,S,5770627917,212,6.7,5770627927,278,,5770627911,56,Back,5770627919,213,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552483,4,1,1,0,1,8sy0cxovuxo76tuoas3uo55xj,1,41.1,53.9,2025-06-14T16:00:36.021Z,2025-06-14T16:00:37Z,apryim5dle6o29qp6hpio06sq,F. Ellé,,,5770627933,141,45.4,5770627937,213,5.87,5770627931,140,53.7,5770627929,56,Center,5770627935,212,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552485,5,1,1,0,2,8sy0cxovuxo76tuoas3uo55xj,1,53.7,45.4,2025-06-14T16:00:36.981Z,2025-06-14T16:00:37Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,,5770627943,140,45.1,5770627953,156,,5770627945,141,44.0,5770627947,212,9.1,5770627941,56,Back,5770627949,213,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552495,6,1,1,0,3,8sy0cxovuxo76tuoas3uo55xj,0,44.9,44.0,2025-06-14T16:00:38.182Z,2025-06-14T17:00:08Z,5wtugxjwq7fvbeqcak5j5l5nt,M. Larsen,,,5770627993,141,61.8,5770627995,212,38.6,5770627989,56,Center,5770627997,213,0.32,5770627991,140,79.8,5770627999,1,,5770627987,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552497,3,12,1,0,6,3cbke8cbou2ms925872vk6dwx,1,20.9,22.2,2025-06-14T16:00:41.270Z,2025-06-14T16:00:42Z,166chk5he9ehkh9col37bw3jd,O. Olufunwa,,,5770628005,141,9.8,5770628003,140,30.8,5770628009,213,5.60,5770628007,212,13.4,5770628001,56,Back,5770628011,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822552501,7,1,1,0,8,8sy0cxovuxo76tuoas3uo55xj,0,69.0,86.6,2025-06-14T16:00:43.062Z,2025-06-14T16:00:45Z,byudescfxvi1kxlpncbv0mymt,M. Sumusalo,,,5770628031,141,100.0,5770628027,56,Left,5770628033,212,26.5,5770628035,213,0.40,5770628029,140,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
