id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/14/value
2815762903,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-17T15:03:05.300Z,2025-05-17T16:01:23Z,,,,5732765399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732765395,59,"1, 6, 7, 4, 19, 5, 20, 21, 9, 30, 10, 14, 11, 17, 26, 77, 3, 23, 29, 31",5732765405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732765401,194,1xquqxm7zxe002v8dc2z46sb9,5732765391,30,"45kijyqwuvgoc6hx51yueyeol, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 1xquqxm7zxe002v8dc2z46sb9, 1zud0qdtf6c6wzkgqhz6b94a1, 1wg15zg0fffyoag6owdh35vkk, 80mvshlrrlu5vt41gkruwn8fe, 5ynhzqvpks5u5bjgno6snhyzu, 6zw6j1zpm7vs8zkx5z6enqpgq, 1zdrpi7b401hv9w9mtykzyor9, ec7y1s97xpoab87z786zt0r56, 84wint64ygxx3pi5fz3mr12j8, ebhnuikcvtrbmw5e80r1fds2y, bn62iwa6vrs5z6ow9q2kpq590, 9mki2meutffzyo7nd0zo94zkk, 6i2n7bcfphn89v0eccet2fop, di62c8bxsf1t8jrhzu47qb7u2, 7zztpnbw4cfyw6q231nqy8nv9, 1t44y6xzubkclt6i6nzgkgr1l, bbp11n61bl9mjlis2ulxub66s",5732765397,130,12,5732765393,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5732765403,197,18882,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815765727,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-17T15:05:25.336Z,2025-05-17T16:01:25Z,,,,5732778927,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5732778939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5732778935,194,4y7niu1b8drpeccb84s2e9wwl,5732778925,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, npha09mhy3755go8t6lg3ey2, 4y7niu1b8drpeccb84s2e9wwl, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, 7x14tbg2brvxi5g9jdbovp8gk, 80115v2kkgjym3ubywmkz654a, a3elaln9izarzlwqkwc4ynpey, cbceals9gkfqlywg94zzzlgb9, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, 38b94pyeuduolezhjx34wymfo, 6iaszy97sphbfkhfxdwd93g15, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, a4kgoyzoedberugc14zrtv55h, 3bu3igsdqg8atj5pailbof76c, dtdqh03syykiv1cjstn2lhkvd",5732778931,130,8,5732778937,197,26791,5732778933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5732778929,59,"13, 40, 5, 10, 6, 3, 11, 42, 95, 9, 66, 7, 15, 4, 16, 17, 25, 20, 21",,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813193,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-17T15:59:40.557Z,2025-05-17T15:59:41Z,,,,5733025855,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813183,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-17T15:59:40.557Z,2025-05-17T15:59:40Z,,,,5733025815,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813253,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,50.0,50.0,2025-05-17T15:59:40.558Z,2025-05-17T16:02:31Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,5733026085,141,70.6,5733033583,189,,5733026089,213,2.63,5733026083,140,26.3,5733026087,212,28.6,5733026081,56,Back,5733026091,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813255,4,1,1,0,2,7efqk7uh63928il0yffxijnv7,1,25.9,70.6,2025-05-17T15:59:43.054Z,2025-05-17T15:59:47Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,5733026099,56,Back,5733026101,140,24.2,5733026107,213,4.63,5733026105,212,21.9,5733026103,141,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813257,5,1,1,0,3,7efqk7uh63928il0yffxijnv7,1,24.2,38.5,2025-05-17T15:59:43.837Z,2025-05-17T15:59:47Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,5733026111,56,Back,5733026117,212,19.4,5733026113,140,29.2,5733026119,213,4.99,5733026115,141,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813265,6,1,1,0,5,7efqk7uh63928il0yffxijnv7,0,29.2,11.0,2025-05-17T15:59:45.919Z,2025-05-17T15:59:47Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733026153,155,,5733026157,140,60.0,5733026165,1,,5733026155,56,Right,5733026163,213,0.18,5733026161,212,32.9,5733026159,141,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813279,3,1,1,0,8,duspptyvnr5kpx2iko5gerhnz,1,29.2,82.3,2025-05-17T15:59:48.720Z,2025-05-17T16:03:06Z,80mvshlrrlu5vt41gkruwn8fe,Y. El Ouatki,,5733026265,212,13.9,5733026257,56,Back,5733026269,213,0.18,5733026255,3,,5733026259,140,42.2,5733026261,141,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815813285,7,83,1,0,10,7efqk7uh63928il0yffxijnv7,0,60.2,17.6,2025-05-17T15:59:50.862Z,2025-05-17T15:59:52Z,5pa2n5nlvexr6z7nu65uz0qqy,R. Polley,,5733026397,399,eaa9sktij53071abummj4pkwk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
