id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/15/value
2820347077,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-31T15:09:34.972Z,2025-05-31T16:06:17Z,,,,5758228349,194,59d5otjevb4zussjofufdg4ph,5758228345,130,2,5758228339,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, beq1o3wl29kdr4qtahdij1m21, aa40go6nrv6mpdny6zdc1jeg9, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, 2vvnbkdgeje34aivohozzvm5l, doxrlp6910n9l5b5zl8ee73ai, 9c2ajg42wya1u4lh1eeye2jo4, 7z2gs2b8ccchwf0h92hwx8d90, 59d5otjevb4zussjofufdg4ph, 5t58neiqhud2d4h64owu8fwiy, 27tqgrgwe7bvct5ffmr0sqdey, 2yyodldan4gscxb0jjrpkygyy, c11fpnugs2ihyqk07ohha54np, be5sv0h649rb9o9gnko9ve2ac, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, 6zxmiojkikr9no952g862h3is, 5irotktf4k5ynobf0zugdom0a",5758228351,197,19152,5758228341,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758228343,59,"1, 6, 22, 13, 15, 16, 17, 10, 20, 34, 8, 11, 19, 21, 7, 26, 12, 2, 24, 25",5758228353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758228347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2820347563,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-31T15:13:12.773Z,2025-05-31T15:52:52Z,,,,5758231149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758231145,59,"25, 28, 13, 21, 3, 6, 22, 8, 20, 4, 7, 11, 19, 91, 10, 14, 15, 1, 2, 24",5758231155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5758231151,194,5j2hy92q8f17nppznxrp8kxxx,5758231141,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, bas4d4drvf8kefls9tszu0oic, 95h8ci71qugckn045d3rumlm1, 18p445rm69t2xc13vggv5oueh, bl6vj48jfq2s09w7sezntwgt0, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, 5j2hy92q8f17nppznxrp8kxxx, 4cooeu9zahategmvpj3zdr6xh, 5qgan4g8ci25xi4v0v5cp0f84, 7jv2mo9fes84761ebn6437axg, 4q9qes9db1l7plfu2re8q3v8, 7mn880d3dieg0qb49tlzx1mfp, 9e99gi213xgj9ekx62q7c7w2c, 4aoegh7yokqb5ix45ruvqjalm, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, 2e3yktcpxvr1dxy2z1z1dolxw",5758231153,197,16086,5758231143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5758231147,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357939,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-31T16:00:18.577Z,2025-05-31T16:00:18Z,,,,5758287995,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357941,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-31T16:00:18.577Z,2025-05-31T16:00:20Z,,,,5758287997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357943,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-05-31T16:00:18.696Z,2025-05-31T16:00:24Z,59d5otjevb4zussjofufdg4ph,P. Pennanen,,5758288005,212,26.9,5758288009,279,S,5758288001,140,24.4,5758288003,141,50.6,5758287999,56,Back,5758288007,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357961,4,1,1,0,5,1c7dv8ays675v9kp6a04sd8pq,0,26.4,50.9,2025-05-31T16:00:24.465Z,2025-05-31T16:00:29Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,5758288123,212,70.1,5758288117,56,Center,5758288127,1,,5758288125,213,6.10,5758288121,141,32.1,5758288119,140,92.0,5758288115,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357969,3,61,1,0,12,303582z192rnbr2x28o2t7u38,0,3.6,69.6,2025-05-31T16:00:31.160Z,2025-05-31T16:00:31Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,5758288151,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357977,4,6,1,0,13,303582z192rnbr2x28o2t7u38,0,2.6,70.2,2025-05-31T16:00:31.729Z,2025-05-31T18:05:15Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,5758288201,56,Back,5758288221,233,5,5758288203,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820357975,5,6,1,0,13,1c7dv8ays675v9kp6a04sd8pq,1,97.4,29.8,2025-05-31T16:00:31.729Z,2025-05-31T16:00:37Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,5758288215,233,4,5758288207,56,Center,5758288209,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358129,6,1,1,1,0,1c7dv8ays675v9kp6a04sd8pq,1,99.5,0.5,2025-05-31T16:01:19.409Z,2025-05-31T16:01:26Z,beq1o3wl29kdr4qtahdij1m21,N. Hämäläinen,,5758289033,213,2.67,5758289029,141,12.5,5758289025,56,Right,5758289027,140,84.3,5758289031,212,17.9,5758289023,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358125,5,45,1,1,4,303582z192rnbr2x28o2t7u38,0,4.6,74.4,2025-05-31T16:01:23.044Z,2025-05-31T16:01:26Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,5758289017,56,Back,5758289019,285,,5758289129,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358141,7,3,1,1,4,1c7dv8ays675v9kp6a04sd8pq,1,96.0,29.4,2025-05-31T16:01:23.044Z,2025-05-31T16:01:26Z,2vvnbkdgeje34aivohozzvm5l,A. Heinonen,,5758289091,286,,5758289089,56,Center,5758289093,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358149,8,1,1,1,6,1c7dv8ays675v9kp6a04sd8pq,0,97.0,29.8,2025-05-31T16:01:25.377Z,2025-05-31T16:01:26Z,2vvnbkdgeje34aivohozzvm5l,A. Heinonen,,5758289155,212,8.5,5758289149,56,Center,5758289153,141,42.1,5758289157,213,1.73,5758289151,140,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358161,6,12,1,1,7,303582z192rnbr2x28o2t7u38,1,4.2,60.6,2025-05-31T16:01:26.147Z,2025-05-31T16:14:46Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,5758289245,141,77.6,5758289249,213,1.15,5758289243,140,9.1,5758289247,212,12.7,5758289241,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358175,8,1,1,1,11,303582z192rnbr2x28o2t7u38,0,9.2,84.7,2025-05-31T16:01:30.100Z,2025-05-31T16:01:44Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,5758289307,212,29.4,5758289301,56,Back,5758289309,213,5.94,5758289305,141,70.3,5758289299,155,,5758289303,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820358197,9,1,1,1,13,1c7dv8ays675v9kp6a04sd8pq,1,61.5,35.2,2025-05-31T16:01:31.953Z,2025-05-31T16:15:46Z,aa40go6nrv6mpdny6zdc1jeg9,J. Oksanen,,5758289433,141,5.9,5758289429,56,Right,5758289435,212,23.7,5758289439,213,5.28,5758289427,3,,5758289431,140,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
