id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2820712225,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-01T14:37:49.857Z,2025-06-01T15:28:29Z,,,,,5760284297,130,2,5760284299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760284305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760284293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5760284291,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, dtdqh03syykiv1cjstn2lhkvd, 6iaszy97sphbfkhfxdwd93g15, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, 7x14tbg2brvxi5g9jdbovp8gk, 80115v2kkgjym3ubywmkz654a, 4y7niu1b8drpeccb84s2e9wwl, a3elaln9izarzlwqkwc4ynpey, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, cbceals9gkfqlywg94zzzlgb9, 38b94pyeuduolezhjx34wymfo, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, npha09mhy3755go8t6lg3ey2, 3bu3igsdqg8atj5pailbof76c",5760284301,194,4y7niu1b8drpeccb84s2e9wwl,5760284303,197,26791,5760284295,59,"13, 40, 21, 4, 6, 3, 11, 42, 10, 95, 66, 7, 9, 15, 16, 17, 77, 25, 5, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820713013,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-01T14:40:18.896Z,2025-06-01T15:32:32Z,,,,,5760288877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5760288883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5760288881,197,18883,5760288869,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, 9wpb7yiz7zdsb7bj70ornyfis, 2fw3pz0v22kdbiognam8zsvoq, 53kd57a8pwjno3l6cou3nexn9, c1f7vp2u7fndbs1q67yhze1hw, c90jak72lerrxc3kpo73cupsk, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 9618hk1lq7i6see347k7plkyy, 5fvzbq3mstt7eatkjpodbvpm2, 8g3a6qtlb0xy12ntska7n8phw, 5hkcvpt8l2qjwovhon9wuo0es, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 524qf48twiwfk14oxmwsxj2tw, 98u2encce9933qd4y2kukej85, d34pugygez0vtpx1t8p5bnq0a",5760288879,194,53kd57a8pwjno3l6cou3nexn9,5760288873,59,"1, 5, 2, 25, 22, 3, 28, 17, 9, 23, 20, 11, 18, 26, 12, 4, 6, 16, 24",5760288871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5760288875,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727819,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-06-01T15:31:05.554Z,2025-06-01T15:31:05Z,,,,,5760373375,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727825,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-06-01T15:31:05.554Z,2025-06-01T15:31:06Z,,,,,5760373405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727831,3,1,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,50.0,50.0,2025-06-01T15:31:05.555Z,2025-06-01T15:35:37Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5760373427,213,3.68,5760373425,212,19.9,5760373655,189,,5760373423,141,35.1,5760373421,140,33.7,5760373419,56,Back,5760373429,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727839,4,1,1,0,2,8eab5wbcnttsiosd1o8c71gmk,1,29.1,44.2,2025-06-01T15:31:07.738Z,2025-06-01T15:35:15Z,7oxxp38dxp40lby1kwg4xpn56,E. Huuhtanen,,,5760373467,141,64.8,5760373473,1,,5760373471,213,0.39,5760373461,157,,5760373463,56,Center,5760373469,212,36.9,5760373465,140,61.6,5760373569,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727843,5,1,1,0,4,8eab5wbcnttsiosd1o8c71gmk,0,61.6,64.8,2025-06-01T15:31:09.554Z,2025-06-01T15:31:10Z,9wpb7yiz7zdsb7bj70ornyfis,J. Kekarainen,,,5760373493,1,,5760373491,213,5.12,5760373487,141,43.6,5760373485,140,67.5,5760373481,157,,5760373483,56,Center,5760373489,212,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727861,3,1,1,0,4,7efqk7uh63928il0yffxijnv7,0,30.8,59.4,2025-06-01T15:31:10.483Z,2025-06-01T15:31:12Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5760373585,56,Center,5760373583,157,,5760373589,141,22.4,5760373593,213,5.49,5760373591,212,35.2,5760373587,140,54.3,5760373595,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727883,6,1,1,0,9,8eab5wbcnttsiosd1o8c71gmk,1,42.4,94.2,2025-06-01T15:31:15.547Z,2025-06-01T15:31:16Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5760373717,141,82.4,5760373713,56,Back,5760373721,213,4.53,5760373719,212,8.2,5760373715,140,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820727887,7,3,1,0,11,8eab5wbcnttsiosd1o8c71gmk,0,42.0,76.2,2025-06-01T15:31:16.651Z,2025-06-01T15:31:21Z,c90jak72lerrxc3kpo73cupsk,B. Ampofo,,,5760373765,233,4,5760373731,56,Back,5760373733,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
