id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2820661371,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-01T12:06:53.359Z,2025-06-01T14:06:21Z,,,,,5759993971,197,22089,5759993973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759993967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5759993969,194,5h0xmzqj69qpakvv8b3gfin6d,5759993959,30,"5h0xmzqj69qpakvv8b3gfin6d, afacx0e14xrz11u9dnbry92ei, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, a30y638aa4uo6vudqgrcjvpat, 74od0bd25ox7cv2sfmebf72s5, 7wysiv77u3wt6pk31uzzl7dre, 87xd8a3n7mtk57za6pcc5l5n9, 7hr8mxix88otsvgitsv184g0k, 6yreepfqr0qh9o2mlglzkri6t, 6aoswcs32ubpn2g50tqcopg5w, dprt62xpys5habrdk1kg6sbu1, 5msckfem6wvr8h2egmxqgn5zo, a6c8kxkcb77ldh3dpondvd2sq, 2ds2jprriwxkden7xw0pvhe51, auivgwfbffghtuzi2i5e9mxw4, cayn625x26mewt9gp2xrmh4ut",5759993965,130,17,5759993963,59,"1, 13, 19, 3, 5, 22, 7, 14, 9, 15, 17, 10, 18, 27, 30, 12, 16, 24, 42",5759993961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2820661379,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-01T12:06:54.972Z,2025-06-01T14:06:30Z,,,,,5759994019,130,2,5759994021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5759994017,59,"1, 42, 22, 44, 24, 40, 3, 28, 30, 9, 10, 11, 20, 21, 6, 15, 25, 2",5760095933,194,anqhl7ehns6thx9ldto2jp5ud,5759994023,197,21330,5759994013,30,"dxlvcn8a2lhtne6py7w4tbpw5, 166chk5he9ehkh9col37bw3jd, anqhl7ehns6thx9ldto2jp5ud, 19yfn0sushy5fc003vhn0skwl, 6q0g98fnbdx5sg52lazo2sqac, bpjmwp030jnapyjfii8nyqdhx, nxt066bqaqw7grehjw514d7t, bbdoe533sbua0ikwxa8ldo91x, ecuwplrj6gv5s67cg9lu342ui, 8do2uv6sab8cz1556kk5o1q1g, b0wmozayt7xbjz6ihhdiczq0a, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 5rov9d5353qn4to1rokchh250, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, 455wfzlw9g457wbrz07i0drtg, d6muts0aeup4vfihqd9sr7310",5759994025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759994015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679319,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-06-01T13:00:19.035Z,2025-06-01T14:06:09Z,,,,,5760097691,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679325,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-06-01T13:00:19.035Z,2025-06-01T13:00:21Z,,,,,5760097697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679341,3,1,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,50.2,50.4,2025-06-01T13:00:19.036Z,2025-06-01T13:00:22Z,87xd8a3n7mtk57za6pcc5l5n9,L. Ala-Myllymäki,,,5760097779,140,29.3,5760097787,279,S,5760097783,212,22.0,5760097785,213,3.21,5760097777,56,Back,5760097781,141,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679361,4,1,1,0,2,2rdnn9p03qrmmv34tyx1nahpa,1,30.6,41.8,2025-06-01T13:00:22.028Z,2025-06-01T13:00:24Z,1vt9w739g9cui1qrjhld5jgt1,S. Väisänen,,,5760097913,212,14.3,5760097911,141,22.2,5760097915,213,5.09,5760097907,56,Back,5760097909,140,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679381,5,1,1,0,5,2rdnn9p03qrmmv34tyx1nahpa,1,38.9,19.2,2025-06-01T13:00:24.236Z,2025-06-01T13:00:27Z,bt9canh10jbb5pms11dzi1j2t,A. Mäenpää,,,5760098015,140,51.2,5760098013,56,Right,5760098021,213,5.80,5760098017,141,9.2,5760098019,212,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679407,6,1,1,0,8,2rdnn9p03qrmmv34tyx1nahpa,1,52.0,17.3,2025-06-01T13:00:27.579Z,2025-06-01T13:00:31Z,afacx0e14xrz11u9dnbry92ei,K. Wallius,,,5760098133,56,Back,5760098135,140,45.6,5760098137,141,41.9,5760098141,213,1.95,5760098139,212,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679413,7,1,1,0,12,2rdnn9p03qrmmv34tyx1nahpa,1,45.7,45.2,2025-06-01T13:00:31.292Z,2025-06-01T13:00:33Z,74od0bd25ox7cv2sfmebf72s5,A. Popovitš,,,5760098211,213,1.78,5760098209,212,23.4,5760098203,56,Back,5760098205,140,41.1,5760098207,141,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820679421,8,1,1,0,14,2rdnn9p03qrmmv34tyx1nahpa,0,40.6,79.0,2025-06-01T13:00:33.660Z,2025-06-01T13:00:34Z,cpxcd9wihjrac0ttpvfzv5kkq,M. Rale,,,5760098253,213,0.02,5760098245,56,Left,5760098251,212,24.3,5760098249,141,79.6,5760098247,140,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
