id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2809287765,1,34,16,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-03T13:07:47.130Z,2025-05-03T13:58:16Z,,,,,5697052643,197,28746,5697052645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697052631,30,"ebqj8v33xv3otev2pycc6xomh, 19xsgxk4g4gf1ickmbc92uzu, 9fpgvc2avj64hiii3wd6w74k, 18p445rm69t2xc13vggv5oueh, 5j2hy92q8f17nppznxrp8kxxx, 95h8ci71qugckn045d3rumlm1, 7mn880d3dieg0qb49tlzx1mfp, 7198rz1vtgazkeytaltke2noq, 8jb026oewf17pg61vdstcgj4l, bas4d4drvf8kefls9tszu0oic, 4cooeu9zahategmvpj3zdr6xh, b8510xkwvx1o1bb7bszrgiane, 7jv2mo9fes84761ebn6437axg, 4q9qes9db1l7plfu2re8q3v8, eswp4t4r8ktirsnkodz26gyui, 4aoegh7yokqb5ix45ruvqjalm, 74r7g6wijdghi1dnr994cclp1, e0p7anuqsx00gybhm4wnkoesp, c9yprnk5bqte686eqdm42oic5, 2e3yktcpxvr1dxy2z1z1dolxw",5697052633,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5697052635,59,"25, 28, 13, 6, 4, 3, 10, 8, 20, 21, 7, 17, 19, 91, 99, 15, 1, 2, 5, 24",5697052639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697052637,130,13,5697052641,194,5j2hy92q8f17nppznxrp8kxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809287791,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-03T13:07:48.606Z,2025-05-03T13:57:39Z,,,,,5697052807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5697052805,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 2fw3pz0v22kdbiognam8zsvoq, 98u2encce9933qd4y2kukej85, c1f7vp2u7fndbs1q67yhze1hw, dlxtr9p8d7k733qhpq9qyydey, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 9618hk1lq7i6see347k7plkyy, 5fvzbq3mstt7eatkjpodbvpm2, 91c1ud1vk02de6uexycm07ml0, 5hkcvpt8l2qjwovhon9wuo0es, c90jak72lerrxc3kpo73cupsk, 9wpb7yiz7zdsb7bj70ornyfis, 8r2wo4sh46kxmwos8wy8ugdg4, 53kd57a8pwjno3l6cou3nexn9, d2tr2mopsk225739f7xlc12ei, d34pugygez0vtpx1t8p5bnq0a",5697052809,59,"1, 5, 2, 10, 22, 16, 28, 8, 9, 23, 20, 11, 14, 26, 17, 25, 13, 3, 4, 24",5697052811,130,4,5697052817,197,19340,5697052815,194,a9234jafv17dcvbu54expih91,5697052819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697052813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329401,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-03T14:00:59.065Z,2025-05-03T14:01:01Z,,,,,5697268463,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329393,2,32,1,0,0,303582z192rnbr2x28o2t7u38,1,0.0,0.0,2025-05-03T14:00:59.065Z,2025-05-03T14:00:59Z,,,,,5697268427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329473,3,1,1,0,0,303582z192rnbr2x28o2t7u38,1,50.1,50.1,2025-05-03T14:00:59.066Z,2025-05-03T14:01:03Z,8jb026oewf17pg61vdstcgj4l,T. Pukki,,,5697268775,279,S,5697268773,213,3.39,5697268765,56,Back,5697268769,141,44.0,5697268767,140,34.3,5697268771,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329541,4,1,1,0,5,303582z192rnbr2x28o2t7u38,1,32.1,51.3,2025-05-03T14:01:04.888Z,2025-05-03T14:01:06Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5697269137,141,72.4,5697269139,212,14.3,5697269135,140,32.1,5697269133,56,Back,5697269141,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329569,5,1,1,0,6,303582z192rnbr2x28o2t7u38,1,32.1,72.4,2025-05-03T14:01:05.599Z,2025-05-03T14:01:07Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697269253,140,32.1,5697269259,213,4.71,5697269255,141,51.2,5697269257,212,14.4,5697269241,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329593,6,1,1,0,7,303582z192rnbr2x28o2t7u38,1,32.1,51.2,2025-05-03T14:01:06.502Z,2025-05-03T14:01:08Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5697269341,140,32.7,5697269339,56,Back,5697269343,141,77.8,5697269345,212,18.1,5697269347,213,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329663,7,1,1,0,8,303582z192rnbr2x28o2t7u38,1,32.1,77.0,2025-05-03T14:01:07.622Z,2025-05-03T14:01:10Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697269627,56,Back,5697269629,140,47.9,5697269633,141,95.9,5697269637,213,0.66,5697269635,212,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329713,8,1,1,0,11,303582z192rnbr2x28o2t7u38,1,42.9,93.6,2025-05-03T14:01:10.070Z,2025-05-03T14:01:12Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697269921,141,76.4,5697269917,56,Back,5697269919,140,27.9,5697269925,213,3.78,5697269923,212,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329823,9,1,1,0,13,303582z192rnbr2x28o2t7u38,1,26.8,75.3,2025-05-03T14:01:12.110Z,2025-05-03T14:01:16Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697270437,213,4.03,5697270435,212,22.2,5697270431,141,50.0,5697270423,56,Back,5697270427,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809329929,10,1,1,0,16,303582z192rnbr2x28o2t7u38,0,12.4,47.9,2025-05-03T14:01:15.965Z,2025-05-03T14:01:19Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5697270927,56,Center,5697270933,212,58.8,5697270929,140,68.4,5697270925,157,,5697270937,1,,5697270935,213,0.03,5697270931,141,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330017,3,1,1,0,21,8eab5wbcnttsiosd1o8c71gmk,0,45.3,44.9,2025-05-03T14:01:21.054Z,2025-05-03T14:01:22Z,2fw3pz0v22kdbiognam8zsvoq,L. Kuittinen,,,5697271351,212,21.4,5697271349,141,56.4,5697271345,56,Center,5697271347,140,64.3,5697271343,3,,5697271353,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330151,11,1,1,0,22,303582z192rnbr2x28o2t7u38,1,33.4,57.0,2025-05-03T14:01:21.654Z,2025-05-03T14:01:26Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5697272003,56,Back,5697272007,141,57.0,5697272005,140,33.7,5697272009,212,0.3,5697272011,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330169,12,1,1,0,26,303582z192rnbr2x28o2t7u38,0,55.7,68.1,2025-05-03T14:01:25.999Z,2025-05-03T14:01:27Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5697272115,213,1.03,5697272107,56,Center,5697272113,212,2.5,5697272109,140,56.9,5697272111,141,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330213,4,61,1,0,29,8eab5wbcnttsiosd1o8c71gmk,1,37.7,26.4,2025-05-03T14:01:28.536Z,2025-05-03T14:12:50Z,bwn0e8pjrikjcpold20o2os2c,A. Essomba,,,5697272303,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330233,5,5,1,0,29,8eab5wbcnttsiosd1o8c71gmk,0,34.2,-1.6,2025-05-03T14:01:28.639Z,2025-05-03T14:05:07Z,c1f7vp2u7fndbs1q67yhze1hw,A. Kouame,,,5697272647,233,13,5697272385,56,Back,5697272387,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330269,13,5,1,0,29,303582z192rnbr2x28o2t7u38,1,65.8,101.6,2025-05-03T14:01:28.639Z,2025-05-03T14:01:32Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697272585,347,,5697272615,233,5,5697272583,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330429,14,1,1,0,32,303582z192rnbr2x28o2t7u38,1,65.8,100.0,2025-05-03T14:01:31.460Z,2025-05-03T14:01:36Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697273385,213,3.70,5697273371,107,,5697273375,140,52.0,5697273381,212,17.0,5697273377,141,88.7,5697273373,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330473,15,1,1,0,36,303582z192rnbr2x28o2t7u38,1,55.9,86.2,2025-05-03T14:01:35.596Z,2025-05-03T14:01:37Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697273613,140,60.1,5697273619,213,5.24,5697273615,141,75.1,5697273617,212,8.7,5697273611,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330509,16,1,1,0,37,303582z192rnbr2x28o2t7u38,1,60.1,75.1,2025-05-03T14:01:36.660Z,2025-05-03T14:01:38Z,7mn880d3dieg0qb49tlzx1mfp,L. Lingman,,,5697273811,212,11.0,5697273807,140,56.4,5697273813,213,1.93,5697273805,56,Left,5697273809,141,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330553,17,1,1,0,38,303582z192rnbr2x28o2t7u38,1,56.4,90.2,2025-05-03T14:01:37.757Z,2025-05-03T14:01:39Z,18p445rm69t2xc13vggv5oueh,V. Tikkanen,,,5697274031,56,Left,5697274037,212,11.5,5697274039,213,5.88,5697274035,141,83.5,5697274033,140,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330625,18,1,1,0,40,303582z192rnbr2x28o2t7u38,1,66.5,83.5,2025-05-03T14:01:39.436Z,2025-05-03T14:01:42Z,7198rz1vtgazkeytaltke2noq,G. Kanellopoulos,,,5697274411,140,69.8,5697274409,56,Left,5697274415,212,8.2,5697274417,213,1.13,5697274413,141,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330697,19,1,1,0,42,303582z192rnbr2x28o2t7u38,1,66.1,93.9,2025-05-03T14:01:41.687Z,2025-05-03T14:01:44Z,9fpgvc2avj64hiii3wd6w74k,K. Simojoki,,,5697274781,140,37.6,5697274779,56,Back,5697274783,141,63.7,5697274787,213,3.74,5697274789,1,,5697274785,212,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330857,20,1,1,0,45,303582z192rnbr2x28o2t7u38,1,37.1,63.6,2025-05-03T14:01:44.404Z,2025-05-03T14:01:49Z,5j2hy92q8f17nppznxrp8kxxx,A. Ring,,,5697275561,141,52.5,5697275557,56,Back,5697275559,140,13.1,5697275563,212,26.3,5697275565,213,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809330959,21,1,1,0,49,303582z192rnbr2x28o2t7u38,1,10.7,43.1,2025-05-03T14:01:48.767Z,2025-05-03T14:01:51Z,ebqj8v33xv3otev2pycc6xomh,T. Nijhuis,,,5697276161,141,4.7,5697276157,56,Back,5697276159,140,12.9,5697276163,212,26.2,5697276165,213,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809331025,22,1,1,0,52,303582z192rnbr2x28o2t7u38,0,13.3,5.2,2025-05-03T14:01:51.404Z,2025-05-03T14:01:54Z,95h8ci71qugckn045d3rumlm1,G. Antzoulas,,,5697276503,141,0.0,5697276507,213,5.78,5697276505,212,10.2,5697276501,140,21.8,5697276499,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
