id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/18/value,qualifier/16/value
2796299539,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-05T15:07:35.173Z,2025-04-05T15:57:01Z,,,,,5625435375,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625435365,59,"1, 3, 12, 22, 40, 4, 15, 26, 7, 10, 44, 9, 11, 6, 19, 13, 24, 30",5625435371,194,anqhl7ehns6thx9ldto2jp5ud,5625435363,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5625435367,130,12,5625435369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5625435373,197,24423,5625435361,30,"dxlvcn8a2lhtne6py7w4tbpw5, nxt066bqaqw7grehjw514d7t, dlpw0ifxzwotsw2ttopgispka, anqhl7ehns6thx9ldto2jp5ud, bpjmwp030jnapyjfii8nyqdhx, 72oiz92rfd5sxtpxxnqb7kpre, bl43lr9kdb35de8gxvuk4xgk4, b7x9fczqecsf267ewzcvccmhh, d8t6nh7paunxlvadzlfx69xx, b0wmozayt7xbjz6ihhdiczq0a, 19yfn0sushy5fc003vhn0skwl, 8do2uv6sab8cz1556kk5o1q1g, 2h5u151i11d49on3k9cdtfqqc, 9l78gdpk7fx57b8am6to05gfe, 4a8qjfagq2xr6wqsv875jth0q, dxbmeigmdpwuz8u0g8iji45ey, 6q0g98fnbdx5sg52lazo2sqac, ecuwplrj6gv5s67cg9lu342ui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796304255,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-05T15:09:24.265Z,2025-04-05T16:13:16Z,,,,,5625460003,30,"5auce3x81f1kwok1aq7m4o2y1, 2fj3f2zy80nbu8p3ryblmioes, amdo0gvq5yaascwon92mhyaga, 5nhh1n77us1h2z5wvx7mt2gpg, 7pnmkd2s7cca2p00x7ny98st1, eexcxuea18xbokvkko1erdffu, d7fbq3piag375ujo9q9njqq6s, 6k8sy2tikge6yet4o6tqtixux, 2shgmz0kct6m0wphe28gq04ix, 2kbiramhoa1b8k51wtfk5raei, udbewp8no8ut63j1nla34ine, czl632fkj2mhbgu4jie3bug9h, btxgorlt1vhb8f0yt5jvvwg5x, 49br3gmn71y8pd5wqkfkvrbah, 7b39qc7x5gi1c8qaznmygdnmx, db7sgfeo2hgb5e2s0fa4ue044, 818ngmk0u0iqzv4j93yj97aad, 5ghh71ix7lnta7fz3mp0w0zpx, e7cov36din7hwsjxovwr5smlm",5625460009,130,4,5625460007,59,"1, 30, 18, 19, 3, 15, 16, 6, 8, 7, 99, 9, 17, 10, 11, 21, 66, 12, 5",5625460015,197,22070,5625460013,194,7pnmkd2s7cca2p00x7ny98st1,5625460017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5625460011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5625460005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414391,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-04-05T16:02:37.693Z,2025-04-05T16:02:40Z,,,,,5626048405,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414385,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-04-05T16:02:37.693Z,2025-04-05T16:02:37Z,,,,,5626048349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414437,3,1,1,0,0,3cbke8cbou2ms925872vk6dwx,1,50.1,50.3,2025-04-05T16:02:37.694Z,2025-04-05T16:02:42Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5626048673,279,S,5626048667,141,45.1,5626048669,212,24.9,5626048663,56,Back,5626048671,213,3.28,5626048665,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414465,4,1,1,0,4,3cbke8cbou2ms925872vk6dwx,0,27.6,45.5,2025-04-05T16:02:42.279Z,2025-04-05T16:02:45Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,,5626048775,141,20.1,5626048781,1,,5626048769,157,,5626048771,56,Right,5626048777,212,51.1,5626048779,213,5.94,5626048773,140,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414493,3,1,1,0,7,5qxgilg61hlwxzfpdn2nhcayd,0,27.8,48.1,2025-04-05T16:02:45.592Z,2025-04-05T16:02:46Z,7pnmkd2s7cca2p00x7ny98st1,N. Friberg,,,5626048945,3,,5626048955,213,0.58,5626048953,212,23.6,5626048947,56,Back,5626048949,140,46.6,5626048951,141,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414525,5,1,1,0,10,3cbke8cbou2ms925872vk6dwx,0,70.1,13.1,2025-04-05T16:02:48.583Z,2025-04-05T16:23:30Z,72oiz92rfd5sxtpxxnqb7kpre,O. Pettersson,,,5626049141,213,0.24,5626049131,3,,5626049137,141,17.0,5626049139,212,11.0,5626049133,56,Right,5626049135,140,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414577,4,1,1,0,11,5qxgilg61hlwxzfpdn2nhcayd,1,35.3,64.8,2025-04-05T16:02:49.095Z,2025-04-05T16:02:54Z,5nhh1n77us1h2z5wvx7mt2gpg,A. Okyere,,,5626049421,3,,5626049431,213,0.88,5626049423,56,Back,5626049427,141,75.9,5626049429,212,9.8,5626049425,140,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414557,6,45,1,0,15,3cbke8cbou2ms925872vk6dwx,0,64.4,20.3,2025-04-05T16:02:52.821Z,2025-04-05T16:25:08Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,,5626049779,233,6,5626049309,56,Right,5626049783,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796414633,6,3,1,0,15,5qxgilg61hlwxzfpdn2nhcayd,1,35.6,79.7,2025-04-05T16:02:52.821Z,2025-04-05T16:24:41Z,udbewp8no8ut63j1nla34ine,A. Sejdiu,,,5626049717,56,Back,5626049755,233,6,5626153427,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796415235,16,3,1,0,18,5qxgilg61hlwxzfpdn2nhcayd,0,48.2,85.0,2025-04-05T16:02:55.780Z,2025-04-05T16:25:00Z,udbewp8no8ut63j1nla34ine,A. Sejdiu,,,5626052971,56,Back,5626053049,286,,5626154811,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
