id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value
2817614983,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-21T14:04:55.657Z,2025-05-21T15:05:33Z,,,,,5742952009,197,22107,5742952005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5742952007,194,59d5otjevb4zussjofufdg4ph,5742952001,59,"1, 6, 22, 16, 15, 23, 34, 13, 19, 10, 8, 11, 20, 21, 7, 17, 2, 25, 29, 12",5742952003,130,11,5742952011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5742951999,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5742951997,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5skki9qedwo05d1scee0obu1h, beq1o3wl29kdr4qtahdij1m21, dpegzp0t66wtgyc69v4rj6cyc, 289f8ysumkm0ilmx2z472cei2, 3ani6i6zvyyz715jalqfbcvoq, 7z2gs2b8ccchwf0h92hwx8d90, aa40go6nrv6mpdny6zdc1jeg9, 27tqgrgwe7bvct5ffmr0sqdey, doxrlp6910n9l5b5zl8ee73ai, 59d5otjevb4zussjofufdg4ph, 5t58neiqhud2d4h64owu8fwiy, 9c2ajg42wya1u4lh1eeye2jo4, 2yyodldan4gscxb0jjrpkygyy, c11fpnugs2ihyqk07ohha54np, 2vvnbkdgeje34aivohozzvm5l, am2lquvihsgkoy18i6f26d1ck, 5irotktf4k5ynobf0zugdom0a, dir0a3gwtnslupca6o36sqvis, 1p8qp744v6uor8li9wfcwi0dm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817615239,1,34,16,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-21T14:07:10.568Z,2025-05-21T15:27:25Z,,,,,5742953617,197,22088,5742953615,194,1vt9w739g9cui1qrjhld5jgt1,5742953611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5742953619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5742953603,59,"1, 13, 19, 3, 5, 22, 42, 7, 27, 8, 17, 9, 10, 15, 30, 72, 12, 16, 24",5742953595,30,"5h0xmzqj69qpakvv8b3gfin6d, afacx0e14xrz11u9dnbry92ei, enc30jhvcxxy3c53muws4gbje, cpxcd9wihjrac0ttpvfzv5kkq, 1vt9w739g9cui1qrjhld5jgt1, bt9canh10jbb5pms11dzi1j2t, cayn625x26mewt9gp2xrmh4ut, a30y638aa4uo6vudqgrcjvpat, dprt62xpys5habrdk1kg6sbu1, 8r3xgvgtysw3a026rrhebyxre, 7hr8mxix88otsvgitsv184g0k, 7wysiv77u3wt6pk31uzzl7dre, 6yreepfqr0qh9o2mlglzkri6t, 87xd8a3n7mtk57za6pcc5l5n9, 5msckfem6wvr8h2egmxqgn5zo, dwykh0u3d3shtklz3yfrev8d0, a6c8kxkcb77ldh3dpondvd2sq, 2ds2jprriwxkden7xw0pvhe51, auivgwfbffghtuzi2i5e9mxw4",5742953599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5742953607,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619441,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-21T15:00:07.058Z,2025-05-21T15:00:07Z,,,,,5742981361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619443,2,32,1,0,0,2rdnn9p03qrmmv34tyx1nahpa,1,0.0,0.0,2025-05-21T15:00:07.058Z,2025-05-21T15:00:09Z,,,,,5742981367,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619453,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-05-21T15:00:07.059Z,2025-05-21T15:00:11Z,59d5otjevb4zussjofufdg4ph,P. Pennanen,,,5742981413,56,Back,5742981423,279,S,5742981417,141,51.2,5742981421,213,3.11,5742981415,140,25.7,5742981419,212,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619459,4,1,1,0,3,1c7dv8ays675v9kp6a04sd8pq,1,27.8,46.6,2025-05-21T15:00:10.948Z,2025-05-21T15:00:14Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5742981473,140,62.6,5742981469,157,,5742981477,212,37.2,5742981481,1,,5742981475,141,36.7,5742981471,56,Center,5742981479,213,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619461,5,1,1,0,7,1c7dv8ays675v9kp6a04sd8pq,0,62.6,36.7,2025-05-21T15:00:14.726Z,2025-05-21T15:00:15Z,aa40go6nrv6mpdny6zdc1jeg9,J. Oksanen,,,5742981493,56,Center,5742981489,3,,5742981491,168,,5742981497,141,37.6,5742981495,140,69.4,5742981505,213,0.09,5742981501,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619467,4,1,1,0,8,2rdnn9p03qrmmv34tyx1nahpa,1,34.3,54.3,2025-05-21T15:00:15.523Z,2025-05-21T15:00:16Z,a30y638aa4uo6vudqgrcjvpat,J. Veteli,,,5742981531,212,14.4,5742981529,141,37.0,5742981525,56,Back,5742981527,140,42.2,5742981533,213,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619471,5,1,1,0,9,2rdnn9p03qrmmv34tyx1nahpa,1,42.2,37.0,2025-05-21T15:00:16.467Z,2025-05-21T15:00:25Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5742981581,56,Back,5742981585,141,5.0,5742981587,212,22.1,5742981589,213,4.88,5742981583,140,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619477,6,1,1,0,18,2rdnn9p03qrmmv34tyx1nahpa,1,58.0,5.3,2025-05-21T15:00:25.667Z,2025-05-21T15:00:27Z,afacx0e14xrz11u9dnbry92ei,K. Wallius,,,5742981617,141,8.2,5742981621,213,0.11,5742981615,140,75.1,5742981619,212,18.1,5742981613,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619479,6,45,1,0,20,1c7dv8ays675v9kp6a04sd8pq,0,24.0,89.7,2025-05-21T15:00:27.547Z,2025-05-21T15:53:50Z,dpegzp0t66wtgyc69v4rj6cyc,S. Miettinen,,,5742981631,285,,5742981645,233,7,5742981629,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619481,7,3,1,0,20,2rdnn9p03qrmmv34tyx1nahpa,1,76.0,10.3,2025-05-21T15:00:27.547Z,2025-05-21T15:53:50Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5742981639,233,6,5742981637,286,,5742981635,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619483,8,1,1,0,24,2rdnn9p03qrmmv34tyx1nahpa,0,95.7,28.8,2025-05-21T15:00:31.699Z,2025-05-21T15:00:32Z,8r3xgvgtysw3a026rrhebyxre,M. Stjopin,,,5742981653,141,45.4,5742981655,212,11.3,5742981657,213,1.50,5742981651,140,96.5,5742981649,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817619491,7,61,1,0,25,1c7dv8ays675v9kp6a04sd8pq,1,6.8,50.9,2025-05-21T15:00:32.302Z,2025-05-21T15:08:33Z,3ani6i6zvyyz715jalqfbcvoq,A. Lötjönen,,,5742981703,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817620915,97,61,1,0,26,1c7dv8ays675v9kp6a04sd8pq,1,7.5,51.3,2025-05-21T15:00:33.760Z,2025-05-21T15:10:13Z,doxrlp6910n9l5b5zl8ee73ai,D. Arifi,,,5742990419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
