id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2817960101,1,34,16,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-23T14:09:43.766Z,2025-05-23T17:08:41Z,,,,5744925089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744925083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744925081,30,"dl6lfojhwzis2gboqxonxu904, 8bk1u1zlolcgphg6dwdezdre, byudescfxvi1kxlpncbv0mymt, 9bd4vf4tdzfipobqzp2r7gbft, c5oixwvc8sk4fxliorsk7a311, 8igk37zt3ixjxdtr1t9kwfnit, ro21tqqaeslyebto6ukon5zo, c538ewmcaz4z73gcftzedbob9, 4m7qbjhm8zl0z7px053siv6j9, 5wtugxjwq7fvbeqcak5j5l5nt, btr893a8ljoe8av97ji8kwr11, apryim5dle6o29qp6hpio06sq, 23yj26f5kapxyx90glndxs3kk, b9s6ecsxs323kktg3cs3pisk4, 4lgvhmh5otjikwqiwbc2yu8kp, 1ds8j4s1h4fydkkhl9qe9l5yi, 1nww1pe0ouxnuwt8q9zy4xrmc, 7dvn6m2z49c2n1ev0o9rvk93o, 41fgl6geucap62xgimc78e238, 2c4lqno6q9hrin5ywos5rt9uc",5744925085,59,"33, 14, 21, 26, 4, 17, 5, 37, 10, 23, 9, 8, 19, 27, 11, 15, 18, 77, 16, 2",5744925087,130,4,5744925095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744925091,194,8igk37zt3ixjxdtr1t9kwfnit,5744925093,197,18887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817961565,1,34,16,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-23T14:22:21.356Z,2025-05-23T15:19:44Z,,,,5744933811,59,"1, 4, 18, 19, 5, 15, 7, 66, 9, 10, 99, 17, 6, 8, 13, 16, 21, 12, 3, 30",5744933821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744933813,130,8,5744933819,197,28898,5744933815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744933809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744933817,194,eexcxuea18xbokvkko1erdffu,5744933807,30,"5auce3x81f1kwok1aq7m4o2y1, 1utcfk5giq7ghp8b2z3u9b27d, amdo0gvq5yaascwon92mhyaga, 5nhh1n77us1h2z5wvx7mt2gpg, e7cov36din7hwsjxovwr5smlm, eexcxuea18xbokvkko1erdffu, 2kbiramhoa1b8k51wtfk5raei, 818ngmk0u0iqzv4j93yj97aad, czl632fkj2mhbgu4jie3bug9h, 49br3gmn71y8pd5wqkfkvrbah, udbewp8no8ut63j1nla34ine, btxgorlt1vhb8f0yt5jvvwg5x, 6k8sy2tikge6yet4o6tqtixux, 2shgmz0kct6m0wphe28gq04ix, bj3hdokfgxfrxo4d5231pj5rd, d7fbq3piag375ujo9q9njqq6s, db7sgfeo2hgb5e2s0fa4ue044, 5ghh71ix7lnta7fz3mp0w0zpx, 7pnmkd2s7cca2p00x7ny98st1, 2fj3f2zy80nbu8p3ryblmioes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964769,2,32,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,0.0,0.0,2025-05-23T15:00:23.807Z,2025-05-23T15:00:41Z,,,,5744953683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964767,2,32,1,0,0,5qxgilg61hlwxzfpdn2nhcayd,1,0.0,0.0,2025-05-23T15:00:23.807Z,2025-05-23T15:00:23Z,,,,5744953681,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964771,3,1,1,0,0,8sy0cxovuxo76tuoas3uo55xj,1,50.0,50.0,2025-05-23T15:00:23.808Z,2025-05-23T15:00:41Z,c538ewmcaz4z73gcftzedbob9,A. Tanaka,,5744953687,140,39.9,5744953695,279,S,5744953689,141,41.2,5744953691,212,12.2,5744953693,213,3.66,5744953685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964791,9,1,1,0,2,8sy0cxovuxo76tuoas3uo55xj,1,38.3,38.3,2025-05-23T15:00:26.439Z,2025-05-23T15:01:01Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,5744953827,56,Back,5744953833,212,15.2,5744953831,141,19.1,5744953829,140,30.9,5744953835,213,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964773,4,1,1,0,5,8sy0cxovuxo76tuoas3uo55xj,0,36.6,16.8,2025-05-23T15:00:29.213Z,2025-05-23T15:07:27Z,c5oixwvc8sk4fxliorsk7a311,J. Toivio,,5744953715,141,3.3,5744953709,157,,5744953719,213,6.03,5744953713,140,70.9,5744953721,1,,5744953711,56,Right,5744953717,212,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817965121,65,44,1,0,9,5qxgilg61hlwxzfpdn2nhcayd,1,31.0,96.2,2025-05-23T15:00:33.633Z,2025-05-23T15:07:45Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744956075,233,72,5744956071,56,Back,5744956073,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817965119,72,44,1,0,9,8sy0cxovuxo76tuoas3uo55xj,0,69.0,3.8,2025-05-23T15:00:33.634Z,2025-05-23T15:08:03Z,btr893a8ljoe8av97ji8kwr11,A. Tarvonen,,5744956037,286,,5744956079,233,65,5744956035,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964789,5,61,1,0,10,5qxgilg61hlwxzfpdn2nhcayd,1,30.8,97.5,2025-05-23T15:00:34.295Z,2025-05-23T15:08:05Z,amdo0gvq5yaascwon92mhyaga,E. Mömmö,,5744953823,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964777,3,5,1,0,11,5qxgilg61hlwxzfpdn2nhcayd,0,29.4,101.6,2025-05-23T15:00:34.896Z,2025-05-23T15:13:10Z,czl632fkj2mhbgu4jie3bug9h,J. Akintunde,,5744953755,56,Back,5744953801,233,5,5744953757,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964775,5,5,1,0,11,8sy0cxovuxo76tuoas3uo55xj,1,70.6,-1.6,2025-05-23T15:00:34.896Z,2025-05-23T15:13:10Z,8igk37zt3ixjxdtr1t9kwfnit,T. Manga,,5744953723,56,Right,5744953793,233,3,5744953725,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964783,6,1,1,0,18,8sy0cxovuxo76tuoas3uo55xj,1,71.1,0.0,2025-05-23T15:00:42.357Z,2025-05-23T15:00:50Z,8bk1u1zlolcgphg6dwdezdre,J. Lehtiranta,,5744953765,107,,5744953773,212,5.0,5744953771,141,6.2,5744953769,140,72.2,5744953767,56,Right,5744953775,213,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817964785,7,1,1,0,24,8sy0cxovuxo76tuoas3uo55xj,0,72.2,6.4,2025-05-23T15:00:48.358Z,2025-05-23T15:08:16Z,4m7qbjhm8zl0z7px053siv6j9,P. Forsell,,5744953781,56,Right,5744953783,140,100.0,5744953789,213,0.10,5744953787,212,30.5,5744953785,141,10.9,5744956271,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
