id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2818808489,1,34,16,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-25T12:01:09.817Z,2025-05-25T12:56:51Z,,,,,5749617217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749617227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749617215,30,"b6uchs6rc43tlb0qj2tw3xzh1, 5irotktf4k5ynobf0zugdom0a, dir0a3gwtnslupca6o36sqvis, doxrlp6910n9l5b5zl8ee73ai, 289f8ysumkm0ilmx2z472cei2, dpegzp0t66wtgyc69v4rj6cyc, c11fpnugs2ihyqk07ohha54np, 9c2ajg42wya1u4lh1eeye2jo4, 5t58neiqhud2d4h64owu8fwiy, 2yyodldan4gscxb0jjrpkygyy, 2vvnbkdgeje34aivohozzvm5l, 1p8qp744v6uor8li9wfcwi0dm, am2lquvihsgkoy18i6f26d1ck, 5skki9qedwo05d1scee0obu1h, 59d5otjevb4zussjofufdg4ph, aa40go6nrv6mpdny6zdc1jeg9, 27tqgrgwe7bvct5ffmr0sqdey, beq1o3wl29kdr4qtahdij1m21, 6zxmiojkikr9no952g862h3is, 7z2gs2b8ccchwf0h92hwx8d90",5749617231,197,9120,5749617233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749617229,194,b6uchs6rc43tlb0qj2tw3xzh1,5749617223,130,3,5749617219,59,"1, 25, 29, 10, 15, 16, 7, 20, 11, 21, 17, 12, 2, 6, 8, 13, 19, 22, 24, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818811935,1,34,16,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-25T12:09:57.816Z,2025-05-25T13:04:17Z,,,,,5749635159,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749635171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749635167,194,1xquqxm7zxe002v8dc2z46sb9,5749635157,30,"6i2n7bcfphn89v0eccet2fop, 72d57i3mfqxtbsmm196kdv0fd, eaa9sktij53071abummj4pkwk, 1xquqxm7zxe002v8dc2z46sb9, 1zud0qdtf6c6wzkgqhz6b94a1, 1wg15zg0fffyoag6owdh35vkk, 5ynhzqvpks5u5bjgno6snhyzu, 80mvshlrrlu5vt41gkruwn8fe, 9ka422rjynvrx4kofh5q8ivop, 84wint64ygxx3pi5fz3mr12j8, ec7y1s97xpoab87z786zt0r56, ebhnuikcvtrbmw5e80r1fds2y, 9julhxqc94tmamhicz9gfysyc, bn62iwa6vrs5z6ow9q2kpq590, 9mki2meutffzyo7nd0zo94zkk, 1zdrpi7b401hv9w9mtykzyor9, 45kijyqwuvgoc6hx51yueyeol, di62c8bxsf1t8jrhzu47qb7u2, 1t44y6xzubkclt6i6nzgkgr1l, bbp11n61bl9mjlis2ulxub66s",5749635165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749635169,197,18882,5749635161,59,"77, 6, 7, 4, 19, 5, 21, 20, 34, 14, 10, 11, 27, 17, 26, 30, 1, 3, 29, 31",5749635163,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831283,2,32,1,0,0,duspptyvnr5kpx2iko5gerhnz,1,0.0,0.0,2025-05-25T13:02:35.923Z,2025-05-25T13:02:36Z,,,,,5749744293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831279,2,32,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,0.0,0.0,2025-05-25T13:02:35.923Z,2025-05-25T13:02:36Z,,,,,5749744287,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831289,3,1,1,0,0,1c7dv8ays675v9kp6a04sd8pq,1,50.0,50.0,2025-05-25T13:02:35.924Z,2025-05-25T13:02:39Z,5t58neiqhud2d4h64owu8fwiy,A. Sadiku,,,5749744341,56,Back,5749744343,140,25.2,5749744349,213,3.18,5749744345,141,48.7,5749744351,279,S,5749744347,212,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831307,4,1,1,0,3,1c7dv8ays675v9kp6a04sd8pq,1,28.1,46.3,2025-05-25T13:02:39.284Z,2025-05-25T13:02:43Z,b6uchs6rc43tlb0qj2tw3xzh1,J. Kreidl,,,5749744445,157,,5749744457,1,,5749744449,140,66.7,5749744455,213,0.50,5749744451,141,79.1,5749744453,212,46.3,5749744447,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831317,5,1,1,0,7,1c7dv8ays675v9kp6a04sd8pq,1,64.8,74.7,2025-05-25T13:02:43.379Z,2025-05-25T13:02:46Z,dir0a3gwtnslupca6o36sqvis,D. Agyei,,,5749744561,213,3.37,5749744557,141,64.2,5749744555,140,35.7,5749744559,212,31.4,5749744553,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831337,6,1,1,0,10,1c7dv8ays675v9kp6a04sd8pq,1,36.5,64.0,2025-05-25T13:02:46.580Z,2025-05-25T13:02:49Z,dpegzp0t66wtgyc69v4rj6cyc,S. Miettinen,,,5749744625,212,23.6,5749744619,56,Back,5749744623,141,29.5,5749744621,140,38.7,5749744627,213,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831345,7,1,1,0,13,1c7dv8ays675v9kp6a04sd8pq,1,39.7,28.6,2025-05-25T13:02:49.331Z,2025-05-25T13:02:51Z,289f8ysumkm0ilmx2z472cei2,I. Cissé,,,5749744695,141,6.2,5749744691,56,Right,5749744699,213,5.66,5749744693,140,59.8,5749744697,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818831351,8,1,1,0,15,1c7dv8ays675v9kp6a04sd8pq,1,59.4,7.4,2025-05-25T13:02:51.843Z,2025-05-25T13:02:53Z,5irotktf4k5ynobf0zugdom0a,C. Antwi,,,5749744731,213,1.53,5749744723,56,Right,5749744729,212,9.3,5749744725,140,59.8,5749744727,141,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
