id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2812479513,1,34,16,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-10T13:08:18.019Z,2025-05-10T13:08:18Z,,,,,5714675339,30,"7oxxp38dxp40lby1kwg4xpn56, a9234jafv17dcvbu54expih91, arxu3yjspsjmmobkj92c79ze2, d39zrjj1sao1lkkzief35sctl, 98u2encce9933qd4y2kukej85, 53kd57a8pwjno3l6cou3nexn9, dlxtr9p8d7k733qhpq9qyydey, c1f7vp2u7fndbs1q67yhze1hw, 50pntfz4g78co2q68kno332z9, bwn0e8pjrikjcpold20o2os2c, 9618hk1lq7i6see347k7plkyy, 5fvzbq3mstt7eatkjpodbvpm2, 91c1ud1vk02de6uexycm07ml0, c90jak72lerrxc3kpo73cupsk, 9wpb7yiz7zdsb7bj70ornyfis, 3ajcjogpfwl26hddeqetp75sk, d2tr2mopsk225739f7xlc12ei, 524qf48twiwfk14oxmwsxj2tw, 2fw3pz0v22kdbiognam8zsvoq, d34pugygez0vtpx1t8p5bnq0a",5714675367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714675361,194,53kd57a8pwjno3l6cou3nexn9,5714675343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5714675347,59,"1, 5, 2, 10, 16, 3, 8, 28, 9, 23, 20, 11, 14, 17, 25, 12, 4, 6, 22, 24",5714675365,197,19340,5714675357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714675353,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812481571,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-10T13:09:49.052Z,2025-05-10T14:55:10Z,,,,,5714686651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5714686647,194,2lsv3xzudv78cddzsvl76zgx6,5714686643,130,6,5714686649,197,28964,5714686641,59,"80, 35, 33, 20, 30, 4, 10, 8, 18, 6, 16, 9, 21, 43, 14, 28, 1",5714686645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5714686637,30,"eklpacb4xe0yb13zxi642gys4, 64pptq46unjnsxn6wc3avhtec, 3xtbzw2dg5my9jn99xqh5gdpm, 36gi7l0qvkbru5w6v2nym00ve, b7594v117himyndjrpkval8us, 2lsv3xzudv78cddzsvl76zgx6, 1iyf79yql5sm8m6i8nwxntsve, u8remrfu8ug41xu71brhukmh, f5f9sfvtizyppg8kqtmp9y3ca, 10qxrh1rh7uyhtm3scj8glqs, 4zizd9804wk2k5v0l7ph0u0kq, cnf3yzk0zcrlrfejwd2iebbpw, 1nysj6xb60fhhjhtle8pakbo4, 8v9ms04dm6d99xb9lt5qdk74k, eyxig53mzy4qlf208vpchs7is, 8tzmahdp1kkbot7nulpirqhh, aoa60lf22i1v66vmyf7sfiay",5714686639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535211,2,32,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,0.0,0.0,2025-05-10T13:59:50.511Z,2025-05-10T13:59:52Z,,,,,5714971113,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535199,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-05-10T13:59:50.511Z,2025-05-10T13:59:50Z,,,,,5714971089,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535223,3,1,1,0,0,8eab5wbcnttsiosd1o8c71gmk,1,50.0,50.0,2025-05-10T13:59:50.512Z,2025-05-10T13:59:54Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5714971163,141,41.2,5714971167,213,3.37,5714971169,279,S,5714971161,140,25.9,5714971165,212,26.0,5714971159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535285,4,1,1,0,3,8eab5wbcnttsiosd1o8c71gmk,0,25.9,41.2,2025-05-10T13:59:54.470Z,2025-05-10T14:00:28Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5714971415,141,87.2,5714971421,1,,5714971409,157,,5714971417,212,49.7,5714971413,140,62.7,5714971411,56,Left,5714971419,213,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535309,3,61,1,0,7,3ptum5fjcgw51mqui0gu6uuf4,0,28.6,21.0,2025-05-10T13:59:58.046Z,2025-05-10T14:15:55Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5714971493,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535329,5,1,1,0,8,8eab5wbcnttsiosd1o8c71gmk,1,54.3,74.4,2025-05-10T13:59:59.046Z,2025-05-10T14:16:41Z,dlxtr9p8d7k733qhpq9qyydey,J. Yli-Kokko,,,5714971583,56,Left,5714971587,141,84.7,5714971589,212,7.6,5714971581,3,,5714971591,213,1.19,5714971585,140,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535335,6,3,1,0,9,8eab5wbcnttsiosd1o8c71gmk,0,61.8,81.4,2025-05-10T14:00:00.424Z,2025-05-10T14:16:05Z,arxu3yjspsjmmobkj92c79ze2,J. Niska,,,5714971613,56,Left,5715079471,233,4,5714971615,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535341,4,7,1,0,9,3ptum5fjcgw51mqui0gu6uuf4,0,38.2,18.6,2025-05-10T14:00:00.425Z,2025-05-10T14:16:06Z,1iyf79yql5sm8m6i8nwxntsve,Hugo Cardoso,,,5715079519,233,6,5714971637,56,Back,5714971639,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535401,7,1,1,0,11,8eab5wbcnttsiosd1o8c71gmk,1,43.7,75.7,2025-05-10T14:00:02.230Z,2025-05-10T14:00:07Z,d39zrjj1sao1lkkzief35sctl,F. Krebs,,,5714971985,213,2.62,5714971979,140,26.7,5714971977,56,Back,5714971983,212,20.6,5714971981,141,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535415,8,1,1,0,16,8eab5wbcnttsiosd1o8c71gmk,1,28.1,87.4,2025-05-10T14:00:06.998Z,2025-05-10T14:00:08Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5714972035,141,40.6,5714972031,56,Back,5714972039,213,4.72,5714972033,140,28.3,5714972037,212,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535493,9,1,1,0,17,8eab5wbcnttsiosd1o8c71gmk,1,28.3,40.6,2025-05-10T14:00:08.182Z,2025-05-10T14:00:13Z,53kd57a8pwjno3l6cou3nexn9,J. Hämäläinen,,,5714972301,141,24.6,5714972303,212,14.1,5714972305,213,5.40,5714972299,140,36.8,5714972297,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535519,10,1,1,0,22,8eab5wbcnttsiosd1o8c71gmk,1,36.0,33.0,2025-05-10T14:00:12.966Z,2025-05-10T14:00:15Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5714972431,56,Back,5714972439,213,1.75,5714972433,140,31.4,5714972437,212,27.8,5714972435,141,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535589,11,1,1,0,24,8eab5wbcnttsiosd1o8c71gmk,1,32.2,73.5,2025-05-10T14:00:15.078Z,2025-05-10T14:00:20Z,98u2encce9933qd4y2kukej85,B. Straalman,,,5714972747,212,30.9,5714972743,140,37.7,5714972741,56,Back,5714972749,213,4.90,5714972745,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812535631,12,1,1,0,29,8eab5wbcnttsiosd1o8c71gmk,0,41.4,26.8,2025-05-10T14:00:20.503Z,2025-05-10T14:00:24Z,a9234jafv17dcvbu54expih91,A. Granlund,,,5714972981,1,,5714972975,141,62.1,5714972969,155,,5714972973,140,100.0,5714972977,212,66.9,5714972971,56,Center,5714972979,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
