id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2818162007,1,34,16,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-24T11:10:03.421Z,2025-05-24T12:03:42Z,,,,,5746038791,130,4,5746038785,30,"dxlvcn8a2lhtne6py7w4tbpw5, nxt066bqaqw7grehjw514d7t, anqhl7ehns6thx9ldto2jp5ud, 19yfn0sushy5fc003vhn0skwl, 6q0g98fnbdx5sg52lazo2sqac, bpjmwp030jnapyjfii8nyqdhx, 4a8qjfagq2xr6wqsv875jth0q, bbdoe533sbua0ikwxa8ldo91x, d8t6nh7paunxlvadzlfx69xx, 8do2uv6sab8cz1556kk5o1q1g, b0wmozayt7xbjz6ihhdiczq0a, 2h5u151i11d49on3k9cdtfqqc, 3nrf0fvktniv392ytt09npp1w, 9l78gdpk7fx57b8am6to05gfe, bl43lr9kdb35de8gxvuk4xgk4, dxbmeigmdpwuz8u0g8iji45ey, ecuwplrj6gv5s67cg9lu342ui, 166chk5he9ehkh9col37bw3jd",5746038787,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5746038799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746038793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5746038797,197,28536,5746038789,59,"1, 3, 22, 44, 24, 40, 19, 28, 7, 9, 10, 11, 20, 6, 15, 13, 30, 42",5746038795,194,anqhl7ehns6thx9ldto2jp5ud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818162373,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-24T11:14:26.186Z,2025-05-24T12:05:16Z,,,,,5746040877,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746040875,197,26791,5746040873,194,4y7niu1b8drpeccb84s2e9wwl,5746040865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5746040867,59,"13, 40, 5, 42, 6, 3, 9, 4, 95, 10, 66, 7, 11, 15, 16, 17, 77, 25, 20, 21",5746040871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5746040869,130,8,5746040863,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, npha09mhy3755go8t6lg3ey2, 80115v2kkgjym3ubywmkz654a, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, cbceals9gkfqlywg94zzzlgb9, 6iaszy97sphbfkhfxdwd93g15, a3elaln9izarzlwqkwc4ynpey, 4y7niu1b8drpeccb84s2e9wwl, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, 7x14tbg2brvxi5g9jdbovp8gk, 38b94pyeuduolezhjx34wymfo, 7e8irrii6ddjjaex00kq8cand, 3tghlj82y0zzojxphfc1wrehg, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, 3bu3igsdqg8atj5pailbof76c, dtdqh03syykiv1cjstn2lhkvd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164807,2,32,1,0,0,3cbke8cbou2ms925872vk6dwx,1,0.0,0.0,2025-05-24T11:59:38.502Z,2025-05-24T11:59:38Z,,,,,5746054603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164809,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-05-24T11:59:38.502Z,2025-05-24T11:59:40Z,,,,,5746054605,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164813,3,1,1,0,0,3cbke8cbou2ms925872vk6dwx,1,49.8,49.9,2025-05-24T11:59:38.503Z,2025-05-24T11:59:42Z,b0wmozayt7xbjz6ihhdiczq0a,J. Latonen,,,5746054631,279,S,5746054619,56,Back,5746054621,140,17.7,5746054629,1,,5746054623,141,47.5,5746054625,212,33.7,5746054627,213,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164817,4,1,1,0,3,3cbke8cbou2ms925872vk6dwx,1,24.2,42.4,2025-05-24T11:59:42.478Z,2025-05-24T11:59:46Z,dxlvcn8a2lhtne6py7w4tbpw5,Á. Craninx,,,5746054645,141,22.5,5746054647,212,44.6,5746054651,1,,5746054639,157,,5746054643,140,64.7,5746054649,213,5.98,5746054641,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164821,5,44,1,0,7,3cbke8cbou2ms925872vk6dwx,1,61.1,28.9,2025-05-24T11:59:46.391Z,2025-05-24T12:34:51Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,,5746054669,286,,5746054671,233,3,5746054667,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164815,3,44,1,0,7,7efqk7uh63928il0yffxijnv7,0,38.9,71.1,2025-05-24T11:59:46.392Z,2025-05-24T12:34:51Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5746054637,285,,5746054677,233,5,5746054635,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164823,6,1,1,0,8,3cbke8cbou2ms925872vk6dwx,0,64.7,22.5,2025-05-24T11:59:46.926Z,2025-05-24T11:59:48Z,19yfn0sushy5fc003vhn0skwl,E. Bashkirov,,,5746054685,56,Center,5746054681,3,,5746054693,213,6.26,5746054687,140,73.8,5746054683,168,,5746054689,141,22.2,5746054691,212,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818164825,4,1,1,0,10,7efqk7uh63928il0yffxijnv7,0,33.4,66.1,2025-05-24T11:59:49.080Z,2025-05-24T11:59:50Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5746054697,157,,5746054707,213,5.98,5746054705,212,30.2,5746054701,140,60.8,5746054699,56,Center,5746054703,141,52.8,5746054709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
