id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/15/value
2796096567,1,34,16,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-05T13:11:53.843Z,2025-04-05T14:02:23Z,,,,,5624370887,197,23737,5624370885,194,2lsv3xzudv78cddzsvl76zgx6,5624370883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624370879,59,"32, 28, 33, 8, 4, 14, 20, 6, 7, 43, 10, 15, 18, 21, 2, 16, 26, 80, 30, 35",5624370875,30,"cikb5rw9wtq5th334wj89dhey, 8tzmahdp1kkbot7nulpirqhh, 3xtbzw2dg5my9jn99xqh5gdpm, u8remrfu8ug41xu71brhukmh, 2lsv3xzudv78cddzsvl76zgx6, eyxig53mzy4qlf208vpchs7is, 36gi7l0qvkbru5w6v2nym00ve, 10qxrh1rh7uyhtm3scj8glqs, 46ums24te70jl5qclztg8xhwp, 8v9ms04dm6d99xb9lt5qdk74k, 1iyf79yql5sm8m6i8nwxntsve, bboslspmgrlysvtol90dpfzzd, f5f9sfvtizyppg8kqtmp9y3ca, 1nysj6xb60fhhjhtle8pakbo4, 9184a77akqe3pinkdqdkbzuy2, 4zizd9804wk2k5v0l7ph0u0kq, 10cno5ydqi7fif5ehw91ak26s, eklpacb4xe0yb13zxi642gys4, b7594v117himyndjrpkval8us, 64pptq46unjnsxn6wc3avhtec",5624370881,130,4,5624370889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624370877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2796100721,1,34,16,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-05T13:15:41.561Z,2025-04-05T13:15:41Z,,,,,5624394835,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5624394845,197,26791,5624394843,194,66zsjkvxs4cbh9u63hk273t1x,5624394833,30,"66zsjkvxs4cbh9u63hk273t1x, 5pa2n5nlvexr6z7nu65uz0qqy, dtdqh03syykiv1cjstn2lhkvd, 80115v2kkgjym3ubywmkz654a, dcv2hunon4wgijgt4kljtqxg5, 3cmp95fpjtqoc5njb5p7c9g8a, cbceals9gkfqlywg94zzzlgb9, 4y7niu1b8drpeccb84s2e9wwl, a3elaln9izarzlwqkwc4ynpey, 7x14tbg2brvxi5g9jdbovp8gk, d7od1kij5jchngdcwlvls0max, enlu96e156ahwhmdk0482kzfu, crqntc3sy05jsblgk90gymhn9, 6iaszy97sphbfkhfxdwd93g15, eqyduvucdtgotv6p284g7mal0, a4kgoyzoedberugc14zrtv55h, npha09mhy3755go8t6lg3ey2, 3bu3igsdqg8atj5pailbof76c",5624394847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624394837,59,"13, 40, 21, 42, 6, 3, 9, 10, 95, 11, 66, 7, 24, 4, 77, 25, 5, 20",5624394841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5624394839,130,4,,,,,,,,,,,,,,,,,,,,,,,,
2796147083,2,32,1,0,0,3ptum5fjcgw51mqui0gu6uuf4,1,0.0,0.0,2025-04-05T14:00:18.423Z,2025-04-05T14:00:20Z,,,,,5624637119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147059,2,32,1,0,0,7efqk7uh63928il0yffxijnv7,1,0.0,0.0,2025-04-05T14:00:18.423Z,2025-04-05T16:48:47Z,,,,,5624637059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147171,3,1,1,0,0,7efqk7uh63928il0yffxijnv7,1,49.8,49.9,2025-04-05T14:00:18.424Z,2025-04-05T14:00:21Z,4y7niu1b8drpeccb84s2e9wwl,S. Eremenko,,,5624637507,213,2.88,5624637503,141,56.4,5624637505,212,17.4,5624637501,140,33.8,5624637499,56,Back,5624637509,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147207,4,1,1,0,3,7efqk7uh63928il0yffxijnv7,1,34.8,56.6,2025-04-05T14:00:21.429Z,2025-04-05T14:00:22Z,80115v2kkgjym3ubywmkz654a,M. Kusu,,,5624637695,212,10.9,5624637689,56,Back,5624637693,141,44.9,5624637697,213,3.96,5624637691,140,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147345,5,1,1,0,4,7efqk7uh63928il0yffxijnv7,1,27.6,44.6,2025-04-05T14:00:22.734Z,2025-04-05T14:00:25Z,dcv2hunon4wgijgt4kljtqxg5,J. Brunell,,,5624638295,56,Back,5624638305,141,70.5,5624638309,212,17.6,5624638311,213,1.63,5624638299,140,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147473,6,1,1,0,7,7efqk7uh63928il0yffxijnv7,1,27.9,74.1,2025-04-05T14:00:25.774Z,2025-04-05T14:00:29Z,3cmp95fpjtqoc5njb5p7c9g8a,E. Gunnarsson,,,5624638895,212,28.7,5624638901,213,3.64,5624638887,141,54.0,5624638875,56,Back,5624638879,140,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147607,7,1,1,0,10,7efqk7uh63928il0yffxijnv7,1,3.8,51.5,2025-04-05T14:00:28.935Z,2025-04-05T14:00:33Z,66zsjkvxs4cbh9u63hk273t1x,Miguel Santos,,,5624639527,1,,5624639517,56,Back,5624639519,140,33.6,5624639521,141,13.5,5624639515,157,,5624639525,213,5.59,5624639523,212,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796147631,8,44,1,0,14,7efqk7uh63928il0yffxijnv7,1,37.7,15.6,2025-04-05T14:00:33.087Z,2025-04-05T14:00:36Z,cbceals9gkfqlywg94zzzlgb9,F. Valenčič,,,5624639623,285,,5624639703,233,3,5624639621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
